group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
7,10 % desc 1 6 pack carlsberg cerveza lata,10 % desc 1 6 pack carlsberg cerveza lata,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b23dbe9f6e62ecaaa22c84ca1fa6df6/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Carlsberg Pack cerveza 6 unid x 330 ml c/u,Carlsberg,Pack cerveza,6 unid x 330 ml c/u,1
8,10 % desc 1 centenario ron 7 aos 750 ml,10 % desc 1 centenario ron 7 aos 750 ml,Yes,,,TRUE,Centenario Ron 7 años Botella 750 ml,Centenario,Ron 7 años,Botella 750 ml,1
9,10 % desc 1 centenario ron oro 375 ml,10 % desc 1 centenario ron oro 375 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/688ff980f0a6d8c9c8fe45d60f789aa6/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Centenario Ron oro Botella 375 ml,Centenario,Ron oro,Botella 375 ml,1
10,10 % desc 1 durex mximo placer 3 uds,10 % desc 1 durex mximo placer 3 uds,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a4407ec0c9432aa4c6b0c57f7716281b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Durex Condón máximo placer 3 u,Durex,Condón máximo placer,3 u,1
11,10 % desc 2 hic refresco te con limn 2.5 l,10 % desc 2 hic refresco te con limn 2.5 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/736ec3c2c3ac90bf37a4dddc977f41e0/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Hi-C Refresco té con limón 2 unid x 2.5 L c/u,Hi-C,Refresco té con limón,2 unid x 2.5 L c/u,1
12,10 % desc 2 powerade ion avalance 600 ml,10 % desc 2 powerade ion avalanc 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b649ed139e448d8ab752f747c77f1d4/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Powerade Bebida hidratante avalance 2 unid x 600 ml c/u,Powerade,Bebida hidratante avalance,2 unid x 600 ml c/u,1
12,10 % desc 2 powerade ion avalance 600 ml,10 % desc 2 powerade ion avalance 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b649ed139e448d8ab752f747c77f1d4/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Powerade Bebida hidratante ION avalance 2 unid x 600 ml c/u,Powerade,Bebida hidratante ION avalance,2 unid x 600 ml c/u,1
13,10 % desc 2 powerade ion frutas 600 ml,10 % desc 2 powerade ion frutas 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/158134f2037fce4ee019467ac5ada89f/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Powerade Bebida hidratante ION frutas 2 unid x 600 ml c/u,Powerade,Bebida hidratante ION frutas,2 unid x 600 ml c/u,1
14,10 % desc 2 powerade ion naranja 600 ml,10 % desc 2 powerade ion naranja 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/90f3a9ee16f0aec0c5b0ed8d67dfbda3/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Powerade Bebida hidratante ION naranja 2 unid x 600 ml c/u,Powerade,Bebida hidratante ION naranja,2 unid x 600 ml c/u,1
15,10 % desc 2 powerade zero fruit punch 591 ml,10 % desc 2 powerade zero fruit punch 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1a1943b0a62e58700ec7775ef90b4aa6/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Powerade Bebida hidratante zero fruit punch 2 unid x 591 ml c/u,Powerade,Bebida hidratante zero fruit punch,2 unid x 591 ml c/u,1
16,10 % desc 2 powerade zero grape 591 ml,10 % desc 2 powerade zero grape 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e8a150dd73c42ad10e02abf074d221ef/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Powerade Bebida hidratante zero grape 2 unid x 591 ml c/u,Powerade,Bebida hidratante zero grape,2 unid x 591 ml c/u,1
17,10 % desc 2 powerade zero mix berry 591 ml,10 % desc 2 powerade zero mix berry 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/47772f102776bb2aac49862465d250a1/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Powerade Bebida hidratante zero mix berry 2 unid x 591 ml c/u,Powerade,Bebida hidratante zero mix berry,2 unid x 591 ml c/u,1
18,10 % desc 2 tropical te frio melocotn 2.5 l,10 % desc 2 tropical te frio melocotn 2.5 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/518fb232f2d9571c1161c25c29352f3c/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Tropical Té frío melocotón 2 unid x 2.5 L c/u,Tropical,Té frío melocotón,2 unid x 2.5 L c/u,1
19,10 % desc 3 coca cola 355 ml,10 % desc 3 coca cola 355 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e73da28c394191e2090d2818b8b76d99/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Coca-Cola Bebida sabor original 3 unid x 355 ml c/u,Coca-Cola,Bebida sabor original,3 unid x 355 ml c/u,1
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale 2 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5c43805dc3fe9cb13980cbe67616ebf4/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Canada Dry Bebida sabor ginger ale 2 unid x 2 L c/u,Canada Dry,Bebida sabor ginger ale,2 unid x 2 L c/u,1
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale 3 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/57871d8c30c0bbc555f2bba2693fee71/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Canada Dry Bebida sabor ginger ale 2 unid x 3 L c/u,Canada Dry,Bebida sabor ginger ale,2 unid x 3 L c/u,1
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/909c5e5e1c5a99118ea29098841f9b31/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Canada Dry Bebida sabor ginger ale 2 unid x 600 ml c/u,Canada Dry,Bebida sabor ginger ale,2 unid x 600 ml c/u,1
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale botella 2 lt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/58428df37bbf25ba0d5aefb131985a41/859baff1d76042a45e319d1de80aec7a.jpeg,,FALSE,Canada Dry Bebida sabor ginger ale 2 unid x 2 L c/u,Canada Dry,Bebida sabor ginger ale,2 unids x 2 L,1
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale light 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/48fd72173541faed266d4b5becf6db94/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Canada Dry Bebida sabor ginger ale light 2 unid x 600 ml c/u,Canada Dry,Bebida sabor ginger ale light,2 unids x 600 ml,1
37,11 % desc 2 canada dry soda 600 ml,11 % desc 2 canada dry soda 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/279e11d84d3187bf36e96b67fcb42c21/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Canada Dry Gaseosa club soda 2 unid x 600 ml c/u,Canada Dry,Gaseosa club soda,2 unids x 600 ml,1
38,11 % desc 2 canada dry soda desechable 2l,11 % desc 2 canada dry soda desechable 2 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5eadd774e49400ec1ec2d64c7410a5f4/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Canada Dry Gaseosa club soda 2 unid x 2 L c/u,Canada Dry,Gaseosa club soda,2 unids x 2 L,1
38,11 % desc 2 canada dry soda desechable 2l,11 % desc 2 canada dry soda desechable 2l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5eadd774e49400ec1ec2d64c7410a5f4/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Canada Dry Gaseosa club soda 2 unid x 2 L c/u,Canada Dry,Gaseosa club soda,2 unids x 2 L,1
39,11 % desc 2 coca cola 600 ml,11 % desc 2 coca cola 3 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/68e9e69479f07d6a7086268a7fb096f4/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Coca-Cola Bebida sabor original 2 unid x 3 L c/u,Coca-Cola,Bebida sabor original,2 unids x 3 L,1
39,11 % desc 2 coca cola 600 ml,11 % desc 2 coca cola 600 light ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e7569768c81ee20572016378e42d1e90/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Coca-Cola Bebida light 2 unid x 600 ml c/u,Coca-Cola,Bebida light,2 unids x 600 ml,1
39,11 % desc 2 coca cola 600 ml,11 % desc 2 coca cola 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ab319af9901d44006d322da7c1fdfb6a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Coca-Cola Bebida sabor original 2 unid x 600 ml c/u,Coca-Cola,Bebida sabor original,2 unids x 600 ml,1
40,11 % desc 2 fanta kolita 3 l,11 % desc 2 fanta kolita 3 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c7e748f0034af15722cd8560c50d0661/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Fanta Gaseosa sabor kolita 2 unid x 3 L c/u,Fanta,Gaseosa sabor kolita,2 unids x 3 L,1
41,11 % desc 2 fanta naranja 3 l,11 % desc 2 fanta naranja 3 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c1da817775ac30703120ea50783b6a95/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Fanta Gaseosa sabor naranja 2 unid x 3 L c/u,Fanta,Gaseosa sabor naranja,2 unids x 3 L,1
42,11 % desc 2 fresca 355 ml,11 % desc 2 fresca 3 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2594657cb8ce033425a98a24adf6463a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,Fresca Gaseosa sabor toronja 2 unid x 3 L c/u,Fresca,Gaseosa sabor toronja,2 unids x 3 L,1
42,11 % desc 2 fresca 355 ml,11 % desc 2 fresca 355 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/59c0c10c1cbf9797b226a5efcf843080/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,Fresca Gaseosa sabor toronja 2 unid x 355 ml c/u,Fresca,Gaseosa sabor toronja,2 unids x 355 ml,1
43,11 % desc 2 fresca desechable 600 ml,11 % desc 2 fresca desechable 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/be42aea918feeee3e525d4e35bdcec0b/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Fresca Gaseosa sabor toronja 2 unid x 600 ml c/u,Fresca,Gaseosa sabor toronja,2 unids x 600 ml,1
44,12 % desc 2 coca cola zero 600 ml,12 % desc 2 coca cola zero 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e7cdc5f513842e6a7e3533fa611ccb04/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Coca-Cola Gaseosa zero 2 unid x 600 ml c/u,Coca-Cola,Gaseosa zero,2 unids x 600 ml,1
