group_id,leader,member,modify_leader,image_url,Image,label,canonical_leader,brand,name,package ,promotion,Comments
8,1002 leche do pinos homogenizad 3800ml,1002 leche do pinos homogenizad 3800ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/fc32fcc873ba415ed8b4d24052d36138/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,dos pinos leche homogenizada 3.8 L,Dos Pinos,Leche homogenizada,Botella 3.8 L,0,
9,1064 leche do pinos azul uht 1000ml,1064 leche do pinos azul uht 1000ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/300d0d394143bfab60f87051c856a1fc/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,dos pinos leche semidescremada UHT 1 L,Dos Pinos,Leche semidescremada UHT 1 L,Cartón 1 L,0,
10,1132 leche do pinos delactomy 1000ml,1132 leche do pinos delactomy 1000ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/09ec7fee29233e0bb253fc7e39c28384/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,dos pinos leche delactomy 1 L,Dos Pinos,Leche delactomy ,Cartón 1 L,0,
11,1156 leche do pinos descremada 1000ml,1156 leche do pinos descremada 1000ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7e956c7f7acde33600e5048d9607c955/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,dos pinos leche descremada 1 L,Dos Pinos,Leche descremada,Cartón 1 L,0,
13,12 pack leche coronado uht 2 % lt,12 pack leche coronado uht 0 % lt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2b513bfd9fcce7b177904602551280dc/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,FALSE,coronado leche descremada UHT 0% 12 unids x 1 L c/u,Coronado,Leche descremada UHT 0%,12 unids x 1 L c/u,0,
13,12 pack leche coronado uht 2 % lt,12 pack leche coronado uht 2 % lt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/daed04b410b7b4097a0cf64ce777f9d6/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,coronado leche semidescremada UHT 2% 12 unids x 1 L c/u,Coronado,Leche semidescremada UHT 2%,12 unids x 1 L c/u,0,
14,12 pack leche semidescremada uht 2 % lt,12 pack leche semidescremada uht 2 % lt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3c282a87677a1c0477994de737edc50b/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,dos pinos leche semidescremada UHT 2% 12 unids x 1 L c/u,Dos Pinos,Leche semidescremada UHT 2% ,12 unids x 1 L c/u,0,
17,1244 salchicha cinta azul 480g,1244 salchicha cinta azul 480g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/09ec7fee29233e0bb253fc7e39c28384/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,cinta azul salchicha 480 g,Cinta azul,Salchicha,Cartón 480 g,0,Producto de la imagen diferente al nombre
18,1252 picaritas jack medianas 75g,1252 picaritas jack medianas 75g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/369045eed9bc04be079b2be3223e253a/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,jack's picaritas sabor bbq 75 g,Jack's,Picaritas sabor bbq ,Bolsa 75 g,0,
19,1368 leche dp 0 % dobl proteina 500m,1368 leche dp 0 % dobl proteina 500m,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6f229d4757687cfb49a5caba604d0661/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,dos pinos leche doble proteína 500 ml,Dos Pinos,Leche doble proteína,Cartón 500 ml,0,
21,1421 jamon serrano del luca 85g,1421 jamon serrano del luca 85g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6f53d6f96ed8f52604920610848d5320/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,del luca jamón serrano 85 g,Del Luca,Jamón serrano,Empaque 85 g,0,Producto de la imagen diferente al nombre
22,15 % off queque la estacin 760g cotuba 2l,15 % off queque la estacin 760g cotuba 2l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/15ab96075e7e8a7b558a61d3ef817132/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,pack queque la estación 760 g + guaraná cotuba  2 L,La estación,Pack queque + guaraná Cotuba,760 g + 2 L,1,
28,17 % off 2 tapita cajeta de coco gallito 40g,17 % off 2 tapita cajeta de coco gallito 40g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/379f75441e3199b98b7cfff7ecd166ac/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,gallito tapita cajeta de coco 2 unids x 40 g c/u,Gallito,Tapita cajeta de coco,2 unids x 40 g c/u,1,
29,1811 yogurt do pinos top fresa 170g,1811 yogurt do pinos top fresa 170g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d61cd9f72a51789868a5118a2b7de660/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,dos pinos yogurt top fresa 170 g,Dos Pinos,Yogurt top fresa,Pote 170 g,0,
30,1860 desc.23.82 % cerveza imperial light 12pack 4200ml,1860 desc.23.82 % cerveza imperial light 12pack 4200ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/beaa22750f85ae48ec424bbf755631d2/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,imperial cerveza light 12 unids x 350 ml c/u,Imperial,Cerveza light,12 unids x 350 ml c/u,1,
54,2 melcochones simple jamn cinta azul 125 g queso procesado do pinos 8 unid jugo de naranja do pinos 1l por 200 cambium tipo de melcochon combo 2,2 melcochones simple jamn cinta azul 125 g queso procesado do pinos 8 unid jugo de naranja do pinos 1l por 200 cambium tipo de melcochon combo 2,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/dfefb8e68bac640a9d7e256f72753683/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,combo 2 cinta azul jamón cocido 125 g dos pinos queso americano 1 unid dos pinos jugo de naranja 1 L baguettes 2 unids,Cinta azul,Combo 2 jamón cocido + dos pinos queso americano + dos pinos jugo de naranja + baguettes,5 unids,0,
55,2 melcochones simple lactocrema 115 g pat cinta azul 100 g tropical 2.5l por 200 cambium el tipo de melcochn combo 3,2 melcochones simple lactocrema 115 g pat cinta azul 100 g tropical 2.5l por 200 cambium el tipo de melcochn combo 3,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/dfefb8e68bac640a9d7e256f72753683/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,combo 3 dos pinos lactocrema 115 g cinta azul patecito 100 g tropical jugo 2.5 L,Dos Pinos,Combo 3 lactocrema + cinta azul patecito + tropical jugo,3 unids,0,Producto de la imagen diferente al nombre
56,2 pack leche polvo pinito 400g,2 pack leche polvo pinito 400g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/f561602a39954fadfd3d6c0a35772bf3/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,dos pinos pinito leche entera en polvo 2 unids x 400 g c/u,Dos Pinos,Pinito leche entera en polvo,2 unids x 400 g c/u,0,Gramaje de la imagen diferente al package del nombre
58,2 pack t melocotn cero 2.5l desc 25 %,2 pack t melocotn cero 2.5l desc 25 %,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/90ff4033af37531e512968f6ee1137f8/859baff1d76042a45e319d1de80aec7a.jpeg,,TRUE,dos pinos té melocotón cero 2 unids x 2.5 L c/u,Dos Pinos,Té melocotón cero,2 unids x 2.5 L c/u,1,
