group_id,leader,member,modify_leader,image_url,image,label,canonical_leader,brand ,name ,package,promotion
0,0 % desc 1 centenario 7 aos 1l 2pk,0 % desc 1 centenario 7 aos 1l 2pk,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2a84e4a778b93a65f64f9bc5680663dc/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Centenario Ron añejo 7 años 2 unids x 1 L,Centenario,Ron añejo 7 años ,2 unids x 1 L,1
1,0 % desc 1 dove fw clin aer ap orig cle6x2x91gjab,0 % desc 1 dove fw clin aer ap orig cle6x2x91gjab,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7a3510022d4e44424c291673488ea219/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Dove Antitranspirante y jabón clinical expert 3 unids,Dove ,Antitranspirante y jabón clinical expert,3 unids,1
2,0 % desc 1 kotex protector lleve 150x100,0 % desc 1 kotex protector lleve 150x100,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e5d0e326a1cd13dcd8c5d0e15e0fe50f/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Kotex Protector diario extra largo caja 150 unids,Kotex,Protector diario extra largo,Caja 150 unids,1
3,0 % desc 1 of pantene sh400ml bamb ac200ml10,0 % desc 1 of pantene sh400ml bamb ac200ml10,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b30ddf0240463dc8ecb60882c28b7dbd/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Pantene Shampoo y acondicionador bambú Botella 400 ml + Botella 200 ml,Pantene,Shampoo y acondicionador bambú,Botella 400 ml + Botella 200 ml,1
4,0 % desc 1 of.hs sh sua man 375ml sh 180ml10,0 % desc 1 of.hs sh sua man 375ml sh 180ml10,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/174b08f45c9a015a089810ad519cf040/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Head & Shoulders Shampoo botella 375 ml + botella 80 ml,Head & Shoulders,Sampoo,Botella 375 ml + Botella 80 ml,1
5,0 % desc 1 pond fruit gel aloe 8x110glim facvinc,0 % desc 1 pond fruit gel aloe 8x110glim facvinc,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/8701b58795385f65827322028b37a4a1/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Pond's Gel aloe fruity hydra fresh ,Pond's,Gel aloe Fruity Hydra Fresh,Caja 2 unids,1
6,0 % desc 1 sb repelente aerosol 200ml lt,0 % desc 1 sb repelente aerosol 200ml lt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/292ce25d1de9706a5b99ffd9b58dd405/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,SBP Repelente aerosol 200 ml ,SBP,Repelente,Spray 200 ml,1
7,1 scott toalla multi absorbente 3 uds,1 scott toalla multi absorbente 3 uds,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/29aa5e6b1ecca3089cb4b9140e69194e/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Scott Toalla multiusos absorbente 3 rollos,Scott,Toalla multiusos absorbente,3 rollos,1
8,10 % desc 1 alta vista vive malbec 750 bot,10 % desc 1 alta vista vive malbec 750 bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a238b5b6a8fcf09e39fd76d3df497c85/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Alta Vista Vino Malbec Vive Botella 750 ml,Alta Vista,Vino Malbec Vive,Botella 750 ml,1
9,10 % desc 1 burgo viejo rioja crianza 750m,10 % desc 1 burgo viejo rioja crianza 750m,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/88974d2e48c09565bf77a6322fdcb6e9/5954bcb006b10dbfd0bc160f6370faf3.jpeg,,TRUE,Burgo Viejo Vino Crianza botella 750 ml,Burgo Viejo,Vino Crianza,Botella 750 ml,1
