group_id,leader,member,modify_leader,image_url,label,canonical leader ,brand,name,package ,Promotion
0,0 % desc 1 kotex protector lleve 150 uds 50 gratis,0 % desc 1 kotex protector lleve 150 uds 50 gratis,Yes,,TRUE,Kotex Protector lleve 150 unid + 50,Kotex,Protector lleve,150 unid + 50,
1,1 botran ron oro 5 aos 750 ml coca cola 2 l desecha hielo am k f4 16721,1 botran ron oro 5 aos 750 ml coca cola 2 l desecha hielo am k f4 16721,Yes,,TRUE,Botran Pack ron oro 5 años + soda + hielos Botella 750 ml + Botella 2 L,Botran,Pack ron oro 5 años + soda + hielos,Botella 750 ml + Botella 2 L,1
2,1 casillero del diablo cabernet tinto 750 ml 2 pizza suprema 260 g f4 16891,1 casillero del diablo cabernet tinto 750 ml 2 pizza suprema 260 g f4 16891,Yes,,TRUE,Casillero del Diablo Pack vino tinto cabernet sauvignon + 2 pizzas supremas Botella 750 ml + 2 unid 260 g,Casillero del Diablo,Pack vino tinto cabernet sauvignon + 2 pizzas supremas,Botella 750 ml + 2 unid 260 g,1
3,1 chucaro sauvignon blanc 750 ml 15 % desc,1 chucaro cabernet sauvignon 750 ml 15 % desc,Yes,,FALSE,Chucaro Vino tinto cabernet sauvignon Botella 750 ml,Chucaro,Vino tinto cabernet sauvignon,Botella 750 ml,
3,1 chucaro sauvignon blanc 750 ml 15 % desc,1 chucaro sauvignon blanc 750 ml 15 % desc,Yes,,TRUE,Casas Patronales Vino blanco sauvignon blanc Chucaro  Botella 750 ml,Casas Patronales,Vino blanco sauvignon blanc Chucaro ,Botella 750 ml,
4,1 coca cola light 2 l picaronas queso 150 g gratis f4 14539,1 coca cola light 2 l picaronas queso 150 g gratis f4 14539,Yes,,TRUE,Coca-Cola Pack soda light + picaronas queso Botella 2 L + Bolsa 150 g,Coca-Cola,Pack soda light + picaronas queso,Botella 2 L + Bolsa 150 g,1
5,1 coca cola regular 2 l picaronas chile gratis f4 14539,1 coca cola regular 2 l picaronas chile gratis f4 14539,Yes,,TRUE,Coca-Cola Pack soda regular + picaronas chile Botella 2 L + Bolsa 150 g,Coca-Cola,Pack soda regular + picaronas chile,Botella 2 L + Bolsa 150 g,1
6,1 ducal frijol molido picante medio 400 g jack snacker dipper 175 g tropical te fro con limon 2.5 l f4 16827,1 ducal frijol molido picante medio 400 g jack snacker dipper 175 g tropical te fro con limon 2.5 l f4 16827,Yes,,TRUE,Ducal Pack frijol molido picante medio + snacker dipper Jack's - Té frío con limón Empaque 400 g + 175 g + Botella 2.5 L,Ducal,Pack frijol molido picante medio + snacker dipper Jack's - Té frío con limón,Empaque 400 g + 175 g + Botella 2.5 L,1
7,1 ducal frijol molido tico 400 g bimbo pan artesano 535 g tropical frutas mixtas 2 l fud jamn pavo 250 g f4 16886,1 ducal frijol molido tico 400 g bimbo pan artesano 535 g tropical frutas mixtas 2 l fud jamn pavo 250 g f4 16886,Yes,,TRUE,Ducal Pack frijol molido tico + pan artesanal Bimbo + té frutas mixtas + jamón de pavo Fud Empaque 400 g + bolsa 535 g + botella 2 L + empaque 250 g,Ducal,Pack frijol molido tico + pan artesanal Bimbo + té frutas mixtas + jamón de pavo Fud,Empaque 400 g + bolsa 535 g + botella 2 L + empaque 250 g,1
8,1 flor de caa gran reserva 750 ml 2 evervess ginger 600 ml f4 16819,1 flor de caa gran reserva 750 ml 2 evervess ginger 600 ml f4 16819,Yes,,TRUE,Flor de Caña Pack ron gran reserva + ginger ale Evervess Botella 750 ml + 2 x 600 ml,Flor de Caña,Pack ron gran reserva + ginger ale Evervess,Botella 750 ml + 2 x 600 ml,1
9,1 flor de caa ultralite 750 ml h2oh toronja rosa 2l f4 16820,1 flor de caa ultralite 750 ml h2oh toronja rosa 2l f4 16820,Yes,,TRUE,Flor de Caña Pack ron gran ultralite + H2Oh toronja rosa Botella 750 ml + botella 2 L,Flor de Caña,Pack ron gran ultralite + H2Oh toronja rosa,Botella 750 ml + botella 2 L,1
10,1 huggies n.c. paal xg4 16 uds 15 % desc,1 huggies n.c. paal g3 19 uds 15 % desc,Yes,,FALSE,Huggies Pañal g3 19 unid,Huggies,Pañal g3,19 unid,
10,1 huggies n.c. paal xg4 16 uds 15 % desc,1 huggies n.c. paal m2 22 uds 15 % desc,Yes,,FALSE,Huggies Pañal m2 22 unid,Huggies,Pañal m2,22 unid,
10,1 huggies n.c. paal xg4 16 uds 15 % desc,1 huggies n.c. paal xg4 16 uds 15 % desc,Yes,,TRUE,Huggies Pañal XG4 16 unid,Huggies,Pañal XG4,16 unid,
11,1 jarana tequila autentico 750 ml mrmrs mix margarita 1 l 5 limones mesinos f4 16719,1 jarana tequila autentico 750 ml mrmrs mix margarita 1 l 5 limones mesinos f4 16719,Yes,,TRUE,Jarana Tequila auténtico Botella 750 ml,Jarana,Tequila auténtico,Botella 750 ml,
12,1 kern salsa tomate 400 g bimbo pan hamburguesa 450 g f4 16887,1 kern salsa tomate 400 g bimbo pan hamburguesa 450 g f4 16887,Yes,,TRUE,Kern Pack salsa de tomate + pan hamburguesa Bimbo 400 g + bolsa 450 g,Kern,Pack salsa de tomate + pan hamburguesa Bimbo,400 g + bolsa 450 g,1
13,1 kern salsa tomate 400 g bimbo pan perro semilla 325 g fud salchicha pavo light 350 g f4 16889,1 kern salsa tomate 400 g bimbo pan perro semilla 325 g fud salchicha pavo light 350 g f4 16889,Yes,,TRUE,Kern Pack salsa de tomate + pan perro caliente + salchicha de pavo light 400 g + bolsa 325 g + empaque 350 g,Kern,Pack salsa de tomate + pan perro caliente + salchicha de pavo light,400 g + bolsa 325 g + empaque 350 g,1
14,1 kotex nocturna con ala 12 uds 15 % desc,1 kotex nocturna con ala 12 uds 15 % desc,Yes,,TRUE,Kotex Toalla femenina nocturna con alas 12 unid,Kotex,Toalla femenina nocturna con alas,12 unid,
15,1 kotex protectores largo 50 uds 15 % desc,1 kotex protectores largo 50 uds 15 % desc,Yes,,TRUE,Kotex Protectores largos 50 unid,Kotex,Protectores largos,50 unid,
16,1 kotex sport tampones super 8 uds 15 % desc,1 kotex sport tampones super 8 uds 15 % desc,Yes,,TRUE,Kotex Tampones super sport 8 unid,Kotex,Tampones super sport,8 unid,
17,1 kotex toalla sport ultra fina 10 uds 15 % desc,1 kotex toalla sport ultra fina 10 uds 15 % desc,Yes,,TRUE,Kotex Toalla sport ultra fina 10 unid,Kotex,Toalla sport ultra fina,10 unid,
19,1 pan franc gallo pinto 1000 g do p natilla granja con sal 300 g f4 16789,1 pan franc gallo pinto 1000 g do p natilla granja con sal 300 g f4 16789,Yes,,TRUE,Gallo Pinto Pack pan francés + natilla con sal 1 kg + 300 g,Gallo Pinto,Pack pan francés + natilla con sal,1 kg + 300 g,
20,1 pepsi 3 l desechable lay fiesta snax 330 g f4 16862,1 pepsi 3 l desechable lay fiesta snax 330 g f4 16862,Yes,,TRUE,Pepsi Pack soda regular + Lays fiesta snax Botella 3 L + bolsa 330 g,Pepsi,Pack soda regular + Lays fiesta snax,Botella 3 L + bolsa 330 g,1
21,1 plenitud femme protector med 24 uds 15 % desc,1 plenitud femme protector med 24 uds 15 % desc,Yes,,TRUE,Plenitud Protector incontinencia 24 unid,Plenitud,Protector incontinencia,24 unid,
22,1 plenitud paal active plus p.m 8 uds 20 % desc,1 plenitud paal active plus p.m 8 uds 20 % desc,Yes,,TRUE,Plenitud Protector incontinencia active plus 8 unid,Plenitud,Protector incontinencia active plus,8 unid,
23,1 rey caf puro selecto 250 g 15 % desc,1 rey caf puro selecto 250 g 15 % desc,Yes,,TRUE,Rey Café puro selecto Bolsa 250 g,Rey,Café puro selecto,Bolsa 250 g,
24,1 rey caf tradicional 500 g 16 % desc,1 rey caf tradicional 500 g 16 % desc,Yes,,TRUE,Rey Café tradicional Bolsa 500 g,Rey,Café tradicional,Bolsa 500 g,
25,1 ron centenario 7 aos 750 ml coca cola 2 l vaso polipak n16 12 uds f4 16590,1 ron centenario 7 aos 750 ml coca cola 2 l vaso polipak n16 12 uds f4 16590,Yes,,TRUE,Centenario Pack ron 7 años + Coca-Cola + vasos Polipack Botella 750 ml + botella 2 L + 12 unid,Centenario,Pack ron 7 años + Coca-Cola + vasos Polipack,Botella 750 ml + botella 2 L + 12 unid,1
26,1 six pack bavaria gold lt 350 ml jack pita chip parmesano 175 g f4 16735,1 six pack bavaria gold lt 350 ml jack pita chip parmesano 175 g f4 16735,Yes,,TRUE,Bavaria Pack cerveza gold + pita parmesano Jack's 6 x 350 ml + bolsa 175 g,Bavaria,Pack cerveza gold + pita parmesano Jack's,6 x 350 ml + bolsa 175 g,1
27,1 six pack heineken lata 355 ml 6 pringles papa crema cebolla 124 g f4 16815,1 six pack heineken lata 355 ml 6 pringles papa crema cebolla 124 g f4 16815,Yes,,TRUE,Heineken Pack cerveza + Papas cebollaa Pringles 6 x 355 ml + 124 g,Heineken,Pack cerveza + Papas cebollaa Pringles,6 x 355 ml + 124 g,1
28,1 six pack imperial lata picaronas verdes 15583,1 six pack imperial lata picaronas verdes 15583,Yes,,TRUE,Imperial Pack cerveza + picaronas verdes 6 x 355 ml + 155 g,Imperial,Pack cerveza + picaronas verdes,6 x 355 ml + 155 g,1
29,1 six pack pilsen lata picaronas verdes 15583,1 six pack pilsen lata picaronas verdes 15583,Yes,,TRUE,Pilsen Pack cerveza + picaronas verdes 6 x 355 ml + 155 g,Pilsen,Pack cerveza + picaronas verdes,6 x 355 ml + 155 g,1
