group_id,leader,member,modify_leader,image_url,label,canonical leader,brand,name,package ,promotion
0,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,1 do pinos helado combinado 1 tosty mix snack 1 do p. te blanco cero 2.5 l f4 16973,Yes,,False ,Dos Pinos Pack helado combinado + Tosty mix snack + Té blanco cero 3 unid,Dos Pinos,Pack helado combinado + Tosty mix snack + Té blanco cero,3 unid,
0,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,Yes,,True ,Dos Pinos Pack helado combinado + Tosty mix snack + Té melocotón cero 3 unid,Dos Pinos,Pack helado combinado + Tosty mix snack + Té melocotón cero,3 unid,
1,10 % desc 1 do pinos helad guayabita 530 g,10 % desc 1 do pinos helad guayabita 530 g,Yes,,True ,Dos Pinos Helado guayabita Pote 530 g,Dos Pinos,Helado guayabita,Pote 530 g,1
2,10 % desc 1 do pinos helado miln menta 540 g,10 % desc 1 do pinos helado miln menta 540 g,Yes,,True ,Dos Pinos Helado Milán sabor menta Pote 540 g,Dos Pinos,Helado Milán sabor menta,Pote 540 g,1
3,10 % desc 1 do pinos helado tapita 540 g,10 % desc 1 do pinos helado tapita 540 g,Yes,,True ,Dos Pinos Helado Tapita Pote 540 g,Dos Pinos,Helado Tapita,Pote 540 g,1
5,1002 leche do pinos homogenizad,1002 leche do pinos homogenizad,Yes,,True ,Dos Pinos Leche homogenizada 1 unid,Dos Pinos,Leche homogenizada,1 unid,
6,1057 leche do pinos homog gable 1800ml,1057 leche do pinos homog gable,Yes,,True ,Dos Pinos Leche homogenizada gable Caja 1.8 L,Dos Pinos,Leche homogenizada gable,Caja 1.8 L,
6,1057 leche do pinos homog gable 1800ml,1057 leche do pinos homog gable 1800ml,Yes,,True ,Dos Pinos Leche homogenizada gable Caja 1.8 L,Dos Pinos,Leche homogenizada gable,Caja 1.8 L,
7,1064 leche do pinos azul uht,1064 leche do pinos azul uht,Yes,,True ,Dos Pinos Leche azul UHT 1 unid,Dos Pinos,Leche azul UHT,1 unid,
8,1132 leche do pinos delactomy,1132 leche do pinos delactomy,Yes,,True ,Dos Pinos Leche Delactomy 1 unid,Dos Pinos,Leche Delactomy,1 unid,
9,1156 leche do pinos descremada,1156 leche do pinos descremada,Yes,,True ,Dos Pinos Leche descremada 1 unid,Dos Pinos,Leche descremada,1 unid,
10,1200 leche do pinos homogen gable 1000ml,1200 leche do pinos homogen gable,Yes,,True ,Dos Pinos Leche homogenizada gable Caja 1 L,Dos Pinos,Leche homogenizada gable,Caja 1 L,
10,1200 leche do pinos homogen gable 1000ml,1200 leche do pinos homogen gable 1000ml,Yes,,True ,Dos Pinos Leche homogenizada gable Caja 1 L,Dos Pinos,Leche homogenizada gable,Caja 1 L,
11,15 % desc 1 do pinos t blanco cero bot inm 2.5l,15 % desc 1 do pinos t blanco cero bot inm 2.5l,Yes,,True ,Dos Pinos Té blanco cero Botella 2.5 L,Dos Pinos,Té blanco cero,Botella 2.5 L,1
