group_id,leader,member,modify_leader,image_url,label,canonical leader ,brand,name,package ,promotion
95,20 bhbluekingsize,20 bhbluekingsize,Yes,,TRUE,Benson & Hedges Blue king size cigarettes 20 units,Benson & Hedges,Blue king size cigarettes,20 units,0
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero milk chocolate sharing bar  100 g,No,,FALSE,Nestlé Aero milk chocolate sharing bar  100 g,Nestlé,Aero milk chocolate sharing bar ,100 g,0
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero orange chocolate sharing bar  100 g,No,,FALSE,Nestlé Aero orange chocolate sharing bar 100 g,Nestlé,Aero orange chocolate sharing bar,100 g,0
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero peppermint chocolate sharing bar  100 g,No,,FALSE,Nestlé Aero peppermint chocolate sharing bar 100 g,Nestlé,Aero peppermint chocolate sharing bar,100 g,0
500,aero caramel chocolate sharing bar  100 g,aero caramel chocolate sharing bar  100 g,Yes,,TRUE,Nestlé Aero caramel chocolate sharing bar  100 g,Nestlé,Aero caramel chocolate sharing bar ,100 g,0
923,alpro uht oat milk original,alpro oat milk original,No,,TRUE,alpro uht oat milk original,Alpro,Oat original milk,1 unit,0
1073,ambrosia devon custard 400 g,ambrosia devon custard 400g tin,No,,TRUE,ambrosia devon custard 400 g,Ambrosia,Devon custard,400 g,0
44850,arla cravendale semi skimmed milk 2 l,2l semi skimmed fresh milk 2 l,No,,FALSE, Semi skimmed fresh milk 2 L,,Semi skimmed fresh milk,2 L,0
3061,bell 35cl,bell 35cl,Yes,,TRUE,Bell's Whisky 350 ml,Bell's,Whisky,350 ml,0
3707,big hoop bbg,big hoop bbg,Yes,,TRUE,Hula Hoops Big hoop BBQ flavour crisps 1 unit,Hula Hoops,Big hoop BBQ flavour crisps,1 unit,0
4045,birra moretti lge nrb 600ml,birra moretti lge nrb 600ml,Yes,,TRUE,Birra Moretti Lager beer 600 ml,Birra Moretti,Lager beer,600 ml,0
4481,bobby salt n vinegar spiral,bobby spiral salt vinegar,No,,TRUE,bobby salt n vinegar spiral,Bobby's,Salt & vinegar spiral potato snacks,1 unit,0
4728,boost energy drink 1ltr,boost energy drink 1ltr,Yes,,TRUE,Boost Energy drink 1 L,Boost,Energy drink,1 L,0
44674,british whole milk 2 l,2l whole fresh milk 2 l,No,,TRUE,british whole milk 2 l,,Whole milk,2 L,0
5191,budweiser 440ml 4pack,budweiser 440ml 4pack,Yes,,TRUE,Budweiser Beer pack 4 u x 400 ml c/u,Budweiser,Beer pack,4 u x 400 ml c/u,0
5288,budweiser 4pk,budweiser 4pk can,No,,TRUE,budweiser 4pk,Budweiser,Beer pack,4 units,0
5286,budwelser can 500ml,budwelser can 500ml,Yes,,TRUE,Budweiser Beer pack 500 ml,Budweiser,Beer pack,500 ml,0
5475,butterkist cinema sweet popcorn 70 g,butterkist sweet popcorn 70g,No,,TRUE,butterkist cinema sweet popcorn 70 g,Butterkist,Cinema sweet popcorn,70 g,0
5475,butterkist cinema sweet popcorn 70 g,butterkist sweet salty popcorn 70g,No,,FALSE,Butterkist Sweet salty popcorn 70 g,Butterkist,Sweet salty popcorn,70 g,0
5475,butterkist cinema sweet popcorn 70 g,butterkist sweetsalted popcorn 70g,No,,FALSE,Butterkist Sweet salty popcorn 70 g,Butterkist,Sweet salty popcorn,70 g,0
