group_id,leader,member,modify_leader,image_url,image,label,canonical leader ,brand ,name,package ,promotion
29551,aero darkmilk peppermint chocolate sharing bar 90 g,aero milk chocolate sharing bar 90g,No,https://tb-static.uber.com/prod/image-proc/processed_images/57577736baaba7a79f1dbe35bb5c44a9/859baff1d76042a45e319d1de80aec7a.jpeg,,False ,aero milk chocolate sharing bar 90g,Aero ,Milk chocolate sharing bar,90 g,0
29551,aero darkmilk peppermint chocolate sharing bar 90 g,aero orange chocolate sharing bar 90g,No,https://tb-static.uber.com/prod/image-proc/processed_images/59587348d5f6532aa4896a587eb397d2/859baff1d76042a45e319d1de80aec7a.jpeg,,False ,aero orange chocolate sharing bar 90g,Aero ,orange chocolate sharing bar,90 g,0
29551,aero darkmilk peppermint chocolate sharing bar 90 g,aero peppermint mint chocolate sharing bar 90g,No,https://tb-static.uber.com/prod/image-proc/processed_images/5c58f0aa7395e1370d5b04e529501c34/859baff1d76042a45e319d1de80aec7a.jpeg,,False ,aero peppermint mint chocolate sharing bar 90g,Aero ,peppermint mint chocolate sharing bar,90 g,0
509,aero mint,aero mint,No,https://d1ralsognjng37.cloudfront.net/7d755696-ddc0-4733-96fa-2cf0238c627d.jpeg,,True ,aero mint,Aero ,Mint chocolate ,1 unit,0
3890,birra moreti 4330ml glass bottle pack,birra moretti 4x330ml bottle pack,No,https://tb-static.uber.com/prod/image-proc/processed_images/d4c9a351d9d6292d5dc1889cd84fa5dd/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,birra moreti 4330ml glass bottle pack,Moreti,Birra,4 x 330 ml ,0
5279,butterkist popcorn sweet 50g,butterkist popcorn sweet 50g,Yes,https://d1ralsognjng37.cloudfront.net/e4da9f59-192a-4352-bed7-4ee98b077e42.jpeg,,True ,butterkist popcorn sweet 50g,Coop,Butterkist popcorn sweet,50 g,0
6223,cadbury dairy milk little bar,cadbury dairy milk bar,No,https://d1ralsognjng37.cloudfront.net/6867e37f-9f94-43ee-b11f-0ab54c59b10c.jpeg,,False ,cadbury dairy milk bar,Cadbury,Dairy milk bar,1 unit,0
6031,cadbury oreo,cadbury oreo,No,https://d1ralsognjng37.cloudfront.net/45080dca-ad34-431f-8ea7-51a3308150af.jpeg,,True ,cadbury oreo,Cadbury,Oreo chcolate ,1 unit,0
6768,carex hand wash aloe,carex hand wash aloe,No,https://d1ralsognjng37.cloudfront.net/2561214f-69ec-4386-a1af-51b95e537c66.jpeg,,True ,carex hand wash aloe,Carex,hand wash aloe,250 ml,0
8386,co op british beef mince 20 % fat 500g,co op british beef mince 20 % 500ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/5eb8021c2c3417556df47c82b478ba9f/b4facf495c22df52f3ca635379ebe613.jpeg,,True ,co op british beef mince 20 % fat 500g,Co-op,British beef mince 20 % fat,500 g,0
9908,coca cola vanilla zero sugar 330ml,coca cola vanilla zero sugar can 330ml,No,,,True ,coca cola vanilla zero sugar 330ml,Coca-Cola,Vanilla zero sugar soda,330 ml,0
10089,coke diet,coke diet,No,,,True ,coke diet 1 unit,Coca-Cola,Diet soda,1 unit,0
10133,coke reg 6pk,coke reg 6pk,Yes,,,True ,coca-cola regular soda 6 units,Coca-Cola,Regular soda,6 units,0
10152,coke zero,coke zero,Yes,,,True ,coca-cola zero soda 1 unit,Coca-Cola,Zero soda,1 unit,0
10178,coke zero sugar cherry bottle 500ml,coke zero sugar cherry bottle 500ml,Yes,,,True ,coca-cola sugar cherry soda 500 ml,Coca-Cola,Sugar cherry soda,500 ml,0
10250,colgate advaced white toothpaste 50 ml,colgate toothpaste advanced white 50ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/d5e6dc6458c49e6fe796728c749c4706/859baff1d76042a45e319d1de80aec7a.jpeg,,True ,colgate advaced white toothpaste 50 ml,Colgate,Advaced white toothpaste,50 ml,0
10250,colgate advaced white toothpaste 50 ml,colgate total advanced whitening toothpaste 750ml,No,https://d1ralsognjng37.cloudfront.net/78a32a4e-0777-4fe0-8759-a51fb2dca48a.jpeg,,False ,colgate total advanced whitening toothpaste 750ml,Colgate,Total advanced whitening toothpaste,750 ml,0
