item_name,product_name
Chocolate Guayabita Gallito 35 g 0293,chocolate guayabita gallito 35 g 0293
2 Dos Pinos Trits Pie Limón 100 g 25% Desc  ,2 do pinos trits pie limn 100 g 25 % desc
Leche Delactomy Dos Pinos (semidescremada)1 L 1132  ,leche delactomy do pinos semidescremada1 l 1132
Helado Combinado Dos Pinos 1/4 gl 499 grs,helado combinado do pinos 14 gl 499 grs
Natilla La Granja DP Dos Pinos 400 g 8575  ,natilla la granja dp do pinos 400 g 8575
Leche +Proteína Dos Pinos 1 L 6142,leche protena do pinos 1 l 6142
Leche Azul TB Dos Pinos 1 L 1064  ,leche azul tb do pinos 1 l 1064
Yogurt Griego Coco Dos Pinos 200 ml 9990  ,yogurt griego coco do pinos 200 ml 9990
Chocolate Milán de Menta Gallito 35 g 0279,chocolate miln de menta gallito 35 g 0279
Queso Tico Rebanado Dos Pinos 12 Uds 9786 ,queso tico rebanado do pinos 12 uds 9786
Helado Paleta Choco Snack Dos Pinos 0493,helado paleta choco snack do pinos 0493
Queso Turrialba Dos Pinos 500 g 6540,queso turrialba do pinos 500 g 6540
Leche Semi Descremada Dos Pinos litro  ,leche semi descremada do pinos litro
Jugo Naranja Fibra Dos Pinos 1 L TB 8963  ,jugo naranja fibra do pinos 1 l tb 8963
DOS PINOS YOGURT FRESA TOPPING ARROZ 150 GR,do pinos yogurt fresa topping arroz 150 gr
Mar & Sol Sangría Tinta 750 ml + Gallito Chocolate Morenito 200 g (F4 16947),mar sol sangra tinta 750 ml gallito chocolate morenito 200 g f4 16947
Leche Delactomy Dos Pinos (Semidescremada)1 L 1132  ,leche delactomy do pinos semidescremada1 l 1132
 Chocolate Gallito Tapita Navideña 40 gr  ,chocolate gallito tapita navidea 40 gr
Leche Con Avena Dos Pinos 250 ml 3173  ,leche con avena do pinos 250 ml 3173
Queso Pizzero Rallado Dos Pinos 225 g 6389  ,queso pizzero rallado do pinos 225 g 6389
Chocolate Milán Chocolate Gallito 112.8 g 0287  ,chocolate miln chocolate gallito 112.8 g 0287
