item_uuid,item_name,product_name,image_url
fffff148-3d43-4102-bee5-2ab97f8286be,Elf Bar Blueberry,elf bar blueberry,
fffad1e3-fe06-4240-9227-b252ae5aa226,COCA COLA 1.75L,coca cola 1.75l,https://d1ralsognjng37.cloudfront.net/f23e0420-9886-407a-802c-5b900bd670ff.jpeg
fffa0d6c-3b45-4b1a-a34b-c65bef810880,Heritage Plum Tomatoes 250g,heritage plum tomato 250g,https://tb-static.uber.com/prod/image-proc/processed_images/d5dd627d611f8dbe4221518b08890e01/859baff1d76042a45e319d1de80aec7a.jpeg
fff8b776-ddd5-4f00-a7c9-f5eee5eba933,Kellogg's Frosties Cereal 500g,kellogg frosties cereal 500g,https://tb-static.uber.com/prod/image-proc/processed_images/c73bd9b77b96cd6a05c71232b8781094/859baff1d76042a45e319d1de80aec7a.jpeg
fff8afa4-4fbd-594d-b48b-090ed1d9caa9,ALPRO UHT - ALMOND ORIGINAL,alpro uht almond original,
fff5399e-9444-4254-bffc-a6e2506ff2e0,Snickers Chocolate Bars Multipack 3 x 41.7g,snicker chocolate bar multipack 3 x 41.7g,https://d1ralsognjng37.cloudfront.net/7592abef-4eb2-465c-9eab-3aceae629c7f.jpeg
fff47cb9-ed6a-4a81-bcaa-5249a931f2a9,Coke Diet 500ML,coke diet 500ml,
fff303b2-4b48-4f36-bc69-766488b990a7,Co Op Organic Semi-Skimmed 4 Pints,co op organic semiskimmed 4 pint,https://tb-static.uber.com/prod/image-proc/processed_images/d0873bf2cefd8dbf29ece7e01a649bd8/859baff1d76042a45e319d1de80aec7a.jpeg
fff1cc55-218b-4a31-b4a9-235e05e2ffd4,RedBull Watermelon 250ml,redbull watermelon 250ml,https://tb-static.uber.com/prod/image-proc/processed_images/7ee9c8a5c08f07d8db2c4eeb5ed6fe7a/4218ca1d09174218364162cd0b1a8cc1.jpeg
ffee8486-6617-46bd-8171-3265fa404398,Sierra Tequila - Silver 70cl,sierra tequila silver 70cl,
ffee6058-334a-4527-9cce-a50388caadaf,Maltesers Pouch 102g,maltesers pouch 102g,
ffe9dc7c-886f-4baf-b991-2f009fb73314,Co Op 4 Pint Fresh Semi Skimmed Milk (Cheaper at Hour Grocers - Download the App today),co op 4 pint fresh semi skimmed milk cheaper at hour grocer download the app today,
ffe88068-aeee-4b6a-a1f0-95bf316daf33,Strongbow Dark Fruits Cans 4 X 440ml,strongbow dark fruit can 4 x 440ml,https://tb-static.uber.com/prod/image-proc/processed_images/c297bea1a142fff8631fcf8da771ff22/859baff1d76042a45e319d1de80aec7a.jpeg
ffe3a3c2-b3c7-4f59-a6ed-00b96bbee0ec,Glens Vodka 20cl,glen vodka 20cl,https://tb-static.uber.com/prod/image-proc/processed_images/366611f6904acbb4a64a32f87d15a1c4/859baff1d76042a45e319d1de80aec7a.jpeg
ffe32b89-8ce5-513d-9999-f5a297c2cefb,Rubicon Still Lychee Juice Drink 1L,rubicon still lychee juice drink 1l,https://d1ralsognjng37.cloudfront.net/f72bde81-5556-4b5c-84e9-a24f818a8e18.jpeg
ffe2cc45-b78f-5faf-b829-444cd508ef12,Lurpak Butter Spreadable,lurpak butter spreadable,
ffdcfc2b-4f63-5565-b025-7f37b12464b5,lambrini original 6.8% pm3.49 1.25ltr,lambrini original 6.8 %  1.25ltr,https://tb-static.uber.com/prod/image-proc/processed_images/8e41b0451b6559d6c01eb93bb5810147/b4facf495c22df52f3ca635379ebe613.jpeg
ffdbe18c-ea23-412f-80f6-7433292ad708,Doritos Tangy Cheese 70g,doritos tangy cheese 70g,https://d1ralsognjng37.cloudfront.net/fb3038a3-4ede-4397-90b4-93e30e4221df.jpeg
ffdaa174-e114-4743-9f9b-4edf093ff29e,Co-op 2 Indian Garlic and Coriander Naan Breads,coop 2 indian garlic and coriander naan bread,https://tb-static.uber.com/prod/image-proc/processed_images/679d51e94f47901fb0c0a115f2639e99/859baff1d76042a45e319d1de80aec7a.jpeg
ffd4fa97-cd23-463e-9b90-460508bac989,Haribo - Starmix ,haribo starmix,
ffd3908f-c1d8-47bb-8d9b-3f85f9715198,Co Op Blue Stilton 200g,co op blue stilton 200g,https://d1ralsognjng37.cloudfront.net/322b222b-49d5-4529-aa92-10437eff6721.jpeg
ffd272e9-0121-4261-aae5-1044ab69f1c4,Magnum Chocolate Ice Cream,magnum chocolate ice cream,https://d1ralsognjng37.cloudfront.net/245c107e-8a5e-47b3-9e99-2d41f866c805.jpeg
ffd23f71-5d24-561d-b813-69b4e1bbb0f4,co op red seedless grapes pm 2.15 500g,co op red seedless grape  500g,https://tb-static.uber.com/prod/image-proc/processed_images/6888e4caa1c3bed719f2ad6b93a4ba23/859baff1d76042a45e319d1de80aec7a.jpeg
ffcf10f9-5e0f-5731-8b84-5d59a0d6222e,Kettle Ridge Cut Chinese Spare Rib Hand Cooked,kettle ridge cut chinese spare rib hand cooked,https://d1ralsognjng37.cloudfront.net/a622b398-7cca-43f9-9935-c0d3513f1e79.jpeg
ffcbc1d4-b5e0-4077-9bc4-bf61bfb76984,Rothmans King Size Blue 20 Cigarettes,rothmans king size blue 20 cigarette,
ffcb5a47-2bf9-56bd-9f5d-0468a2de9a1b,Pepsi Max 500ml,pepsi max 500ml,https://d1ralsognjng37.cloudfront.net/9e5d988f-96ac-4f8c-a589-b8ef7ad55445.jpeg
ffc9f30b-ad86-4d02-90bf-f6c7d84c92a4,Mlboro King Size Gold 20s,mlboro king size gold 20,
ffc9a47c-54fb-48e0-b5e6-1e81ac6b98c2,B & H SK BLUE (T&T) 20S,b h sk blue tt 20,
ffc90330-9270-4e43-95f8-c052ee4dfbfe,Monster Original 500 ml,monster original 500 ml,https://d1ralsognjng37.cloudfront.net/ed56df8e-fd35-472d-892c-7d5de1685a2b.jpeg
ffc8b3c9-894a-4c43-86ff-d496deb828d0,Calypso Black Cherry Lemonade 473ml,calypso black cherry lemonade 473ml,https://d1ralsognjng37.cloudfront.net/1d4b4e67-c515-4ae6-8c93-f25f43bbc08d.jpeg
ffc25ba6-75a8-58ab-9274-ccc3b765865a,Wrigley Extra Sugar Free Spearmint  * 10pce,wrigley extra sugar free spearmint 10pce,https://d1ralsognjng37.cloudfront.net/98894646-0298-4931-aa77-200bb8673a9e.jpeg
ffc208f6-3c84-5950-bc60-2aff0ec7aa15,Jacobs Baked Crinklys Cheese & Onion 105g,jacob baked crinklys cheese onion 105g,https://d1ralsognjng37.cloudfront.net/58afbbc5-9724-4ed4-9939-3a3bc6e137a7.jpeg
ffc0ebf2-0497-47e6-b301-03a7dc2b6366,McVitie's Jaffa Cakes Original Biscuits 12 Pack,mcvities jaffa cake original biscuit 12 pack,https://tb-static.uber.com/prod/image-proc/processed_images/a914c25ad96537bb27c81a3600e7b5db/859baff1d76042a45e319d1de80aec7a.jpeg
ffbd8e84-b02b-4bfb-8fd4-b95b6e99fb20,Amber Leaf Original 3 in 1 Box 30g,amber leaf original 3 in 1 box 30g,
ffbb6a7b-a886-5090-b503-b78d4b5fe7f1,kp original salted peanuts pm 1 65g,kp original salted peanut pm 1 65g,https://tb-static.uber.com/prod/image-proc/processed_images/09a0086ac9e10fa5e92b74ba46feed4f/859baff1d76042a45e319d1de80aec7a.jpeg
ffb5e087-8634-5cee-8f7a-8bfb9845c4e5,always ultra night 10pk,always ultra night 10pk,
ffb505c7-f46c-5004-996d-52d3baf593fb,pepsi max pm 1.99 2ltr,pepsi max  2ltr,
ffb37de4-2fd3-4eba-bc75-f0ca22abf9b5,Heritage Strawberries 227g,heritage strawberry 227g,
ffb241d6-3d4a-42b4-988a-c4f95bd793a5,Mike and Ike Red Rageous,mike and ike red rageous,https://d1ralsognjng37.cloudfront.net/dda63827-9ac1-48aa-afa8-f4de712caa18.jpeg
ffb19156-b041-55d6-ac65-c89af363c7c2,Rockstar Supersours Bubbleburst 500ml Can,rockstar supersours bubbleburst 500ml can,https://d1ralsognjng37.cloudfront.net/79b7230f-9642-4365-9c3a-ea281ade6e70.jpeg
ffae5ee2-1f5e-558c-a41a-0612506e573d,aunt bessie family apple pie pm 1.85 550g,aunt bessie family apple pie  550g,https://tb-static.uber.com/prod/image-proc/processed_images/55bc0240ad2527457100784d1ab4c7d8/859baff1d76042a45e319d1de80aec7a.jpeg
ffacef76-4868-59d0-8ee4-aa38aa5f99d4,Nescafe Latte (8 Sachet),nescafe latte 8 sachet,
ffaab888-3f92-5cb5-a8cf-68b764cee0a8,fanta lemon 2ltr,fanta lemon 2ltr,https://tb-static.uber.com/prod/image-proc/processed_images/fd5b8d2dd44fe30a8fe5b3d86eb0ba51/859baff1d76042a45e319d1de80aec7a.jpeg
ffa947bd-11e4-4919-8bb2-3aad8deaf11a,Barefoot Pink Moscato 75CL,barefoot pink moscato 75cl,https://tb-static.uber.com/prod/image-proc/processed_images/980161a1cdad02a5e8ea140fcc9d3f7a/b4facf495c22df52f3ca635379ebe613.jpeg
ffa83858-49e4-508d-8820-ff5757d9f973,soreen malt loaf 190g,soreen malt loaf 190g,https://tb-static.uber.com/prod/image-proc/processed_images/747b6dbef1b2bdebde00f56ec3a6b235/859baff1d76042a45e319d1de80aec7a.jpeg
ffa19dfd-051f-49aa-aa6a-13e1e8e51d72,M&Ms Chocolate,mm chocolate,
ffa15041-27c1-4a92-8a29-ed2872939c4f,ROWSE ORGANIC HONEY GLASS BOTTLE  340G,rowse organic honey glass bottle 340g,https://d1ralsognjng37.cloudfront.net/c2e618a7-c4ba-4729-93cc-e4f410799c64.jpeg
ff9eaf08-101e-5400-bc31-598e772cb8db,cadbury dairy milk pm 1 95g,cadbury dairy milk pm 1 95g,https://tb-static.uber.com/prod/image-proc/processed_images/63307c26c909cb3e536ad1da5d2d396c/859baff1d76042a45e319d1de80aec7a.jpeg
ff9d467a-b670-4f40-94ca-bacf5fbbf867,Barefoot Sauvignon Blanc 75cl,barefoot sauvignon blanc 75cl,
ff9d3d0e-b831-49ef-b6a7-4b64b390efee,co op 4 strawberry & vanilla cones 440ml,co op 4 strawberry vanilla cone 440ml,https://tb-static.uber.com/prod/image-proc/processed_images/4b0ae9ae076e45ced2ca7633ed619096/859baff1d76042a45e319d1de80aec7a.jpeg
ff9ce08c-7242-527c-ac42-99b19d78f9b6,Co Op Apple Juice 1ltr,co op apple juice 1ltr,https://tb-static.uber.com/prod/image-proc/processed_images/343a3f059d32b935b81db55db9696a9e/859baff1d76042a45e319d1de80aec7a.jpeg
ff996b2b-8422-4761-b9b8-489238ff1593,Robinsons Lemon NAS Squash 1 Litre ,robinson lemon na squash 1 litre,
ff994b15-b713-4991-9a68-63f003346bac,One Stop Butter Brioche Rolls 8's,one stop butter brioche roll 8,
ff93d9b3-6ed3-43b3-96aa-bf412953873b,Lucozade Energy Orange 900ml,lucozade energy orange 900ml,https://tb-static.uber.com/prod/image-proc/processed_images/6a6fb629d883df2c0d8dcef100bc72d2/859baff1d76042a45e319d1de80aec7a.jpeg
