Array joins,,,,,,Unique EANS,Count Unique: 14030,,
,Sku_Name,EAN,Parent,External_ID,,EAN,Sku_Name,Source,External_ID
EANs stored in ," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",7640171033730,Asda,7304120,,7640171033730," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",Asda,7304120
Ext_ID Column,. 1.2k Conference Pears,5111112853134,Iceland,71374,,5111112853134,. 1.2k Conference Pears,Iceland,71374
of Uber Data,. 1.5k Gala Apple,5055822000030,Iceland,71436,,5055822000030,. 1.5k Gala Apple,Iceland,71436
,. 1.5k Value Fry Chips,5412873086848,Iceland,67519,,5412873086848,. 1.5k Value Fry Chips,Iceland,67519
,. 10pk Jam & Cream Doughnuts,5017221111625,Iceland,74959,,5017221111625,. 10pk Jam & Cream Doughnuts,Iceland,74959
,. 18pk Sponge. Scourers,8710648218188,Iceland - Swift,89361,,8710648218188,. 18pk Sponge. Scourers,Iceland - Swift,89361
,. 1kg Premium Frankfurter,7320020051671,Iceland,73801,,7320020051671,. 1kg Premium Frankfurter,Iceland,73801
,. 1unt Celery,5010482589882,Iceland,58988,,5010482589882,. 1unt Celery,Iceland,58988
,. 1unt Celery,5010482589882,Iceland - Swift,58988,,5010228006116,. 2pk Fries To Go,Iceland,88528
,. 2pk Fries To Go,5010228006116,Iceland,88528,,5060329692664,. 2pk No Chick Kiev,Iceland,85963
,. 2pk Fries To Go,5010228006116,Iceland - Swift,88528,,5060125543641,. 32pk Value Sausages,Iceland,64792
,. 2pk No Chick Kiev,5060329692664,Iceland,85963,,5013499000036,. 405g Curry Sauce,Iceland - Swift,86180
,. 32pk Value Sausages,5060125543641,Iceland,64792,,5056586600009,. 4pk Smoked Haddock Flts,Iceland,90639
,. 405g Curry Sauce,5013499000036,Iceland - Swift,86180,,5020089000246,. 500g Beetroot,Iceland,69332
,. 4pk Smoked Haddock Flts,5056586600009,Iceland,90639,,5010482431884,. 500g Brussels Sprouts,Iceland - Swift,43188
,. 500g Beetroot,5020089000246,Iceland,69332,,5060672400121,. 5kg Chicken Fillets,Iceland,78504
,. 500g Beetroot,5020089000246,Iceland - Swift,69332,,5060202390625,. 5pk Chicken Satay,Iceland,71781
,. 500g Brussels Sprouts,5010482431884,Iceland - Swift,43188,,5060202390632,. 5pk Chicken Tikka Satay,Iceland,71785
