external_id,EAN,Sku_Name,Source,Brandbank Product Name,Product Group 1,Product Group 2,Product Group 3,Functional Name,Variant,Brand,Gross Weight (g),Net Content,Allergy Advice,Per100 Energy (kJ),Per100 Energy (kcal),Per100 Carbohydrates (g),Per100 Fat (g),Per100 Total Sugar (g),Per100 Salt (g),Per100 Protein (g),Per100 Fibre (g),Alcohol By Volume (%)
7304120,7640171033730," 
Dewar's Caribbean Smooth Blended Scotch Whisky 1l",Asda,Dewar's Caribbean Smooth Blended Scotch Whisky 700ml,Off Licence,Spirits & Liqueurs,Whisky,Whisky,Blended Scotch,Dewar's,1061,,,,,,,,,,,40
71374,5111112853134,. 1.2k Conference Pears,Iceland,Keelings Pears,Fruit & Vegetables,Other Fruit,Other Pears,Pears,,Keelings,1431,,,,,,,,,,,
71436,5055822000030,. 1.5k Gala Apple,Iceland,AC Goatham & Son Royal Gala,Fruit & Vegetables,Apples,Other Apples,,Royal Gala,,1605,,,,,,,,,,,
67519,5412873086848,. 1.5k Value Fry Chips,Iceland,,,,,,,,,,,,,,,,,,,
74959,5017221111625,. 10pk Jam & Cream Doughnuts,Iceland,,,,,,,,,,,,,,,,,,,
89361,8710648218188,. 18pk Sponge. Scourers,Iceland - Swift,18 Sponge Scourers,Kitchen & Bathroom,General Cleaners,Other Cleaner,Sponge Scourers,,,56,18 x Sponge Scourers,,,,,,,,,,
73801,7320020051671,. 1kg Premium Frankfurter,Iceland,Scandic Foods Premium Frankfurter 1000g,Frozen Foods,Frozen Meats,Other Frozen Meats,Premium Frankfurter,,Scandic Foods,1051,1000g e,,1144,273,7,23,1,1.6,10,,
58988,5010482589882,. 1unt Celery,Iceland,,,,,,,,,,,,,,,,,,,
88528,5010228006116,. 2pk Fries To Go,Iceland,Fries to Go Crispy Fries in Minutes 2 x 90g,Frozen Foods,Frozen Potato Products,Other Frozen Potato Products,Crispy Fries in Minutes,,Fries To Go,,90g e,,990,235,37,7.6,1.3,0.36,3.2,2.9,
85963,5060329692664,. 2pk No Chick Kiev,Iceland,,,,,,,,,,,,,,,,,,,
64792,5060125543641,. 32pk Value Sausages,Iceland,,,,,,,,,,,,,,,,,,,
86180,5013499000036,. 405g Curry Sauce,Iceland - Swift,Goldfish Brand Chinese Curry Sauce Concentrate 405g,Grocery,Sauces & Condiments,Other Sauces & Condiments,Curry Sauce Concentrate,Chinese,Goldfish Brand,436,405g,"Contains: Mustard, Wheat
May Contain: Celery, Soya",,,,,,,,,
90639,5056586600009,. 4pk Smoked Haddock Flts,Iceland,,,,,,,,,,,,,,,,,,,
69332,5020089000246,. 500g Beetroot,Iceland,,,,,,,,,,,,,,,,,,,
43188,5010482431884,. 500g Brussels Sprouts,Iceland - Swift,,,,,,,,,,,,,,,,,,,
78504,5060672400121,. 5kg Chicken Fillets,Iceland,Skinless Chicken Breasts Fillets 5kg,Frozen Foods,Frozen Meats,Frozen Chicken Portions,Chicken Breasts Fillets,Skinless,,5120,5kg e,,475,113,0,2.4,0,1.29,22.8,0,
71781,5060202390625,. 5pk Chicken Satay,Iceland,,,,,,,,,,,,,,,,,,,
71785,5060202390632,. 5pk Chicken Tikka Satay,Iceland,,,,,,,,,,,,,,,,,,,
89712,5052514014597,. 600g Cooked Trim,Iceland,,,,,,,,,,,,,,,,,,,
68913,3456770868154,. 6pk Creme Caramel,Iceland,Crème Caramel 6 x 100g (600g),Ready Made Foods,Snacks,Other Snacks,Crème Caramel,,,,6 x 100g e,Contains: Milk,490,116,23,1.6,21,0.1,2.3,0.1,
