group_id,leader,member,modify_leader,image_url
7,10 % desc 1 6 pack carlsberg cerveza lata,10 % desc 1 6 pack carlsberg cerveza lata,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b23dbe9f6e62ecaaa22c84ca1fa6df6/5954bcb006b10dbfd0bc160f6370faf3.jpeg
8,10 % desc 1 centenario ron 7 aos 750 ml,10 % desc 1 centenario ron 7 aos 750 ml,Yes,
9,10 % desc 1 centenario ron oro 375 ml,10 % desc 1 centenario ron oro 375 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/688ff980f0a6d8c9c8fe45d60f789aa6/5954bcb006b10dbfd0bc160f6370faf3.jpeg
10,10 % desc 1 durex mximo placer 3 uds,10 % desc 1 durex mximo placer 3 uds,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a4407ec0c9432aa4c6b0c57f7716281b/5954bcb006b10dbfd0bc160f6370faf3.jpeg
11,10 % desc 2 hic refresco te con limn 2.5 l,10 % desc 2 hic refresco te con limn 2.5 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/736ec3c2c3ac90bf37a4dddc977f41e0/5954bcb006b10dbfd0bc160f6370faf3.jpeg
12,10 % desc 2 powerade ion avalance 600 ml,10 % desc 2 powerade ion avalanc 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b649ed139e448d8ab752f747c77f1d4/859baff1d76042a45e319d1de80aec7a.jpeg
12,10 % desc 2 powerade ion avalance 600 ml,10 % desc 2 powerade ion avalance 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3b649ed139e448d8ab752f747c77f1d4/5954bcb006b10dbfd0bc160f6370faf3.jpeg
13,10 % desc 2 powerade ion frutas 600 ml,10 % desc 2 powerade ion frutas 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/158134f2037fce4ee019467ac5ada89f/5954bcb006b10dbfd0bc160f6370faf3.jpeg
14,10 % desc 2 powerade ion naranja 600 ml,10 % desc 2 powerade ion naranja 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/90f3a9ee16f0aec0c5b0ed8d67dfbda3/5954bcb006b10dbfd0bc160f6370faf3.jpeg
15,10 % desc 2 powerade zero fruit punch 591 ml,10 % desc 2 powerade zero fruit punch 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1a1943b0a62e58700ec7775ef90b4aa6/5954bcb006b10dbfd0bc160f6370faf3.jpeg
16,10 % desc 2 powerade zero grape 591 ml,10 % desc 2 powerade zero grape 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e8a150dd73c42ad10e02abf074d221ef/5954bcb006b10dbfd0bc160f6370faf3.jpeg
17,10 % desc 2 powerade zero mix berry 591 ml,10 % desc 2 powerade zero mix berry 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/47772f102776bb2aac49862465d250a1/5954bcb006b10dbfd0bc160f6370faf3.jpeg
18,10 % desc 2 tropical te frio melocotn 2.5 l,10 % desc 2 tropical te frio melocotn 2.5 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/518fb232f2d9571c1161c25c29352f3c/859baff1d76042a45e319d1de80aec7a.jpeg
19,10 % desc 3 coca cola 355 ml,10 % desc 3 coca cola 355 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e73da28c394191e2090d2818b8b76d99/5954bcb006b10dbfd0bc160f6370faf3.jpeg
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale 2 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5c43805dc3fe9cb13980cbe67616ebf4/5954bcb006b10dbfd0bc160f6370faf3.jpeg
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale 3 l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/57871d8c30c0bbc555f2bba2693fee71/5954bcb006b10dbfd0bc160f6370faf3.jpeg
36,11 % desc 2 canada dry ginger ale light 600 ml,11 % desc 2 canada dry ginger ale 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/909c5e5e1c5a99118ea29098841f9b31/5954bcb006b10dbfd0bc160f6370faf3.jpeg
