item_uuid,item_name,canonical_id,canonical_leader,canonical_member
fff37a69-192c-53e0-a1ec-67c7ac033481,Bebida Iced Vainilla Dos Pinos 250 Ml 4029 ,33947.0,dos pinos bebida iced vainilla britt 250 ml,bebida iced vainilla do pinos 250 ml 4029
ffcb01b6-fb08-5595-9489-66ba31964bc6,Helado Ron Con Pasas Dos Pinos 499 G 5672 ,34030.0,dos pinos helado ron con pasas pote 499 g,helado ron con pasas do pinos 499 g 5672
ffc28917-4177-541c-bbea-f9f7d52e9481,Fresco Leche Chocolate Dos Pinos 250 Ml 5009 ,33978.0,dos pinos fresco leche sabor chocolate 250 ml,fresco leche chocolate do pinos 250 ml 5009
ffa6692e-968a-5995-8759-bbdad80cf75f,Helado Super Cono Dos Pinos  9107 ,34036.0,dos pinos helado súper cono 1 unid,helado super cono do pinos 9107
ff9e058c-de29-55cb-bd39-2d060568395b,Bebida Iced Mocca Dos Pinos 250 Ml 4012 ,33946.0,dos pinos bebida iced mocca britt 250 ml,bebida iced mocca do pinos 250 ml 4012
ff9ad729-e24d-50b5-99d2-7c6a8361a76b,Jugo Naranja Dos Pinos 500 Ml 9038 ,34077.0,dos pinos jugo de naranja caja 500 ml,jugo naranja do pinos 500 ml 9038
ff8b765d-19ae-5588-8bd7-ede1bdfeff4b,Helado Caramelo Dos Pinos 499 G 9671 ,34045.0,dos pinos helado vainilla caramelo pote 499 g,helado caramelo do pinos 499 g 9671
ff74c8d6-cc91-5e1e-b986-8a004b07fd33,Mantequilla Dos Pinos 115 G 5048 ,34140.0,dos pinos mantequilla con sal barra 115 g,mantequilla do pinos 115 g 5048
ff3a7c9e-b0b2-54d3-89d2-9100f31dada5,Helado Chocoleta Dos Pinos 85 G 0110 ,33953.0,dos pinos chocoleta  75 g,helado chocoleta do pinos 85 g 0110
ff2271dd-4f80-57d2-91bd-2374e4522fb0,Fresco Leche Fresa Dos Pinos 1 L 8351 ,33979.0,dos pinos fresco leche sabor fresa 1 l,fresco leche fresa do pinos 1 l 8351
ff0e9c69-b1bf-5fe1-b562-11f4c666646c,Helado Coco Dos Pinos 500 G 9877 ,33992.0,dos pinos helado coco pote 500 g,helado coco do pinos 500 g 9877
ff07d009-b582-5be3-bb55-51a7ae4022e3,Helado Combinado Dos Pinos 499 G 9619 ,34057.0,dos pinos helado vainilla fresa limón pote 499 g,helado combinado do pinos 499 g 9619
fefd8bc9-3c42-5a54-8090-fcf4b7ee089b,Mantequilla Con Sal Dos Pinos 62.5 G 4973 ,34148.0,dos pinos mnatequilla con sal  barra 62.5 g,mantequilla con sal do pinos 62.5 g 4973
fef62f02-3adb-5014-917d-c0d3de18f09a,Refresco Mixto Frutas Disfruta Dos Pinos 330 Ml 5481 ,34239.0,dos pinos refresco sabor mix de frutas disfruta cartón 330 ml,refresco mixto frutas disfruta do pinos 330 ml 5481
fee7c376-3f61-5b13-ae02-82f059954ec3,Fresco Leche Vainilla Dos Pinos 250 Ml 7010 ,33983.0,dos pinos fresco leche sabor vainilla 250 ml,fresco leche vainilla do pinos 250 ml 7010
febaa3a9-4801-5195-ba89-4e2272aee039,Helado Cremoleta Fresa Dos Pinos 75 G 0141 ,34189.0,dos pinos paleta cremoleta de fresa bolsa 75 g,helado cremoleta fresa do pinos 75 g 0141
feb4eab2-fc52-5577-bf82-297a295d4788,Queso Turrialba Light Dos Pinos 300 G 3851 ,34222.0,dos pinos queso fresco y suave tipo turrialba light empaque 300 g,queso turrialba light do pinos 300 g 3851
feb1425d-fcc5-5dd4-8824-4ddef2a5b076,Jugo Nar-Marac-Gins Dos Pinos 946 Ml 7279 ,34080.0,dos pinos jugo de naranja y maracuyá con ginseng caja 946 ml,jugo narmaracgins do pinos 946 ml 7279
fea7f820-482c-5af5-ab9e-df14eff41dac,Natilla Delactomy Dp Dos Pinos 400 G 4996 ,34157.0,dos pinos natilla liviana delactomy doypack 400 g,natilla delactomy dp do pinos 400 g 4996
fe9ab3bf-18af-5531-a339-e25fafccd401,Helado Paleta Choco Snack Dos Pinos  0493 ,34181.0,dos pinos paleta choco snack 1 unid,helado paleta choco snack do pinos 0493
fe9498f3-8a34-53f5-8f9b-4007fb4e3ed2,Queso Mozzarella Rallado Dos Pinos 225 G 6419 ,34227.0,dos pinos queso mozzarella semiduro rallado doypack 225 g,queso mozzarella rallado do pinos 225 g 6419
fe934104-43c8-5bf4-b7a8-38345ff2d7b1,Helado Trits Dos Pinos 3 Pack 300 G 9039 ,34175.0,dos pinos pack helado trits 3 x 100 g,helado trits do pinos 3 pack 300 g 9039
fe9080e5-c4d6-5efd-b59c-9ed91f7035a9,Queso Crema Delactomy Dos Pinos 210 G 6143 ,34209.0,dos pinos queso crema delactomy pote 210 g,queso crema delactomy do pinos 210 g 6143
fe7b6825-8fea-5509-b0b3-17438b86df4d,Helado Krunchy Dos Pinos 500 G 7851 ,34012.0,dos pinos helado krunchy pote 500 g,helado krunchy do pinos 500 g 7851
fe70d7d6-5d5c-52df-97f4-ca5c8f78acd6,Queso Crema Dos Pinos 210 G 7363 ,34214.0,dos pinos queso crema original pote 210 g,queso crema do pinos 210 g 7363
fe66decd-2327-5aa3-835e-981b8d61d267,Helado Sundae Dos Pinos 110 G 0288 ,34034.0,dos pinos helado sundae pote 110 g,helado sundae do pinos 110 g 0288
fe42a28b-c0f4-568a-a391-21767e8ebf52,Queso Rico Rebanado Dos Pinos 140 G 5765 ,34234.0,dos pinos queso rico fresco semiduro 140 g - 7 rebanadas,queso rico rebanado do pinos 140 g 5765
fe2ae640-8c27-510f-bf35-9ada7bd222e5,Queso Semiduro Zarcero 300 G 3189 ,34487.0,zarcero queso semiduro empaque 300 g,queso semiduro zarcero 300 g 3189
fe1676ee-3534-5dac-a527-0f9aa3d6d0b4,Helado Caramelo Dos Pinos 1/2 Galón 9541 ,34044.0,dos pinos helado vainilla caramelo pote 1.028 kg,helado caramelo do pinos 12 galn 9541
fe12234c-2297-5f60-ae36-43c45ad3df11,Queso Fresco Zarcero 500 G 8405 ,34484.0,zarcero queso fresco suave empaque 500 g,queso fresco zarcero 500 g 8405
fdebe703-8a8c-5b4e-a926-40094cc1358c,Helado Mini Sándwich Dos Pinos 48 G 0646 ,34017.0,dos pinos helado mini sandwich 48 g,helado mini sndwich do pinos 48 g 0646
fde17fc8-3fba-561e-88e6-9efd37562695,Natilla La Granja Con Sal Dos Pinos 300 G 8728 ,34155.0,dos pinos natilla liviana con sal la granja bolsa 300 g,natilla la granja con sal do pinos 300 g 8728
fdcee080-ddd5-53d5-a986-99d10f9d5285,Helado Trits Chocolate Dos Pinos 100 G 9022 ,34041.0,dos pinos helado trits original pote 100 g,helado trits chocolate do pinos 100 g 9022
fdcbcaa8-5883-5f0e-b81a-a761cb3be646,Helado Crema Chips Dos Pinos 1/2 Galón 9503 ,34046.0,dos pinos helado vainilla chips de chocolate pote 1.028 kg,helado crema chip do pinos 12 galn 9503
fdc866ee-d2d4-567b-95f2-98fb2880d052,Helado Paleta Choco Snack Dos Pinos  0493 ,34181.0,dos pinos paleta choco snack 1 unid,helado paleta choco snack do pinos 0493
fdb7ce3e-178f-5fde-b387-d2a650900532,Helado Ron Con Pasas Dos Pinos 499 G 5672 ,34030.0,dos pinos helado ron con pasas pote 499 g,helado ron con pasas do pinos 499 g 5672
fdb2758f-31aa-5cb8-949d-262ab32071bd,Queso Fresco Zarcero 500 G 8405 ,34484.0,zarcero queso fresco suave empaque 500 g,queso fresco zarcero 500 g 8405
