group_id,leader,member,modify_leader,image_url
0,02 sim card,02 sim card,Yes,
1,1 and 1 mixed pickled cucumber 660g,1 and 1 mixed pickled cucumber 660g,Yes,
3,1 cucumber single,1 cucumber single,Yes,https://d1ralsognjng37.cloudfront.net/333d9527-4fd8-4afa-9d80-e5aecc7da00b.jpeg
4,1 green pepper single,1 green pepper single,Yes,https://d1ralsognjng37.cloudfront.net/9d8231be-5608-4783-b118-142fea81e579.jpeg
10,1 red pepper single,1 red pepper single,Yes,https://d1ralsognjng37.cloudfront.net/cf7aeda8-3b3b-43a5-91f7-c9595f9e2800.jpeg
11,10 british big egg,10 british big egg,Yes,https://d1ralsognjng37.cloudfront.net/88a8889e-5941-4c29-9695-89ff68d10d1a.jpeg
12,10 fish finger value,10 fish finger value,Yes,https://d1ralsognjng37.cloudfront.net/71c5fe7a-f04d-465e-b797-5488d808148f.jpeg
14,10 medium egg,10 medium egg,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/154c419c036256e48289eea5680af2a4/b4facf495c22df52f3ca635379ebe613.jpeg
16,12 egg,12 egg,Yes,https://d1ralsognjng37.cloudfront.net/a587b234-eabe-477a-a44b-e6802a5b4bf5.jpeg
25,1664 lager 4 x 440ml can,1664 lager 4 x 440ml can,Yes,https://d1ralsognjng37.cloudfront.net/4f8e84e0-b741-4ff1-b332-7c9484574c7e.jpeg
26,19 crime cab sauvignon 75cl,19 crime cabernet sauvignon 75cl,No,https://d1ralsognjng37.cloudfront.net/0a621fe2-7df1-4903-a0d7-3cdf65d03700.jpeg
32,19 crime sauv 75cl,19 crime sauv 75cl,Yes,
40,19 crime white wine,19 crime white wine,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9d3fe5e83e55af0b65b98037a3ccf45a/b4facf495c22df52f3ca635379ebe613.jpeg
44,19 gale sausage roll,19 gale sausage roll,Yes,
46,19gales bacon cheese wrap,19gales bacon cheese wrap,Yes,
47,19gales beef pasty,19gales beef pasty,Yes,
52,2 pack of strawberry sprinkle,2 pack of strawberry sprinkle,Yes,https://d1ralsognjng37.cloudfront.net/8696a4bd-c95e-4890-8ca0-64ba6f7d921d.jpeg
55,20 heavy duty bin bag 725mm x 850mm,20 heavy duty bin bag 725mm x 850mm,Yes,https://d1ralsognjng37.cloudfront.net/2341b373-7e86-4b3e-81b9-1c3eb27896c8.jpeg
56,20pk marlbor k gold tt,20pk marlbor k gold tt,Yes,
61,2ply toilet tissue 4 roll,2ply toilet tissue 4 roll,Yes,
63,3 baby chicken hmc halal,1 baby chicken hmc halal,Yes,https://d1ralsognjng37.cloudfront.net/40132674-9a4a-441d-8b5c-5b0efcf8e3a7.jpeg
63,3 baby chicken hmc halal,2 baby chicken hmc halal,Yes,
63,3 baby chicken hmc halal,3 baby chicken hmc halal,Yes,https://d1ralsognjng37.cloudfront.net/46c798fa-59fe-460d-9f29-76fd6f476229.jpeg
65,3 clementine,3 clementine,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/4241eb0422f043c238c49f19eae7596d/b4facf495c22df52f3ca635379ebe613.jpeg
66,3 gala apple,3 gala apple,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5b24741e419d4201a2a62579daccb76c/b4facf495c22df52f3ca635379ebe613.jpeg
67,3 green apple,3 green apple,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a09a31512100515a559a74e1c91cee0e/b4facf495c22df52f3ca635379ebe613.jpeg
69,3 hammer strong cider 1 litre,3 hammer strong cider 1 litre,Yes,https://d1ralsognjng37.cloudfront.net/6da4b628-e5c5-4db9-a302-5e57536f0136.jpeg
71,3 instore bakery white demi baguette,3 instore bakery white demi baguette,Yes,https://d1ralsognjng37.cloudfront.net/08b861c1-a274-4582-acca-a6b48a2d8f68.jpeg
72,3 large garlic coriander naan bread leicester hand baked,3 large garlic coriander naan bread leicester hand baked,Yes,https://d1ralsognjng37.cloudfront.net/5e7198ea-4bf0-488a-a92b-b1e2bca321d4.jpeg
73,3 large plain naan bread leicester handmade,3 large plain naan bread leicester handmade,Yes,https://d1ralsognjng37.cloudfront.net/5f6639f9-6ff6-43a8-a495-487e09c3faba.jpeg
75,3 lime,3 lime,Yes,https://d1ralsognjng37.cloudfront.net/a531693c-7959-4430-8d8b-8af89319d812.jpeg
76,3 mini pack fridge raider chicken bite southern style,3 mini pack fridge raider chicken bite southern style,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/af59ad3072fb26d7933ba6975ad301dd/859baff1d76042a45e319d1de80aec7a.jpeg
77,3 onion,3 onion,Yes,
82,4 banana,4 banana,Yes,
83,4 blueberry muffin,4 blueberry muffin,Yes,
84,4 conference pear,4 conference pear,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7625a9e53877c4c40a98b8b10c74a60d/b4facf495c22df52f3ca635379ebe613.jpeg
85,4 for 10 bottled beer cider,4 for 10 bottled beer cider,Yes,
86,4 foster 440ml,4 foster 440ml,Yes,
87,4 heineken,4 heineken,Yes,
88,4 holsten pill,4 holsten pill,Yes,
89,4 instore bakery funsize double chocolate doughnut,4 instore bakery funsize double chocolate doughnut,Yes,https://d1ralsognjng37.cloudfront.net/021bfaf3-33cf-4707-91ff-7a5182526ac9.jpeg
90,4 instore bakery funsize jam doughnut,4 instore bakery funsize jam doughnut,Yes,https://d1ralsognjng37.cloudfront.net/1e777c53-91e0-47de-94d0-4a2e01651793.jpeg
91,4 instore bakery white petit pain,4 instore bakery white petit pain,Yes,https://d1ralsognjng37.cloudfront.net/0da38b94-b182-4e3a-b29a-b900970a6f57.jpeg
92,4 lech,4 lech,Yes,
93,4 lemon,3 lemon,Yes,https://d1ralsognjng37.cloudfront.net/5e63426b-b126-430b-9db8-17795a4c0838.jpeg
93,4 lemon,4 lemon,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b19c99f996b2d216038828678c9c61fc/b4facf495c22df52f3ca635379ebe613.jpeg
94,4 lime,4 lime,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/59eee228aea56ca4da66eb7c7f2d49fc/b4facf495c22df52f3ca635379ebe613.jpeg
95,4 orange,4 orange,Yes,https://d1ralsognjng37.cloudfront.net/d7364060-e8ad-431d-8daa-780dac5161c0.jpeg
96,4 pack corona 4x330 ml,4 pack corona 4x330 ml,Yes,
99,4 pk cho hazelnut white cocoa hazelnut chocolate cookie cream and fruit of the forest,4 pk cho hazelnut white cocoa hazelnut chocolate cookie cream and fruit of the forest,Yes,https://d1ralsognjng37.cloudfront.net/4bfccd4d-8d85-4715-966c-b5572bd88f14.jpeg
100,4 san miguel,4 san miguel,Yes,
101,4 special brew,4 special brew,Yes,
