group_id,leader,member,modify_leader,image_url
0,0 % desc 1 centenario 7 aos 1l 2pk,0 % desc 1 centenario 7 aos 1l 2pk,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2a84e4a778b93a65f64f9bc5680663dc/5954bcb006b10dbfd0bc160f6370faf3.jpeg
1,0 % desc 1 dove fw clin aer ap orig cle6x2x91gjab,0 % desc 1 dove fw clin aer ap orig cle6x2x91gjab,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7a3510022d4e44424c291673488ea219/5954bcb006b10dbfd0bc160f6370faf3.jpeg
2,0 % desc 1 kotex protector lleve 150x100,0 % desc 1 kotex protector lleve 150x100,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e5d0e326a1cd13dcd8c5d0e15e0fe50f/5954bcb006b10dbfd0bc160f6370faf3.jpeg
3,0 % desc 1 of pantene sh400ml bamb ac200ml10,0 % desc 1 of pantene sh400ml bamb ac200ml10,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b30ddf0240463dc8ecb60882c28b7dbd/5954bcb006b10dbfd0bc160f6370faf3.jpeg
4,0 % desc 1 of.hs sh sua man 375ml sh 180ml10,0 % desc 1 of.hs sh sua man 375ml sh 180ml10,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/174b08f45c9a015a089810ad519cf040/5954bcb006b10dbfd0bc160f6370faf3.jpeg
5,0 % desc 1 pond fruit gel aloe 8x110glim facvinc,0 % desc 1 pond fruit gel aloe 8x110glim facvinc,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/8701b58795385f65827322028b37a4a1/5954bcb006b10dbfd0bc160f6370faf3.jpeg
6,0 % desc 1 sb repelente aerosol 200ml lt,0 % desc 1 sb repelente aerosol 200ml lt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/292ce25d1de9706a5b99ffd9b58dd405/5954bcb006b10dbfd0bc160f6370faf3.jpeg
7,1 scott toalla multi absorbente 3 uds,1 scott toalla multi absorbente 3 uds,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/29aa5e6b1ecca3089cb4b9140e69194e/5954bcb006b10dbfd0bc160f6370faf3.jpeg
8,10 % desc 1 alta vista vive malbec 750 bot,10 % desc 1 alta vista vive malbec 750 bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a238b5b6a8fcf09e39fd76d3df497c85/5954bcb006b10dbfd0bc160f6370faf3.jpeg
9,10 % desc 1 burgo viejo rioja crianza 750m,10 % desc 1 burgo viejo rioja crianza 750m,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/88974d2e48c09565bf77a6322fdcb6e9/5954bcb006b10dbfd0bc160f6370faf3.jpeg
10,10 % desc 1 burgo viejo rioja joven 750 ml,10 % desc 1 burgo viejo rioja joven 750 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/dbc3ab740ca10334eafde22e74a3dab3/5954bcb006b10dbfd0bc160f6370faf3.jpeg
11,10 % desc 1 cava villa conchi 750ml,10 % desc 1 cava villa conchi 750ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d84f831e8b3cff140478be5dc10ca04e/5954bcb006b10dbfd0bc160f6370faf3.jpeg
12,10 % desc 1 cousiom don lu merlot 750 ml,10 % desc 1 cousiom don lu merlot 750 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/56b5508ad1d49f035d0af8ecc3a58fa5/5954bcb006b10dbfd0bc160f6370faf3.jpeg
13,10 % desc 1 fud pechuga pavo delgado 450 g,10 % desc 1 fud pechuga pavo delgado 450 g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/303c34b59e7d9a4f69e904101f520199/859baff1d76042a45e319d1de80aec7a.jpeg
14,10 % desc 1 lolailo sangra tinta 750 ml,10 % desc 1 lolailo sangra tinta 750 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/4b66d7f354d260f08191d206d755f160/5954bcb006b10dbfd0bc160f6370faf3.jpeg
15,10 % desc 1 luis caas crianza 750 ml,10 % desc 1 luis caas crianza 750 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d5316208dbb0aebb9e8196548685bce2/5954bcb006b10dbfd0bc160f6370faf3.jpeg
16,10 % desc 1 lysol desinfectante toallas bl 80 wp,10 % desc 1 lysol desinfectante toallas bl 80 wp,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a6f82a6e7dfeba6edb9318ca32bbb7d4/5954bcb006b10dbfd0bc160f6370faf3.jpeg
17,10 % desc 1 nieto senetiner malbec 750ml,10 % desc 1 nieto senetiner malbec 750ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/b3bef51452b94514a5f44c4ae573d9dc/5954bcb006b10dbfd0bc160f6370faf3.jpeg
19,10 % desc 1 via vilano roble black 750ml,10 % desc 1 via vilano roble black 750ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cc61160ebd0cf4e51638954828332855/5954bcb006b10dbfd0bc160f6370faf3.jpeg
20,10 % desc 1 via vilano tinto joven 750ml,10 % desc 1 via vilano tinto joven 750ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/f2c494fbe2f464a33351c677048b7724/5954bcb006b10dbfd0bc160f6370faf3.jpeg
21,10 % desc 12 pack pabst cerveza lt 330 ml,10 % desc 1 pabst cerveza lt 355ml 12 pack,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cf35d54c085f581bd8db5246a68c4c16/5954bcb006b10dbfd0bc160f6370faf3.jpeg
21,10 % desc 12 pack pabst cerveza lt 330 ml,10 % desc 12 pack pabst cerveza lt 330 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/cf35d54c085f581bd8db5246a68c4c16/859baff1d76042a45e319d1de80aec7a.jpeg
22,10 % desc 2 hic refresco te con limn 2.5 bt,10 % desc 2 hic refresco te con limn 2.5 bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/736ec3c2c3ac90bf37a4dddc977f41e0/5954bcb006b10dbfd0bc160f6370faf3.jpeg
23,10 % desc 2 hic te con limn 400 ml bt,10 % desc 2 hic te con limn 400 ml bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2264db3ad803f7191f9963c89942c2c3/5954bcb006b10dbfd0bc160f6370faf3.jpeg
24,10 % desc 2 powerade ion avalanc bt 600 ml,10 % desc 2 powerade ion avalanc bt 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/42cda665f3778ad916eec200be417193/5954bcb006b10dbfd0bc160f6370faf3.jpeg
25,10 % desc 2 powerade ion frutas bt 600 ml,10 % desc 2 powerade ion frutas bt 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/60fb48ca1c5864ca893522ff9346f3aa/5954bcb006b10dbfd0bc160f6370faf3.jpeg
26,10 % desc 2 powerade ion naranja bt 600 ml,10 % desc 2 powerade ion naranja bt 600 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/d9e50de7acad71742b11e7aa71602bd0/5954bcb006b10dbfd0bc160f6370faf3.jpeg
27,10 % desc 3 coca cola desec 355 ml bt,10 % desc 3 coca cola desec 355 ml bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e73da28c394191e2090d2818b8b76d99/5954bcb006b10dbfd0bc160f6370faf3.jpeg
28,11 % desc 2 canada dry ginger a.3 lt.desec,11 % desc 2 canada dry ginger a.3 lt.desec,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/57871d8c30c0bbc555f2bba2693fee71/5954bcb006b10dbfd0bc160f6370faf3.jpeg
29,11 % desc 2 canada dry ginger ale light 600m bt,11 % desc 2 canada dry ginger a.600 ml bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/909c5e5e1c5a99118ea29098841f9b31/5954bcb006b10dbfd0bc160f6370faf3.jpeg
29,11 % desc 2 canada dry ginger ale light 600m bt,11 % desc 2 canada dry ginger ale light 600m bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/48fd72173541faed266d4b5becf6db94/5954bcb006b10dbfd0bc160f6370faf3.jpeg
30,11 % desc 2 canada dry soda 600 ml b bt,11 % desc 2 canada dry soda 600 ml b bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/279e11d84d3187bf36e96b67fcb42c21/5954bcb006b10dbfd0bc160f6370faf3.jpeg
31,11 % desc 2 canada dry soda desechable 2l bot,11 % desc 2 canada dry soda desechable 2l bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5eadd774e49400ec1ec2d64c7410a5f4/5954bcb006b10dbfd0bc160f6370faf3.jpeg
32,11 % desc 2 coca cola 600 ml desechable bt,11 % desc 2 coca cola 3 lts desechable bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/68e9e69479f07d6a7086268a7fb096f4/5954bcb006b10dbfd0bc160f6370faf3.jpeg
32,11 % desc 2 coca cola 600 ml desechable bt,11 % desc 2 coca cola 600 ml desechable bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ab319af9901d44006d322da7c1fdfb6a/5954bcb006b10dbfd0bc160f6370faf3.jpeg
33,11 % desc 2 coca cola 600 ml light bot,11 % desc 2 coca cola 600 ml light bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e7569768c81ee20572016378e42d1e90/5954bcb006b10dbfd0bc160f6370faf3.jpeg
34,11 % desc 2 fanta naranja 3lt desechable bt,11 % desc 2 fanta kolita 3lt desechable bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c7e748f0034af15722cd8560c50d0661/5954bcb006b10dbfd0bc160f6370faf3.jpeg
34,11 % desc 2 fanta naranja 3lt desechable bt,11 % desc 2 fanta naranja 3lt desechable bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c1da817775ac30703120ea50783b6a95/5954bcb006b10dbfd0bc160f6370faf3.jpeg
35,11 % desc 2 fresca desechable 600 ml b bt,11 % desc 2 fresca 3 litros desechable bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2594657cb8ce033425a98a24adf6463a/5954bcb006b10dbfd0bc160f6370faf3.jpeg
35,11 % desc 2 fresca desechable 600 ml b bt,11 % desc 2 fresca desechable 600 ml b bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/be42aea918feeee3e525d4e35bdcec0b/5954bcb006b10dbfd0bc160f6370faf3.jpeg
36,12 % desc 2 coca cola zero 600m desec bot,12 % desc 2 coca cola zero 600m desec bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/e7cdc5f513842e6a7e3533fa611ccb04/5954bcb006b10dbfd0bc160f6370faf3.jpeg
37,12 % desc 2 fuze te melocoton zero 2.5l,12 % desc 2 fuze te melocoton zero 2.5l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/472ec37583743ae23b78a2181b4193dc/5954bcb006b10dbfd0bc160f6370faf3.jpeg
38,12 % desc 2 fuze te verde limon zero 2.5l,12 % desc 2 fuze te verde limon zero 2.5l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/6a307b787f0dfbebef4a66bd5b9fc437/5954bcb006b10dbfd0bc160f6370faf3.jpeg
39,12 % desc 2 fuze te zero manmanza bt 2.5l,12 % desc 2 fuze te zero manmanza bt 2.5l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/25a55c10b84bbe500533351875d6b4c2/5954bcb006b10dbfd0bc160f6370faf3.jpeg
40,12 % desc 2 gatorade glaci zero bt 591 ml,12 % desc 2 gatorade glaci zero bt 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/23589b7853e2a37a70a9868bc1aa3771/5954bcb006b10dbfd0bc160f6370faf3.jpeg
41,12 % desc 2 gatorade naran zero bot 591 ml,12 % desc 2 gatorade naran zero bot 591 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1145c747a1d11e84475ce82a1e2307d1/5954bcb006b10dbfd0bc160f6370faf3.jpeg
42,13 % desc 1 bavaria gold lt 350ml 6 pack,13 % desc 1 bavaria gold lt 350ml 6 pack,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/28792866b21824dc96c82c1e230bec76/5954bcb006b10dbfd0bc160f6370faf3.jpeg
43,13 % desc 1 bavaria light 350ml lata 6u,13 % desc 1 bavaria light 350ml lata 6u,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/1d0ce901471be3de432b692e80e7ab95/5954bcb006b10dbfd0bc160f6370faf3.jpeg
44,13 % desc 2 fanta naranja desechable 355 bt,13 % desc 2 fanta naranja desechable 355 bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/661b80575ab80e58c49cfe718bcfc9c7/5954bcb006b10dbfd0bc160f6370faf3.jpeg
45,13 % desc 2 fresca desechable 355 ml bot,13 % desc 2 fresca desechable 355 ml bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/59c0c10c1cbf9797b226a5efcf843080/5954bcb006b10dbfd0bc160f6370faf3.jpeg
46,13 % desc 2 ginger ale desechable 355ml bt,13 % desc 2 ginger ale desechable 355ml bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/982be55d86014fe1f8a8f2743d025349/5954bcb006b10dbfd0bc160f6370faf3.jpeg
47,14 % desc 1 fresh semilla mix natural 500g,14 % desc 1 fresh semilla mix natural 500g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/642b7c900572054e7cbcce4cc45c9ae4/5954bcb006b10dbfd0bc160f6370faf3.jpeg
48,14 % desc 2 snapple grapeade te bt 473ml,14 % desc 2 snapple grapeade te bt 473ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2615fea9d9c6c3dbc81e3dd5edd527be/5954bcb006b10dbfd0bc160f6370faf3.jpeg
49,15 % desc 1 6 pack stella artois cerveza lt 330 ml,15 % desc 1 6 pack stella artois cerveza lt 330 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/deb8d1b68ae31f2cf8b21d04ce31fefa/5954bcb006b10dbfd0bc160f6370faf3.jpeg
50,15 % desc 1 alamo vino malbec 750 ml bot,15 % desc 1 alamo vino malbec 750 ml bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/9f8bfbcbc72c9ee8a40e11d48e9ec029/5954bcb006b10dbfd0bc160f6370faf3.jpeg
51,15 % desc 1 alma mora malbec 750ml,15 % desc 1 alma mora malbec 750 ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/57db7d90872e581f85e1f4b0a0c62de3/5954bcb006b10dbfd0bc160f6370faf3.jpeg
51,15 % desc 1 alma mora malbec 750ml,15 % desc 1 alma mora malbec 750ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/eb6eff928e0ff4045d2a29d86b37b8b5/5954bcb006b10dbfd0bc160f6370faf3.jpeg
52,15 % desc 1 amarula crema licor afri.750 m,15 % desc 1 amarula crema licor afri.750 m,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/c3a2de366bb2c9fce3d80c362b9b7ee8/5954bcb006b10dbfd0bc160f6370faf3.jpeg
53,15 % desc 1 catena vino malbec 750 ml bot,15 % desc 1 catena vino malbec 750 ml bot,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/2b3070a86d094f8c764f3d1297111e8e/5954bcb006b10dbfd0bc160f6370faf3.jpeg
54,15 % desc 1 durex natural h2o lub 100ml,15 % desc 1 durex natural h2o lub 100ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/4fce73c37a745eaaf832c6dd7806cfaf/5954bcb006b10dbfd0bc160f6370faf3.jpeg
55,15 % desc 1 durex sorpresa y placer cj 3ud,15 % desc 1 durex sorpresa y placer cj 3ud,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/7344d8e56012e3872c3b2339524bb768/5954bcb006b10dbfd0bc160f6370faf3.jpeg
56,15 % desc 1 electrolic suero mor azul 625 bt,15 % desc 1 electrolic suero mor azul 625 bt,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5a4b0277aaacef78ba9cbb95646c904f/5954bcb006b10dbfd0bc160f6370faf3.jpeg
