item_uuid,item_name,canonical_id,canonical_leader,canonical_member
fffa71d2-40bc-5207-8709-2790b876a93b,Helado Krunchy Torta Chilena Dos Pinos  1504 ,34014.0,dos pinos helado krunchy torta chilena  cono 75 g,helado krunchy torta chilena do pinos 1504
fff73ff6-4797-5fea-8ca8-4f76145dd396,Yogurt Griego Fresa Banano Dos Pinos 200 Ml 0002 ,34284.0,dos pinos yogurt griego fresa banano botella 200 ml,yogurt griego fresa banano do pinos 200 ml 0002
fff55775-6b35-53ce-9420-f657f9fc0262,Harina Nacarina 1 Kg 0108 ,1368.0,nacarina harina 1 kg,harina nacarina 1 kg 0108
fff2dec1-2e18-581b-82db-a2d4c6c56c57,Cerveza Imperial Light Lata 350 Ml 6 Pack 9951 ,1169.0,imperial cerveza light 6 unids x 350 ml c/u,cerveza imperial light lata 350 ml 6 pack 9951
fff1f5f7-a414-5290-9485-d25d10deb1ec,Salsa Inglesa Lizano 280 Ml 5116 ,1279.0,lizano salsa inglesa 280 ml,salsa inglesa lizano 280 ml 5116
ffef1643-deda-50bc-b676-468ec42a940b,Queso Crema Delactomy Dos Pinos 210 G 6143 ,476.0,dos pinos queso crema delactomy pote 210 g,queso crema delactomy do pinos 210 g 6143
ffee76e9-66ed-5abd-ae3d-300d1aa6528f,Fresco Leche Chocolate Dos Pinos 250 Ml 5009 ,33978.0,dos pinos fresco leche sabor chocolate 250 ml,fresco leche chocolate do pinos 250 ml 5009
ffec962c-0e41-52fb-a3b6-d71bb0181b73,Paté Fud 100 G 4003 ,1447.0,paté fud 100 g,pat fud 100 g 4003
ffe9d9a6-ecd1-5653-b169-89e13ecf1224,Salsa Inglesa Lizano 280 Ml 5116 ,1279.0,lizano salsa inglesa 280 ml,salsa inglesa lizano 280 ml 5116
ffe720ec-bab3-54aa-90ec-721adb3c74a9,Saba Toalla Ultradelgada 14U 6388 ,1603.0,saba toalla ultradelgada 14 piezas,saba toalla ultradelgada 14u 6388
ffe6a2d6-8f87-5fea-a9d1-f70a0d77ea31,3 Pack Snacks Tosty  485 G 4642 ,1746.0,tosty pack snack surtido 3 u,3 pack snack tosty 485 g 4642
ffe5d90d-9774-5f44-8973-ff344fd34d99,Pepsi Light Botella 1.5 L ,1466.0,pepsi light 1.5 l,pepsi light botella 1.5 l
ffe580b3-b0e2-5eca-aace-b8fe55449e56,Sardimar Atún Trozos Ajillo 140 G 9263 ,1634.0,sardimar atún trozos ajillo 140 g,sardimar atn trozos ajillo 140 g 9263
ffe19b18-5404-5318-b033-2c615fc1af00,Sardimar Atún Chile Jalapeño 140 G 9386 ,1622.0,sardimar atún chile jalapeño 140 g,sardimar atn chile jalapeo 140 g 9386
ffe05e83-99a7-51ee-a2f4-3c26f735b706,Casado Tradicional 420 G 8840 ,804.0,casado tradicional 420 g,casado tradicional 420 g 8840
ffd61518-04bf-5565-a0e2-6ffb572aa3ef,Detergente Libre Fragancia Rinso 1.5 Kg 4602 ,1571.0,rinso detergente libre fragancia 1.5 kg,detergente libre fragancia rinso 1.5 kg 4602
ffd350c5-5aee-5d78-8659-5de68355fa68,Chicharritos Limón Jack'S 75 G 4841 ,1209.0,jack´s chicharrones sabor pimiento limón chi charritos bolsa 75 g,chicharritos limn jacks75 g 4841
ffd1b072-4773-5724-a451-7b80ea8601f9,Pairdeer Batería Alka Aaa 2 U ,1414.0,pairdeer batería alkalina aaa 2 unid,pairdeer batera alka aaa 2 u
ffd16f05-d35f-5b70-90f5-40f4d7b53441,Bacardi Ron Superior Bla 750 Ml ,678.0,bacardi ron carta blanca botella 750 ml,bacardi ron superior bla 750 ml
ffce2ee8-7f9d-5680-b7e7-654b0494ac20,Té Verde Arizona Lata 458 Ml 0832 ,669.0,arizona té verde lata 458 ml,t verde arizona lata 458 ml 0832
