group_id,leader,member,modify_leader,image_url
0,0 % desc 1 kotex protector lleve 150 uds 50 gratis,0 % desc 1 kotex protector lleve 150 uds 50 gratis,Yes,
1,1 botran ron oro 5 aos 750 ml coca cola 2 l desecha hielo am k f4 16721,1 botran ron oro 5 aos 750 ml coca cola 2 l desecha hielo am k f4 16721,Yes,
2,1 casillero del diablo cabernet tinto 750 ml 2 pizza suprema 260 g f4 16891,1 casillero del diablo cabernet tinto 750 ml 2 pizza suprema 260 g f4 16891,Yes,
3,1 chucaro sauvignon blanc 750 ml 15 % desc,1 chucaro cabernet sauvignon 750 ml 15 % desc,Yes,
3,1 chucaro sauvignon blanc 750 ml 15 % desc,1 chucaro sauvignon blanc 750 ml 15 % desc,Yes,
4,1 coca cola light 2 l picaronas queso 150 g gratis f4 14539,1 coca cola light 2 l picaronas queso 150 g gratis f4 14539,Yes,
5,1 coca cola regular 2 l picaronas chile gratis f4 14539,1 coca cola regular 2 l picaronas chile gratis f4 14539,Yes,
6,1 ducal frijol molido picante medio 400 g jack snacker dipper 175 g tropical te fro con limon 2.5 l f4 16827,1 ducal frijol molido picante medio 400 g jack snacker dipper 175 g tropical te fro con limon 2.5 l f4 16827,Yes,
7,1 ducal frijol molido tico 400 g bimbo pan artesano 535 g tropical frutas mixtas 2 l fud jamn pavo 250 g f4 16886,1 ducal frijol molido tico 400 g bimbo pan artesano 535 g tropical frutas mixtas 2 l fud jamn pavo 250 g f4 16886,Yes,
8,1 flor de caa gran reserva 750 ml 2 evervess ginger 600 ml f4 16819,1 flor de caa gran reserva 750 ml 2 evervess ginger 600 ml f4 16819,Yes,
9,1 flor de caa ultralite 750 ml h2oh toronja rosa 2l f4 16820,1 flor de caa ultralite 750 ml h2oh toronja rosa 2l f4 16820,Yes,
10,1 huggies n.c. paal xg4 16 uds 15 % desc,1 huggies n.c. paal g3 19 uds 15 % desc,Yes,
10,1 huggies n.c. paal xg4 16 uds 15 % desc,1 huggies n.c. paal m2 22 uds 15 % desc,Yes,
10,1 huggies n.c. paal xg4 16 uds 15 % desc,1 huggies n.c. paal xg4 16 uds 15 % desc,Yes,
11,1 jarana tequila autentico 750 ml mrmrs mix margarita 1 l 5 limones mesinos f4 16719,1 jarana tequila autentico 750 ml mrmrs mix margarita 1 l 5 limones mesinos f4 16719,Yes,
12,1 kern salsa tomate 400 g bimbo pan hamburguesa 450 g f4 16887,1 kern salsa tomate 400 g bimbo pan hamburguesa 450 g f4 16887,Yes,
13,1 kern salsa tomate 400 g bimbo pan perro semilla 325 g fud salchicha pavo light 350 g f4 16889,1 kern salsa tomate 400 g bimbo pan perro semilla 325 g fud salchicha pavo light 350 g f4 16889,Yes,
14,1 kotex nocturna con ala 12 uds 15 % desc,1 kotex nocturna con ala 12 uds 15 % desc,Yes,
15,1 kotex protectores largo 50 uds 15 % desc,1 kotex protectores largo 50 uds 15 % desc,Yes,
16,1 kotex sport tampones super 8 uds 15 % desc,1 kotex sport tampones super 8 uds 15 % desc,Yes,
17,1 kotex toalla sport ultra fina 10 uds 15 % desc,1 kotex toalla sport ultra fina 10 uds 15 % desc,Yes,
19,1 pan franc gallo pinto 1000 g do p natilla granja con sal 300 g f4 16789,1 pan franc gallo pinto 1000 g do p natilla granja con sal 300 g f4 16789,Yes,
20,1 pepsi 3 l desechable lay fiesta snax 330 g f4 16862,1 pepsi 3 l desechable lay fiesta snax 330 g f4 16862,Yes,
21,1 plenitud femme protector med 24 uds 15 % desc,1 plenitud femme protector med 24 uds 15 % desc,Yes,
22,1 plenitud paal active plus p.m 8 uds 20 % desc,1 plenitud paal active plus p.m 8 uds 20 % desc,Yes,
23,1 rey caf puro selecto 250 g 15 % desc,1 rey caf puro selecto 250 g 15 % desc,Yes,
