group_id,leader,member,modify_leader,image_url
0,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,1 do pinos helado combinado 1 tosty mix snack 1 do p. te blanco cero 2.5 l f4 16973,Yes,
0,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,1 do pinos helado combinado 1 tosty mix snack 1 do p. te melocoton cero 2.5 l f4 16973,Yes,
1,10 % desc 1 do pinos helad guayabita 530 g,10 % desc 1 do pinos helad guayabita 530 g,Yes,
2,10 % desc 1 do pinos helado miln menta 540 g,10 % desc 1 do pinos helado miln menta 540 g,Yes,
3,10 % desc 1 do pinos helado tapita 540 g,10 % desc 1 do pinos helado tapita 540 g,Yes,
5,1002 leche do pinos homogenizad,1002 leche do pinos homogenizad,Yes,
6,1057 leche do pinos homog gable 1800ml,1057 leche do pinos homog gable,Yes,
6,1057 leche do pinos homog gable 1800ml,1057 leche do pinos homog gable 1800ml,Yes,
7,1064 leche do pinos azul uht,1064 leche do pinos azul uht,Yes,
8,1132 leche do pinos delactomy,1132 leche do pinos delactomy,Yes,
9,1156 leche do pinos descremada,1156 leche do pinos descremada,Yes,
10,1200 leche do pinos homogen gable 1000ml,1200 leche do pinos homogen gable,Yes,
10,1200 leche do pinos homogen gable 1000ml,1200 leche do pinos homogen gable 1000ml,Yes,
11,15 % desc 1 do pinos t blanco cero bot inm 2.5l,15 % desc 1 do pinos t blanco cero bot inm 2.5l,Yes,
12,15 % desc 1 do pinos te melocotn inm 2.5 l,15 % desc 1 do pinos te limn inm 2.5 l,Yes,
12,15 % desc 1 do pinos te melocotn inm 2.5 l,15 % desc 1 do pinos te melocotn inm 2.5 l,Yes,
13,15 % off 8 pack leche enteron coronado 3.5 % 1l,15 % off 8 pack leche enteron coronado,Yes,
13,15 % off 8 pack leche enteron coronado 3.5 % 1l,15 % off 8 pack leche enteron coronado 3.5 % 1l,Yes,
14,18 % desc 2 do pinos helado deleite dulce de leche 565 g 9198,18 % desc 2 do pinos helado deleite dulce de leche 565 g 9198,Yes,
15,1811 yogurt do pinos top fresa,1811 yogurt do pinos top fresa,Yes,
17,2 canasta la estacin,2 canasta la estacin,Yes,
19,2 copas la estacin 2 copas lula,2 copas la estacin 2 copas lula,Yes,
20,2 do pinos helado sundae 110 g 26 % desc,2 do pinos helado sundae 110 g 26 % desc,Yes,
21,2 do pinos lula yogurt fresa arroz 118 g 22 % desc,2 do pinos lula yogurt fresa arroz 118 g 22 % desc,Yes,
22,2 do pinos trits pie limn 100 g 25 % desc,2 do pinos trits pie limn 100 g 25 % desc,Yes,
23,2 gallito chocolate rompopito 144 g 20 % desc f4,2 gallito chocolate rompopito 144 g 20 % desc f4,Yes,
24,2 melcochones simple jamn cinta azul 125 g queso procesado do pinos 8 unid jugo de naranja do pinos 1l por 200 cambium tipo de melcochn combo 2,2 melcochones simple jamn cinta azul 125 g queso procesado do pinos 8 unid jugo de naranja do pinos 1l por 200 cambium tipo de melcochn combo 2,Yes,
26,2 pack chocolate gallito tableta morenito mix 200g desc 25 %,2 pack chocolate gallito tableta morenito mix 200g desc 25 %,Yes,
27,2 pack chocolate gallito tapita 100 gr desc 40 %,2 pack chocolate gallito corazn 100 gr desc 20 %,Yes,
27,2 pack chocolate gallito tapita 100 gr desc 40 %,2 pack chocolate gallito corazn 100 gr desc 40 %,Yes,
27,2 pack chocolate gallito tapita 100 gr desc 40 %,2 pack chocolate gallito tapita 100 gr desc 20 %,Yes,
27,2 pack chocolate gallito tapita 100 gr desc 40 %,2 pack chocolate gallito tapita 100 gr desc 40 %,Yes,
30,2 pack helado gallito guayabita 14gl desc 30 %,2 pack helado gallito guayabita 14gl,Yes,
30,2 pack helado gallito guayabita 14gl desc 30 %,2 pack helado gallito guayabita 14gl desc 30 %,Yes,
32,2 pack leche saborizada uht coronado choco banano 180ml desc 50 %,2 pack leche saborizada uht coronado choco banano 180ml desc 50 %,Yes,
33,2 pack leche saborizada uht coronado fresa 180 ml desc 50 %,2 pack leche saborizada uht coronado fresa 180 ml desc 50 %,Yes,
34,2 pack leche saborizada uht coronado galleta maria180 ml desc 50 %,2 pack leche saborizada uht coronado galleta maria180 ml desc 50 %,Yes,
35,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750 gr,Yes,
35,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750 gr cgrapa desc 35 %,Yes,
35,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750 ml con grapa desc 35 %,Yes,
35,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750g desc 35 %,Yes,
35,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750g desc 50 %,Yes,
35,2 pack natilla zarcero con sal 750gr desc 35 %,2 pack natilla zarcero con sal 750gr desc 35 %,Yes,
38,2 pack yogurt lquido coronado mora 1.8l desc 25 %,2 pack yogurt lquiddo coronado mora 1.8 lt desc 25 %,Yes,
38,2 pack yogurt lquido coronado mora 1.8l desc 25 %,2 pack yogurt lquido coronado mora 1.8 l desc 25 %,Yes,
38,2 pack yogurt lquido coronado mora 1.8l desc 25 %,2 pack yogurt lquido coronado mora 1.8 lt desc 25 %,Yes,
38,2 pack yogurt lquido coronado mora 1.8l desc 25 %,2 pack yogurt lquido coronado mora 1.8 lt desc 40 %,Yes,
38,2 pack yogurt lquido coronado mora 1.8l desc 25 %,2 pack yogurt lquido coronado mora 1.8l desc 25 %,Yes,
39,2 slice de queque la estacin y krunchy 2 minitapitas,2 slice de queque la estacin y krunchy 2 minitapitas,Yes,
40,2 x 3990 helado do pinos chocolate 14 gl 499 grs,2 x 3990 helado do pinos chocochips 14 gl 499 grs,Yes,
40,2 x 3990 helado do pinos chocolate 14 gl 499 grs,2 x 3990 helado do pinos chocolate 14 gl 499 grs,Yes,
42,2 x 3990 helado dulce de leche deleite do pinos 14 gl 565 grs,2 x 3990 helado dulce de leche deleite do pinos 14 gl 565 grs,Yes,
43,2 x 3990 helado trits do pinos 14 gl 540 grs,2 x 3990 helado do pinos vainilla 14 gl 499 grs,Yes,
43,2 x 3990 helado trits do pinos 14 gl 540 grs,2 x 3990 helado tapita do pinos 14 gl 540 grs,Yes,
43,2 x 3990 helado trits do pinos 14 gl 540 grs,2 x 3990 helado trits do pinos 14 gl 540 grs,Yes,
44,20 % desc 2 do pinos helado deleite naranja holandesa 565 g 0516,20 % desc 2 do pinos helado deleite naranja holandesa 565 g 0516,Yes,
45,20 % desc 2 do pinos helado deleite pie lin 555 g 3752,20 % desc 2 do pinos helado deleite pie lin 555 g 3752,Yes,
47,2039 leche do pinos descremada polvo,2039 leche do pinos descremada polvo,Yes,
48,2060 leche do pinos pinito polvo,2060 leche do pinos pinito polvo,Yes,
49,21 % desc muga anden de la estacin 750ml,21 % desc muga anden de la estacin 750ml,Yes,
50,2206 leche do pinos delactomy polvo,2206 leche do pinos delactomy polvo,Yes,
51,2238 yogurt do pinos deligurt fresa,2238 yogurt do pinos deligurt fresa,Yes,
52,2245 yogurt do pinos deligurt arandano 750ml,2245 yogurt do pinos deligurt arandano,Yes,
52,2245 yogurt do pinos deligurt arandano 750ml,2245 yogurt do pinos deligurt arandano 750ml,Yes,
53,23 % desc 2 do pinos helado coco 500 g,23 % desc 2 do pinos helado coco 500 g,Yes,
54,23 % desc 2 do pinos helado deleite chocobon 565 g 0554,23 % desc 2 do pinos helado deleite chocobon 565 g 0554,Yes,
55,24 % desc 2 do pinos helado napolitano 500 g,24 % desc 2 do pinos helado napolitano 500 g,Yes,
56,25 % desc 2 do pinos deligurt fresa 200 ml,25 % desc 2 do pinos deligurt fresa 200 ml,Yes,
57,25 % desc 2 do pinos deligurt inline arndanos 200 ml,25 % desc 2 do pinos deligurt inline arndanos 200 ml,Yes,
58,25 % desc 2 do pinos helado crema chip 499 g,25 % desc 2 do pinos helado caramelo 499 g,Yes,
58,25 % desc 2 do pinos helado crema chip 499 g,25 % desc 2 do pinos helado combinado 499 g,Yes,
58,25 % desc 2 do pinos helado crema chip 499 g,25 % desc 2 do pinos helado crema chip 499 g,Yes,
59,25 % desc 2 do pinos helado ron con pasas 499 g,25 % desc 2 do pinos helado ron con pasas 499 g,Yes,
60,25 % desc 2 do pinos yogurt arndanos 200 ml,25 % desc 2 do pinos yogurt arndanos 200 ml,Yes,
61,25 % desc 2 do pinos yogurt inline fresa 200 ml,25 % desc 2 do pinos yogurt inline fresa 200 ml,Yes,
62,25 % desc 2 do pinoshelado crema 499 g,25 % desc 2 do pinoshelado crema 499 g,Yes,
63,25 % off 2 pack yogurt lquido coronado mora 1.8l,25 % off 2 pack yogurt lquido coronado mora 1.8l,Yes,
64,25 % off en chocolate gallito tableta morenito mix 200 gr,25 % off en chocolate gallito tableta morenito mix 200 gr,Yes,
65,2510 lactocrema do pinos barra 115g,2510 lactocrema do pinos barra,Yes,
65,2510 lactocrema do pinos barra 115g,2510 lactocrema do pinos barra 115g,Yes,
66,2525 jugo do pinos naranja 100 % 1800ml,2525 jugo do pinos naranja 100 %,Yes,
66,2525 jugo do pinos naranja 100 % 1800ml,2525 jugo do pinos naranja 100 % 1800ml,Yes,
67,2641 yogurt do pinos trad natural 500g,2641 desc.17.68 % yogurt do pinos trad natural,Yes,
67,2641 yogurt do pinos trad natural 500g,2641 yogurt do pinos trad natural,Yes,
67,2641 yogurt do pinos trad natural 500g,2641 yogurt do pinos trad natural 500g,Yes,
68,27 % desc 2 do pinos helado choco almendra 530 g,27 % desc 2 do pinos helado choco almendra 530 g,Yes,
69,2764 yogurt do pinos deli light fresa 750ml,2764 yogurt do pinos deli light fresa,Yes,
69,2764 yogurt do pinos deli light fresa 750ml,2764 yogurt do pinos deli light fresa 750ml,Yes,
70,2884 yogurt griego do pinos fresa banano 750ml 750ml,2884 yogurt griego do pinos fresa banano 750ml,Yes,
70,2884 yogurt griego do pinos fresa banano 750ml 750ml,2884 yogurt griego do pinos fresa banano 750ml 750ml,Yes,
71,2978 yogurt do pinos top arroz 4pack 680g,2978 desc.13.49 % yogurt do pinos top arroz 4pack,Yes,
71,2978 yogurt do pinos top arroz 4pack 680g,2978 desc.13.49 % yogurt do pinos top arroz 4pack 680g,Yes,
71,2978 yogurt do pinos top arroz 4pack 680g,2978 yogurt do pinos top arroz 4pack,Yes,
71,2978 yogurt do pinos top arroz 4pack 680g,2978 yogurt do pinos top arroz 4pack 680g,Yes,
72,2x do pinos disfruta te frio blanco 3 lt,2x do pinos disfruta te frio blanco 3 lt,Yes,
73,2x do pinos disfruta te frio melocoton 3 lt,2x do pinos disfruta te frio melocoton 3 lt,Yes,
75,2x helado deleite caramelo do pinos 14 gl 565 grs,2x helado deleite caramelo do pinos 14 gl 565 grs,Yes,
76,2x helado do pinos chocolate 14 gl 499 grs,2x helado combinado do pinos 14 gl 499 grs,Yes,
76,2x helado do pinos chocolate 14 gl 499 grs,2x helado do pinos chocochips 14 gl,Yes,
76,2x helado do pinos chocolate 14 gl 499 grs,2x helado do pinos chocolate 14 gl 499 grs,Yes,
77,2x helado do pinos vainilla 14 gl,2x helado do pinos vainilla 14 gl,Yes,
78,2x helado guayabita do pinos 14 gl 530 grs,2x helado guayabita do pinos 14 gl 530 grs,Yes,
79,2x helado krunchy do pinos 14 gl 500 grs,2x helado krunchy do pinos 14 gl 500 grs,Yes,
80,2x helado milan menta do pinos 14 gl 540 grs,2x helado milan menta do pinos 14 gl 540 grs,Yes,
81,2x helado trits do pinos 14 gl 540 grs,2x helado tapita do pinos 14 gl 540 grs,Yes,
