group_id,leader,member,modify_leader,image_url
14,1000 story zinfandel 75cl,1000 story zinfandel 75cl,Yes,https://d1ralsognjng37.cloudfront.net/b5715b3b-cd75-445d-90ee-ad1bc3dbdb59.jpeg
53,19 crime 75cl,19 crime 75cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/101fbb7826008c7313beb0f9e83db6bc/859baff1d76042a45e319d1de80aec7a.jpeg
54,19 crime 75cl,19 crime 75cl,Yes,https://d1ralsognjng37.cloudfront.net/dc88965a-b75a-48c7-aa48-f50e5b638733.jpeg
89,2 in 1 bold with lenor lavender camomile,2 in 1 bold with lenor lavender camomile,Yes,
270,7up free of sugar,7up free of sugar,Yes,
455,adnams ghostship pale ale 500ml,adnams ghostship pale ale 500ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/afde67b26ab0f5df901561c9e11aef4b/859baff1d76042a45e319d1de80aec7a.jpeg
519,aero peppermint 100 g,aero peppermint block 100g,No,
577,air wick purple blackberry spice,air wick purple blackberry spice,Yes,
669,alberto balsam green apple raspberry coconut lychee conditioner,alberto balsam green apple raspberry coconut lychee conditioner,Yes,
670,alberto balsam green apple raspberry coconut lychee shampoo,alberto balsam green apple raspberry coconut lychee shampoo,Yes,
745,alberto balsam juicy green apple shampoo 350 ml,alnerto balsam juicy green apple shampoo 350ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/963f49bd3ffaf1ae781b9cf05471ed17/859baff1d76042a45e319d1de80aec7a.jpeg
719,all in one bold lenor,all in one bold lenor,Yes,
948,always ultra 16 pack normal pad,always ultra pad normal 16,No,https://tb-static.uber.com/prod/image-proc/processed_images/de3cdfc9b40476c3798d1cf9bf3d8f8c/859baff1d76042a45e319d1de80aec7a.jpeg
909,always ultra 3 instant dry night,always ultra 2 instant dry,Yes,
909,always ultra 3 instant dry night,always ultra 3 instant dry night,Yes,
959,amaretto smooth rich,amaretto smooth rich,Yes,
1016,ambrosia custard pot 120g,ambrosia custard pot 120g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/67e7800d2a544dfbd337ca0f36075c17/859baff1d76042a45e319d1de80aec7a.jpeg
1024,ambrosia devon custard rice pudding,ambrosia devon custard rice pudding,Yes,
1117,american style fry,american style fry,Yes,
1132,aminga estate cabernet sauvignon 75cl,aminga estate cabernet sauvignon 75cl,Yes,https://d1ralsognjng37.cloudfront.net/81ba3ece-04eb-49c1-b735-d2252ef30889.jpeg
1133,aminga estate malbec 75cl,aminga estate malbec 75cl,Yes,
1163,amstel beer 6x300ml,amstel bier 15x300ml,No,https://d1ralsognjng37.cloudfront.net/d34eb595-b9d7-4ebf-8bf3-6ad50a36731f.jpeg
1282,angel delight chocolate flavour 59g,angel delight chocolate 59g,No,https://tb-static.uber.com/prod/image-proc/processed_images/dd50b5223afffff1925fd1bc40eccc35/859baff1d76042a45e319d1de80aec7a.jpeg
1287,angel delight strawberry flavour dessert 59g,angel delight strawberry flavoured dessert 59g,No,https://tb-static.uber.com/prod/image-proc/processed_images/ed323db4396d3e64b68366b14b4cde73/859baff1d76042a45e319d1de80aec7a.jpeg
1339,apothic red 75cl,apothic red 75cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5f9490633387ee971033bdd2e8089318/859baff1d76042a45e319d1de80aec7a.jpeg
29651,apple blackcurrent squash,oasis blackcurrent apple,No,
