group_id,leader,member,modify_leader,image_url
369,absolut passionfruit 38 % 70cl,absolut passionfruit 38 % 70cl,Yes,
373,absolut raspberri 38 % 70cl,absolut raspberri 38 % 70cl,Yes,
421,ace white cider 2.5ltr,ace white cider 2.5ltr,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/0766f774ed89965451e4eaa2fbb8b26f/859baff1d76042a45e319d1de80aec7a.jpeg
697,alfie pink gin tonic 250ml can,alfie gin tonic 250ml can,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/3a2bd7a63ed76ba5a905a6b5a0bc6255/859baff1d76042a45e319d1de80aec7a.jpeg
697,alfie pink gin tonic 250ml can,alfie pink gin tonic 250ml can,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/a9828c8884f77a6718ffb5c576388f64/859baff1d76042a45e319d1de80aec7a.jpeg
1170,amstel bier 4x440ml can,amstel bier 4x440ml can,Yes,https://d1ralsognjng37.cloudfront.net/aabf2047-60c8-4879-bfed-82c1344b5b59.jpeg
2894,beef steak beef liberty malbec 75cl,beef steak beef liberty malbec 75cl,Yes,
3363,best one sport drink orange,best one sport drink orange,Yes,
3488,bh new superkings green 20,bh new superkings green 20,Yes,
3855,birra moretti lager 4x440ml,birra moretti lager 4x440ml,Yes,
6757,carling can,carling can,Yes,
6765,carling lager pint 4x568ml,carling lager pint 4x568ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/49b6d91bbe5d79289e1ac8bca6b33d39/859baff1d76042a45e319d1de80aec7a.jpeg
6853,carlsberg pilsner 10x568ml,carlsberg pilsner 4x568ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/9b779477d9394fa35e44c3d16107df94/859baff1d76042a45e319d1de80aec7a.jpeg
7521,chesterfield red super king 20,chesterfield k red sp 20,No,
7521,chesterfield red super king 20,chesterfield sks red 20,No,
9906,coke classic 1.5l,coke classic 1.75lt,No,https://d1ralsognjng37.cloudfront.net/b1d5f412-2f34-48f5-aec5-a4d955d1fcf4.jpeg
9906,coke classic 1.5l,coke classic 1.75ltr,No,https://tb-static.uber.com/prod/image-proc/processed_images/178d81a3e7846db72401bef2dd81057d/859baff1d76042a45e319d1de80aec7a.jpeg
11392,corona bottle 4x330ml,corona extra bottle 4x330ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/158c5cb25fd704f4a152fbd66d0f77b1/859baff1d76042a45e319d1de80aec7a.jpeg
12546,desperado 330ml bottle 3pk,desperado bottle 3x330ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/850649a8615058c97280560e37e32c1b/859baff1d76042a45e319d1de80aec7a.jpeg
13225,dot go berry nice,dot go berry nice,Yes,
13226,dot go blackjack,dot go blackjack,Yes,
13227,dot go menthol,dot go menthol,Yes,
13228,dot go purple crush,dot go purple crush,Yes,
13832,echo fall white blend 75cl,echo fall rose blend 75cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/56286e8efb629bdbb733e3df4a583d3d/859baff1d76042a45e319d1de80aec7a.jpeg
13832,echo fall white blend 75cl,echo fall white blend 75cl,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/ea0fa496736f97afcfd295aa27a44065/859baff1d76042a45e319d1de80aec7a.jpeg
14325,emerge regular energy drink 1 ltr,emerge regular energy drink 1 ltr,Yes,https://d1ralsognjng37.cloudfront.net/59c7a526-2ad6-4ddd-b09a-c6042cdb09b9.jpeg
17189,golden virginia yellow rolling tobbaco 30 g,golden virginia origin 30g,No,
17189,golden virginia yellow rolling tobbaco 30 g,golden virginia origin 30g ttt,No,
17464,gordon pink gin 70cl .49p,gordons pink gin 0 % 70cl,No,
17456,gordons passionfruit gin 70cl,gordons passionfruit gin 70cl,Yes,
19414,heineken lager 4x568ml,heineken lager 4x568ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/797136412cea36dd57ad6d4f69f87548/859baff1d76042a45e319d1de80aec7a.jpeg
19422,heineken lager beer bottle 12 x 330ml,heineken bottle 4x330ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/ba36c1e89dc53252fbe2689b22174e62/859baff1d76042a45e319d1de80aec7a.jpeg
19422,heineken lager beer bottle 12 x 330ml,heineken lager bottle 12x330ml,No,
19422,heineken lager beer bottle 12 x 330ml,heineken lager bottle 4x330ml,No,
19451,heineken silver 12x330ml,heineken silver 12x330ml,Yes,
21832,jj whitley gold vodka 70cl,jj whitley gold vodka 70cl,Yes,
21844,jj whitley raspberry vodka 70cl,jj whitley blue raspberry vodka70cl,No,
23047,kingstone press dry cider 500ml,kingstone press dry cider 500ml,Yes,
23492,kopparberg with mixed fruit 500ml,kopparberg mixed fruit gin tonic 250ml,No,https://tb-static.uber.com/prod/image-proc/processed_images/d76210f42830fc02db02b1455b1bf5f3/859baff1d76042a45e319d1de80aec7a.jpeg
23492,kopparberg with mixed fruit 500ml,kopparberg na fruit cider 500ml,No,https://d1ralsognjng37.cloudfront.net/d6b686b2-3d6f-4e78-94ad-4c63db2e31a5.jpeg
23492,kopparberg with mixed fruit 500ml,kopparberg no alcohol mixed fruit cider 500ml,No,
23944,lambert butler k real blue 20 pack,lambert butler blue real blue 20,No,
23944,lambert butler k real blue 20 pack,lambert butler blue sks real blue 20,No,
