item_uuid,item_name,canonical_id,canonical_leader,canonical_member
ffffc2f5-47fd-51b0-a229-ba0e6847ca36,Strongbow Can 10X440Ml,22034.0,strongbow cider can 10 x 440 ml,strongbow can 10x440ml
ffec0270-a43f-5563-8381-66fbe20798b6,Yellow Tail Chardonnay 75Cl,26407.0,yellow tail chardonnay 75 ml,yellow tail chardonnay 75cl
ffe4c039-7096-52ee-9e89-67dbcc3f1687,Jps Real Blue 20,19313.0,jsp  real blue 20,jps real blue 20
ffd91d68-3a7d-558e-8932-d1dec1d9a68a,Fanta Orange 2 Ltr,7406.0,fanta orange soda 2 l,fanta orange 2 ltr
ffd71a9f-644c-54a8-ad3d-281ccff41b33,FANTA ORANGE 500ML,7411.0,fanta orange soda 500 ml,fanta orange 500ml
ffba36af-4bc8-5f21-a48e-49ad5f91d1ff,Yellow Tail Malbec  75Cl,26440.0,yellow tail malbec 75 ml,yellow tail malbec 75cl
ffb7e3aa-68ab-5fd0-9508-079f8a100d8a,Ambrosia Devon Custard 400G,1196.0,ambrosia devon custard 400 g,ambrosia devon custard 400g
ffb753e6-7992-5a6f-ab1a-1209de59736c,Cadbury Caramel Nibbles 95G,5807.0,cadbury dairy milk caramel nibbles chocolate 95 g,cadbury caramel nibble 95g
ffa94f06-c05b-5f19-b24e-68d951fb5cd0,Barefoot White Zinfandel 75Cl,1946.0,barefoot zinfandel 750 ml,barefoot white zinfandel 75cl
ffa1442b-75ef-5187-ab77-65e7cae94d7d,Hardys Crest Chardonnay Sauvignon Blanc 75Cl,10204.0,harveys crest chardonnay sauvignon blanc white wine 750 ml,hardy crest chardonnay sauvignon blanc 75cl
ff96f6a7-0b15-574c-b604-717cc112e4e3,Sterling 30G,21784.0,sterling 30 g,sterling 30g
ff8f7465-ef64-580d-aee6-5d280bb80944,Doritos Chilli Heatwave 150G,6327.0,doritos chilli heatwave crisps  150 g,doritos chilli heatwave 150g
ff779632-3e11-5db1-9f34-559ca38b54d5,Amber Leaf 30G,1184.0,amber leaf ttt 30 g,amber leaf 30g
ff7606fc-d0f2-5754-bb35-3649859e6ec7,Fanta Orange 2 Ltr,7406.0,fanta orange soda 2 l,fanta orange 2 ltr
ff6fd766-4a93-5f60-8359-728c09998dd4,Pepsi Max 2 Litre,17600.0,pepsi max 2 l,pepsi max 2 litre
ff62aeeb-e6bd-5f10-804c-83120260cd3c,Riverstone 30G,19618.0,riverstone tobacco 30 g,riverstone 30g
ff5d1ef5-c966-5f89-b0dc-b732b4871de1,The Straw Hat Rose 75Cl,45526.0,the straw hat rose 75cl,the straw hat rose 75cl
ff5b4922-57bb-5188-8812-f1738e0f021a,Mcguigan Black Label Shiraz 75Cl,14977.0,mcguigan black lable shiraz 75cl,mcguigan black label shiraz 75cl
ff5a77ca-3a11-5fe1-aaa9-cbecd560ea03,Beefeater Pink Gin 70Cl,2205.0,beefeater pink gin 700 ml,beefeater pink gin 70cl
ff58f90a-18d8-5deb-9f3b-62fbd16fe410,The Straw Hat Rose 75Cl,45526.0,the straw hat rose 75cl,the straw hat rose 75cl
ff580ea7-5422-5879-8ee1-c4c1584fe293,Big D Dry Roasted Peanuts 240G,27236.0,big d dry roasted peanut 240 g,big d dry roasted peanut 240g
ff406182-2fa7-5bb6-a350-ac31dd7c5768,Heineken Bottle 650Ml,30411.0,heineken beer 650 ml,heineken bottle 650ml
ff35c4c3-1151-5326-a5f1-131e45bfd4e3,Mcguigan Reserve Chardonnay 75Cl,14988.0,mcguigan reserve chardonnay 75cl,mcguigan reserve chardonnay 75cl
ff3215f3-d143-5545-ad6e-7f51e48599b7,HOVIS MEDIUM BREAD,10691.0,hovis  medium bread,hovis medium bread
ff2ddf4a-3a88-55ce-8a80-b6e95b493474,Three Barrels 70Cl,23253.0,three barrel rare old french brandy 70 ml,three barrel 70cl
ff270c6f-b751-5744-b68a-59731befeeb3,Cutters Choice Original 30G,5690.0,cutters choice original tobacco 30 g,cutter choice original 30g
ff21f967-9b2c-5389-8f28-c68ca143bfd0,Baileys Irish Cream 70Cl,16955.0,original irish cream liqueur 70cl,bailey irish cream 70cl
ff1e3854-a883-521d-ab20-152c5652cec0,Wkd Blue 70Cl,25987.0,wkd blue 70 ml,wkd blue 70cl
