group_id,leader,member,modify_leader,image_url
1,0038be56c5a543c5b3510f11e72b6cf0snickers chocolate duo bar 83.4gname,0038be56c5a543c5b3510f11e72b6cf0snickers chocolate duo bar 83.4gname,Yes,https://d1ralsognjng37.cloudfront.net/0852705f-3fac-4de4-819b-58be4d132c16.jpeg
33408,1 ltr e orange juice,orange juice drink 1 litre,No,
10,10 cheese single,10 cheese single,Yes,https://d1ralsognjng37.cloudfront.net/3a3bd72a-ac22-447f-9f46-8dc63e6ddef7.jpeg
12,10 fresh egg,10 fresh egg,Yes,
13,10 glitter glue,10 glitter glue,Yes,
15,100 fragranced doggy bag,100 fragranced doggy bag,Yes,
16,100 water balloon bomb,100 water balloon bomb,Yes,
17,1001 shampoo 450ml,1001 shampoo 450ml,Yes,
18,10x budweisr 440 ml can,10x budweisr 440 ml can,Yes,https://d1ralsognjng37.cloudfront.net/316ac9ab-a085-4a0c-a0b6-ded989687fb3.jpeg
19,10x carling original lager 440ml,10x carling original lager 440ml,Yes,https://d1ralsognjng37.cloudfront.net/9a419f76-a02a-49c3-afa1-a46386abee3d.jpeg
21,10x heineken 440ml,10x heineken 440ml,Yes,https://d1ralsognjng37.cloudfront.net/dc018e14-a90e-4f9f-8fbd-1c27706263cc.jpeg
22,10x k cider 500ml,10x k cider 500ml,Yes,https://d1ralsognjng37.cloudfront.net/4bb53fd0-81a1-484c-b08d-a6fb97b5028c.jpeg
23,10x kronenberg 1664 440ml can,10x kronenberg 1664 440ml can,Yes,
24,10x san miguel 500ml can,10x san miguel 500ml can,Yes,
25,10x stella artois 440ml,10x stella artois 440ml,Yes,https://d1ralsognjng37.cloudfront.net/0bd3c057-175c-4d03-bc47-e1f057180b61.jpeg
27,10x strongbow original 440ml,10x strongbow original 440ml,Yes,https://d1ralsognjng37.cloudfront.net/102a6162-28fe-45bb-ad7d-3f143d052353.jpeg
28,10x zubr 500ml,10x zubr 500ml,Yes,https://d1ralsognjng37.cloudfront.net/1c2bf51a-2a1b-4fa1-8b7b-2587c930e940.jpeg
30,12 colouring pencil,12 colouring pencil,Yes,
34,12 lemon mini muffin 280g,12 lemon mini muffin 280g,Yes,
37,12 traditional mini muffin 280g,12 traditional mini muffin 280g,Yes,
38,12 washable felt tip pen,12 washable felt tip pen,Yes,
41,12x budweiser bottle 300ml12x stella artois 284ml,12x budweiser bottle 300ml12x stella artois 284ml,Yes,https://d1ralsognjng37.cloudfront.net/b9d3d3fb-b37b-4a23-9cb9-23f2f2e77b77.jpeg
43,149g pringles cheese n onion,149g pringles cheese n onion,Yes,https://d1ralsognjng37.cloudfront.net/1c87feb3-453f-433d-a38e-ea8e798f06ec.jpeg
44,149g pringles original,149g pringles original,Yes,https://d1ralsognjng37.cloudfront.net/17ba17c1-3982-4c4f-9b4e-9ef66a9d6e54.jpeg
45,149g pringles prawn cocktail,149g pringles prawn cocktail,Yes,https://d1ralsognjng37.cloudfront.net/80f38b11-b573-4f55-9a79-3b91cd28ad97.jpeg
46,149g pringles saltvinegar,149g pringles saltvinegar,Yes,https://d1ralsognjng37.cloudfront.net/021a7162-ba2c-4f90-aff9-cd2db1c246b7.jpeg
47,149g pringles texas bbq,149g pringles texas bbq,Yes,https://d1ralsognjng37.cloudfront.net/23419ecc-ee49-4785-bf24-84c279b07a4d.jpeg
48,15 egg,15 egg,Yes,
49,15 fresh egg,15 fresh egg,Yes,
50,15 medium egg,15 medium egg,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/eab91cf5a649b5c44f96b8c4876cf3ab/859baff1d76042a45e319d1de80aec7a.jpeg
