group_id,leader,member,modify_leader,image_url
1,0038be56c5a543c5b3510f11e72b6cf0snickers chocolate duo bar 83.4gname,0038be56c5a543c5b3510f11e72b6cf0snickers chocolate duo bar 83.4gname,Yes,https://d1ralsognjng37.cloudfront.net/0852705f-3fac-4de4-819b-58be4d132c16.jpeg
63,19 crime 70cl,19 crime 70cl,Yes,https://d1ralsognjng37.cloudfront.net/205d0d8d-3563-45c6-b347-9d0b0dcc0202.jpeg
87,19 crimes75cl,19 crimes75cl,Yes,https://d1ralsognjng37.cloudfront.net/8420daca-65d2-4b5d-8610-18a01495b0d9.jpeg
142,4 assorted muffin 4,4 assorted muffin 315g,Yes,
142,4 assorted muffin 4,4 assorted muffin 4,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/268824e1d6c320091e7eb51210c7fbb9/b4facf495c22df52f3ca635379ebe613.jpeg
12770,4 pack corona 4x330 ml,corona extra 4 pk 4x330 ml,No,
12770,4 pack corona 4x330 ml,coronaextra 4 pk 4x330 ml,No,https://d1ralsognjng37.cloudfront.net/410037f8-e894-42e3-b14b-25dff35406e7.jpeg
191,5458d6a8c04b461b9d83e5e59175dfedmaltesers chocolate pouch bag 93gname,5458d6a8c04b461b9d83e5e59175dfedmaltesers chocolate pouch bag 93gname,Yes,https://d1ralsognjng37.cloudfront.net/8c1cae68-fb03-4dbf-9bd8-51c5ae31d51c.jpeg
198,6 large fresh egg,6 large fresh egg,Yes,
216,7 day coconut croissant,7 day coconut croissant,Yes,https://d1ralsognjng37.cloudfront.net/b053adba-b6e0-4657-aff2-6ae3f2744d65.jpeg
235,7 day hazelnut croissant,7 day hazelnut croissant,Yes,https://d1ralsognjng37.cloudfront.net/6c792bd8-aa90-41e5-bedb-9a9aa6e5336c.jpeg
240,7 day max croissant with hazelnut 80g,7 day croissant w hazelnut filling 60g,Yes,https://d1ralsognjng37.cloudfront.net/b4a7fdc1-8523-4bb3-bbb5-818b95c454aa.jpeg
