item_uuid,item_name,canonical_id,canonical_leader,canonical_member
fffe74b7-7069-4d86-b852-c61a2a891116,KP HONEY ROAST PEANUTS 65G,12903.0,kp honey roast peanut 65g,kp honey roast peanut 65g
fff6b18f-d2af-5c25-84f9-6d69a4c97e45,Co Op Scouring Pads Pmâ£1 13 * 4 Pack,4857.0,co-op scouring pad 4 units,co op scouring pad  13 4 pack
fff13be6-bd66-40c6-a29f-dfd04f0938e8,Kershaws Chip Shop Chicken Curry with Rice & Chips 460g,12310.0,kershaws chip shop chicken curry with rice chip 460 g,kershaws chip shop chicken curry with rice chip 460g
ffeceb23-19da-51f8-ab60-4d5dd7f91944,Lucozade Sport Orange (500 mL),31228.0,lucozade sport orange 500 ml,lucozade sport orange 500 ml
ffec1dbb-141e-4b06-a6d4-72367bc62c5a,Gordons Gin (70cl),18087.0,gordons gin 70 ml,gordons gin 70cl
ffe8cd32-b33f-4e4d-980e-d38df357283f,SOUTHERN' COMFORT (70CL),21260.0,southern comfort liqueur with whisky 700 ml,southern comfort 70cl
ffe28386-5a32-4a17-8bd2-451151f5bd4e,CO OP PURE ORANGE JUICE 1LTR,4844.0,co-op orange juice 1 l,co op pure orange juice 1ltr
ffe15bf3-8f09-4a74-bc34-7efb7e1b2a84,Jack Daniels Tennessee Apple 70cl,11351.0,jack daniel's apple whiskey 700 ml,jack daniel tennessee apple 70cl
ffda6da8-26c2-5a4c-8341-f0331eff3c2c,Hula Hoops BBQ Beef,10746.0,hula hoop bbq beef potato rings,hula hoop bbq beef
ffd8fcf5-9dfc-59e5-9aef-2393e9b09b2d,Extra Spearmint Chewing Gum Sugar Free 10 pieces,7283.0,extra spearmint chewing gum sugar free 10 units,extra spearmint chewing gum sugar free 10 piece
ffd47468-eefa-4b21-ae52-e42d707c3c00,CORONA EXTRA 4PK,29192.0,corona extra beer 4 pack,corona extra 4pk
ffd12abf-f20d-5029-b533-7b95adf17604,Birds Eye Vegetable Burgers (2 S),2578.0,bird eye vegetable burger 2 units,bird eye vegetable burger 2 s
ffc99af8-3bfb-4c63-ba9a-47fa3d6fdb87,Domestos Bleach Regular 9 * 750 mL,6307.0,domestos bleach regular 750 ml,domestos bleach regular 9 750 ml
ffc8107f-087a-443e-aa84-c74018c970f6,CO-OP Shortbread Fingers 380g,29119.0,coop shortbread finger 380g,coop shortbread finger 380g
ffc67b5d-090f-5dc6-ad06-20d3d9301995,JPS Players KS Real Red (T and T) 20S,18278.0,jps player k real red t and t 20,jps player k real red t and t 20
ffc53651-1a60-4711-90be-cc7c0ebec4ca,POTATO 2KG BAG,18496.0,potato bag 2kg,potato 2kg bag
ffbb7194-6781-5ff1-9bbf-6659cce1c487,Pringles Original (200G),18653.0,pringles original 200 g,pringles original 200g
ffb983ba-1aaa-49ae-8bde-59264eef0ead,Stella Artois 10x440ml,21614.0,stella artois beer 10 x 440 ml,stella artois 10x440ml
ffb7bc30-6ce2-5a97-b4cb-beb8ef3c4d9e,Gillette Shave Foam Reg 6 * 200 mL,8474.0,gillette regular shaving foam 200 ml,gillette shave foam reg 6 200 ml
ffb73f10-eaae-41dc-87c3-27d6df92f9ad,Volvic Touch of Fruit Lemon and Lime,24533.0,volvic touch of fruit lemon and lime,volvic touch of fruit lemon and lime
ffb70ea9-795b-4415-a35e-fc1898b865e0,HERITAGE PANTRY WHITE POTATOES 2.5KG,30522.0,heritage white potato 1.5kg,heritage pantry white potato 2.5kg
ffb7008a-efd2-4122-822e-f47a53d41aba,CARLTON ORIGINAL KS 20,27773.0,carlton original k 20,carlton original k 20
ffb57ff4-bf50-4ec4-9ece-e6a4e9329f1b,Lucozade Sport Orange 500ml ,13999.0,lucozade sport orange 500ml,lucozade sport orange 500ml
ffb482c2-4651-5465-9f0f-2c88dec5402f,Cadbury Buttons Giant Bag  (119 G),4201.0,cadbury button giant bag 119 g,cadbury button giant bag 119 g
ffb2e057-2ae7-41a2-8201-db602db7afb0,HAAGEN DAZS STRAWBERRY & CHEESECAKE 460ML,9452.0,häagen-dazs strawberry cheesecake ice cream 460 ml,haagen dazs strawberry cheesecake 460ml
ffb0b7a8-2698-5c1b-b2a8-179e3f54d633,Pringles BBQ (200G),18689.0,pringles texas bbq sauce crisp 200 g,pringles bbq 200g
ffaf47a0-7833-5e7f-b954-222ef59a2b1b,Casillero Del Diablo Sauvignon Blanc (75 cL),4119.0,casillero del diablo sauvnion blanc 750 ml,casillero del diablo sauvignon blanc 75 cl
ffaad523-d575-5cc0-97b8-55ded828edab,Casillero Del Diablo Chardonnay (75 cL),4110.0,casillero del diablo chardonnay 750 ml,casillero del diablo chardonnay 75 cl
ffa7fb9b-2a86-51f2-88a5-e8d4b72446cf,Barefoot Pinot Grigio (75 Cl),1930.0,barefoot pinot grigio white wine 750 ml,barefoot pinot grigio 75 cl
ff9e19aa-4aac-429c-aa3d-1e7b16793bfa,Yorkie Raisin & Biscuit,26562.0,yorkie raisin biscuit,yorkie raisin biscuit
ff9ae920-dca8-4d59-bea3-dfd32805613a,Oasis Blackcurrant Apple 500ml,16608.0,oasis blackcurrantandapple 500ml,oasis blackcurrant apple 500ml
ff9931d2-4f4f-4ff8-bf26-273a1ae4bf91,WKD IRON BREW 700ML,654.0,wkd iron brew 700 ml,wkd iron brew 700ml
ff94aab2-4de9-5e9f-9dcf-028e20c11ee8,Flash With Bleach Spray 10 * 500 mL,7742.0,flash bleach spray 10 x 500 ml,flash with bleach spray 10 500 ml
ff8e2f82-295a-476c-b7f6-3f0b55c70896,Pedigree Schmack Multi Pmâ£1 9 * 86 gms,17474.0,pedigree schmack multi  9 86 gm,pedigree schmack multi  9 86 gm
