item_uuid,item_name,canonical_id,canonical_leader,canonical_member
fffff148-3d43-4102-bee5-2ab97f8286be,Elf Bar Blueberry,26515.0,elf bar blueberry,elf bar blueberry
fffad1e3-fe06-4240-9227-b252ae5aa226,COCA COLA 1.75L,4930.0,coca cola soda 1.75 l,coca cola 1.75l
fff8b776-ddd5-4f00-a7c9-f5eee5eba933,Kellogg's Frosties Cereal 500g,12234.0,kellogs frosties 500 g,kellogg frosties cereal 500g
fff5399e-9444-4254-bffc-a6e2506ff2e0,Snickers Chocolate Bars Multipack 3 x 41.7g,23445.0,snickers chocolate bar 3 x 41.7 g,snicker chocolate bar multipack 3 x 41.7g
fff47cb9-ed6a-4a81-bcaa-5249a931f2a9,Coke Diet 500ML,5018.0,coke diet soda 500 ml,coke diet 500ml
fff1cc55-218b-4a31-b4a9-235e05e2ffd4,RedBull Watermelon 250ml,19247.0,red bull watermelon 250 ml,redbull watermelon 250ml
ffee8486-6617-46bd-8171-3265fa404398,Sierra Tequila - Silver 70cl,20679.0,sierra tequila silver 700 ml,sierra tequila silver 70cl
ffe3a3c2-b3c7-4f59-a6ed-00b96bbee0ec,Glens Vodka 20cl,8565.0,glen vodka 200 ml,glen vodka 20cl
ffdcfc2b-4f63-5565-b025-7f37b12464b5,lambrini original 6.8% pm3.49 1.25ltr,13220.0,lambrini original 6.8 %  1.25ltr,lambrini original 6.8 %  1.25ltr
ffdbe18c-ea23-412f-80f6-7433292ad708,Doritos Tangy Cheese 70g,6375.0,doritos tangy cheese crisps 70 g,doritos tangy cheese 70g
ffdaa174-e114-4743-9f9b-4edf093ff29e,Co-op 2 Indian Garlic and Coriander Naan Breads,5214.0,co-op indian garlic and coriander naan 2 units,coop 2 indian garlic and coriander naan bread
ffd4fa97-cd23-463e-9b90-460508bac989,Haribo - Starmix ,10085.0,haribo star mix,haribo starmix
ffd23f71-5d24-561d-b813-69b4e1bbb0f4,co op red seedless grapes pm 2.15 500g,25694.0,co op red seedless grape 500 g,co op red seedless grape  500g
ffcb5a47-2bf9-56bd-9f5d-0468a2de9a1b,Pepsi Max 500ml,17680.0,pepsi max 500 ml,pepsi max 500ml
ffc9a47c-54fb-48e0-b5e6-1e81ac6b98c2,B & H SK BLUE (T&T) 20S,13088.0,l b blue 20,b h sk blue tt 20
ffc8b3c9-894a-4c43-86ff-d496deb828d0,Calypso Black Cherry Lemonade 473ml,3824.0,calypso black cherry lemonade 473 ml,calypso black cherry lemonade 473ml
ffc25ba6-75a8-58ab-9274-ccc3b765865a,Wrigley Extra Sugar Free Spearmint  * 10pce,26174.0,wrigley extra sugar free spearmint 10 units,wrigley extra sugar free spearmint 10pce
ffc208f6-3c84-5950-bc60-2aff0ec7aa15,Jacobs Baked Crinklys Cheese & Onion 105g,11661.0,jacob's cheese and onion crinklys 105 g,jacob baked crinklys cheese onion 105g
ffc0ebf2-0497-47e6-b301-03a7dc2b6366,McVitie's Jaffa Cakes Original Biscuits 12 Pack,15099.0,mcvities jaffa cake original biscuit 12 pack,mcvities jaffa cake original biscuit 12 pack
ffbb6a7b-a886-5090-b503-b78d4b5fe7f1,kp original salted peanuts pm 1 65g,12907.0,kp original salted peanut pm 1 65g,kp original salted peanut pm 1 65g
ffb5e087-8634-5cee-8f7a-8bfb9845c4e5,always ultra night 10pk,1135.0,always ultra night 10 pack,always ultra night 10pk
ffb505c7-f46c-5004-996d-52d3baf593fb,pepsi max pm 1.99 2ltr,17600.0,pepsi max 2 l,pepsi max  2ltr
ffb241d6-3d4a-42b4-988a-c4f95bd793a5,Mike and Ike Red Rageous,15327.0,mike ike red rageous american,mike and ike red rageous
ffae5ee2-1f5e-558c-a41a-0612506e573d,aunt bessie family apple pie pm 1.85 550g,1572.0,aunt bessie family apple pie  550 g,aunt bessie family apple pie  550g
ffaab888-3f92-5cb5-a8cf-68b764cee0a8,fanta lemon 2ltr,7386.0,fanta lemon soda 2 l,fanta lemon 2ltr
