group_id,leader,member,modify_leader,image_url
14,1000 story zinfandel 75cl,1000 story zinfandel,No,
14336,15 egg,e 15 egg ,No,
27821,165 g maynards wine gum,maynard wine gum 165 g,No,
81,19crimes banished park red,19crimes banished park red,Yes,
82,19crimes chard,19crimes chard,Yes,
83,19crimes red wine,19crimes red wine,Yes,
95,20 bhbluekingsize,20 bhbluekingsize,Yes,
96,20 bhbluenewdualkingsize,20 bhbluenewdualkingsize,Yes,
98,20 carltonsuperkingred,20 carltonsuperkingred,Yes,
102,20 embassy signature new crush k,20 embassy signature new crush k,Yes,
106,20 sterlingdualkingsize,20 sterlingdualkingsize,Yes,
137,3sisters bakery hedgehog chocolate cornflake,3sisters bakery hedgehog chocolate cornflake ,No,
184,6 apple delight,6 apple delight,Yes,
25565,6 jam teacake,lee 6 jam teacake 132g,No,
220,7 day mini croissant spumante,7 day mini croissant spumante,Yes,
302,7up reg,7up reg ,No,
4127,aah bisto classic shepherd pie 375 g,bisto classic shepherd pie 375 g,No,
349,ab jam roly poly 300g ,ab jam roly poly 300g ,Yes,
400,abso lut raspberri 40 % dst 70cl,absolut raspberri 40 % dst 70cl,No,
367,absolut 40 % dst 35cl,absolut 40 % dst 35cl,Yes,
472,acutest early sign midstream pregnancy test 2 test,acutest early sign midstream pregnancy test 2 test,Yes,
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero milk chocolate sharing bar  100 g,No,
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero orange chocolate sharing bar  100 g,No,
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero peppermint chocolate sharing bar  100 g,No,
500,aero caramel chocolate sharing bar  100 g,aero caramel chocolate sharing bar  100 g,Yes,
518,aero intense orange 100 g,aero intense orange 100 g,Yes,
546,aero orange chocolate sharing bar,aero orange chocolate bar,No,
585,after eight mousse 4x57g,after eight mousse 4x57g,Yes,
679,airwave menthol bottle 64g,airwave menthol bottle 64g,Yes,
693,airwick air freshner crisp linen lilac 240ml,airwick air freshner crisp linen lilac 240ml ,No,
695,airwick candle blackberry spice ,airwick candle blackberry spice ,Yes,
696,airwick candle vanilla,airwick candle vanilla ,No,
730,aleyna hot chilli sauce 500 g,aleyna hot chilli sauce 500g,No,
798,aloe vera lychee 500ml,aloe vera lychee 500 ml,No,
802,aloe vera pomegranate 250 ml,aloe vera pomegranate 250 ml,Yes,
808,alpen 550g,alpen 550g ,No,
818,alpen original muesli,alpen original muesli,Yes,
863,alpro almond milk unsweetened,alpro fresh almond sweetened,No,
863,alpro almond milk unsweetened,alpro fresh almond unsweetened,No,
836,alpro almond salted caramel 500ml,alpro almond salted caramel 500ml,Yes,
850,alpro coconut 1 l,alpro coconut 1l,No,
873,alpro hazelnut 1l,alpro hazelnut 1l,Yes,
898,alpro soy vanilla 500ml,alpro soy vanilla 500ml,Yes,
923,alpro uht oat milk original,alpro oat milk original,No,
924,alpro uht soya sweetened,alpro uht soya sweetened,Yes,
925,alpro uht soya unsweetened 1 l,alpro uht soya unsweetened 1 l,Yes,
976,always ultra night 10pads,always ultra night 10pads,Yes,
1020,amber leaf 30g tt,amber leaf 30g tt,Yes,
1056,amber selection,amber selection,Yes,
1073,ambrosia devon custard 400 g,ambrosia devon custard 400g tin ,No,
1078,ambrosia light devon custard 150 g,ambrosia devon custard 750 g,No,
1094,american calypso 473ml peach lemonade,american calypso 473ml peach lemonade,Yes,
1113,american cheetos puff white cheddar,american cheetos puff white cheddar,Yes,
14020,american dr pepper 355ml,american dr pepper 355 ml,No,
27150,american fanta mango 355 ml,mango american fanta 355 ml,No,
1199,amoy light soy sauce 150 ml,amoy light soya sauce 150 ml,No,
1202,amstel 10pk bottle,amstel 10pk bottle,Yes,
1225,amstel bier 4pk 4x330ml,amstel bier 4pk 4x330ml,Yes,
1244,amstel lge nrb 650ml,amstel 650ml large nrb,No,
1252,anadin extra pain relief tablet 12 caplets,anadin extra pain relief tablet 12 caplets,Yes,
1253,anadin extra with peracetemol tab,anadin extra with peracetemol tab,Yes,
1317,andrex classic clean toilet tissue 2 rolls,andrexclassic clean toilet tissue 9roll,No,
41563,andrex toilet tissue 4 roll,bestone toilet tissue 9 roll,No,
1327,andrextoilet tissue 9 roll ,andrextoilet tissue 2 roll ,Yes,
1327,andrextoilet tissue 9 roll ,andrextoilet tissue 9 roll ,Yes,
