group_id,leader,member,modify_leader,image_url
95,20 bhbluekingsize,20 bhbluekingsize,Yes,
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero milk chocolate sharing bar  100 g,No,
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero orange chocolate sharing bar  100 g,No,
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero peppermint chocolate sharing bar  100 g,No,
500,aero caramel chocolate sharing bar  100 g,aero caramel chocolate sharing bar  100 g,Yes,
923,alpro uht oat milk original,alpro oat milk original,No,
1073,ambrosia devon custard 400 g,ambrosia devon custard 400g tin ,No,
44850,arla cravendale semi skimmed milk 2 l,2l semi skimmed fresh milk 2 l,No,
3061,bell 35cl ,bell 35cl ,Yes,
3707,big hoop bbg ,big hoop bbg ,Yes,
4045,birra moretti lge nrb 600ml,birra moretti lge nrb 600ml,Yes,
4481,bobby salt n vinegar spiral,bobby spiral salt vinegar ,No,
4728,boost energy drink 1ltr ,boost energy drink 1ltr ,Yes,
44674,british whole milk 2 l,2l whole fresh milk 2 l,No,
5191,budweiser 440ml 4pack ,budweiser 440ml 4pack ,Yes,
5288,budweiser 4pk,budweiser 4pk can,No,
5286,budwelser can 500ml,budwelser can 500ml,Yes,
5475,butterkist cinema sweet popcorn 70 g,butterkist sweet popcorn 70g ,No,
5475,butterkist cinema sweet popcorn 70 g,butterkist sweet salty popcorn 70g ,No,
5475,butterkist cinema sweet popcorn 70 g,butterkist sweetsalted popcorn 70g ,No,
5481,butterkist toffee popcorn 78 g,butterkist crunchy toffee popcorn 78g ,No,
5481,butterkist toffee popcorn 78 g,butterkist toffee popcorn 78g ,No,
6436,cadbury creme egg,cadburys creme egg,No,
6438,cadbury dairy milk bitsa wispa,cadbury dairy milk ,No,
6438,cadbury dairy milk bitsa wispa,cadbury dairy milk caramel ,No,
12651,cadbury dairy milk chocolate bar 95 g,cadbury dairy milk chocolate bar  95 g,No,
12651,cadbury dairy milk chocolate bar 95 g,cadbury dairy milk chopped nut bar  95 g,No,
12651,cadbury dairy milk chocolate bar 95 g,cadbury dairy milk fruit and nut chopped bar  95 g,No,
12651,cadbury dairy milk chocolate bar 95 g,dairy milk chopped nut 95 g,No,
6354,cadbury dairy milk white oreo 120 g,cadbury chocolate finger 114g ,No,
6354,cadbury dairy milk white oreo 120 g,cadbury dairy milk caramel bar  120 g,No,
6354,cadbury dairy milk white oreo 120 g,cadbury dairy milk daim bar  120 g,No,
6354,cadbury dairy milk white oreo 120 g,cadbury dairy milk with oreo chocolate bar  120 g,No,
6318,cadbury twirl bite,cadbury twirl bite ,No,
6318,cadbury twirl bite,cadbury twirl bite bag ,No,
6442,cadburys dairy milk button bag,cadburys dairy milk button bag,Yes,
6477,cadburys hot chocolate 250 g,cadbury hot chocolate 250g ,No,
7445,cathedral city white mature cheddar 350 g,cathedral city extra mature cheddar350g,No,
7445,cathedral city white mature cheddar 350 g,cathedral city white mature cheddar350g,No,
43426,cheese and onion 65 g,walker cheese onion 65g ,No,
43426,cheese and onion 65 g,walker crisp cheese onion 65g ,No,
7770,cheetos twistedflamin hot 65g ,cheetos twistedflamin hot 65g ,Yes,
43458,cheetos twstd 65 g,cheetos twisted flamin hot 65g ,No,
8179,chocomel one and only 250 ml,chocomel one and only 250 ml,Yes,
8456,clear response pregnancy test 2x,clear response pregnancy test 2x,Yes,
11685,co-op sweet and salted popcorn 100 g,coop sweet popcorn 100g ,No,
10090,coca cola cherry 330ml ,coca cola cherry 330ml ,Yes,
10158,coca cola regular1.5,coca cola regular,Yes,
10158,coca cola regular1.5,coca cola regular1.5,Yes,
10160,coca cola regular330ml,coca cola regular330ml,Yes,
