group_id,leader,member,modify_leader,image_url
12,10 cheese single,10 single cheese 170g,No,
48,1664 4pk 4x500ml,1664 4pk 4x500ml,Yes,https://d1ralsognjng37.cloudfront.net/7f3e615f-2ad0-4c16-b3ef-45981f4cc122.jpeg
67,19 crime sauvignon blanc 75 cl,19 crime sauvignon blanc 750ml,No,https://d1ralsognjng37.cloudfront.net/d0ea2390-d74d-407b-b292-b2798b9b8f15.jpeg
129,4 chocolate and hazelnut cone 400ml,4 chocolate and hazelnut cone 400ml,Yes,
134,4 guinness draught,4 guinness draught,Yes,
183,7 day bake roll cheese 80g,7 day bake roll cheese 80g,Yes,https://d1ralsognjng37.cloudfront.net/139beaf7-d793-4d0b-8a87-bf649522cac4.jpeg
246,7 days mini croissant 180 g,7 day mini croissant with cocoa filling 185g,No,https://d1ralsognjng37.cloudfront.net/4192d6dd-0162-4c35-8501-fd2b740a10b2.jpeg
249,7up 1.5l,7up 1.5l,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/5607bfd06e35d058df4736272a8bef36/4218ca1d09174218364162cd0b1a8cc1.jpeg
252,7up 2litres,7up 2litres,Yes,
287,7up free 8 x 2 l,7up free 2l,No,https://d1ralsognjng37.cloudfront.net/d2d4d154-8139-4af1-adf7-bc7155ac747c.jpeg
296,7up sugar free  can,7up sugar free  can,Yes,
298,7up sugarfree 2litre,7up sugarfree 2litre,Yes,
375,absolut original vodka 35cl,absolut original vodka 35cl,Yes,
455,adeletto prosecco doc,adeletto prosecco doc,Yes,
476,aero caramel,aero caramel ,No,https://d1ralsognjng37.cloudfront.net/624f73eb-8c00-4a2b-8a0c-044302df211f.jpeg
500,aero milk ,aero milk ,Yes,https://d1ralsognjng37.cloudfront.net/3dd44f7e-6d35-4f3f-88c3-90491a607e9b.jpeg
544,aero peppermint 92g,aero peppermint pouch 92g,No,https://d1ralsognjng37.cloudfront.net/f7572529-e9e0-46c7-9f2e-6357a21fdbef.jpeg
576,air wick aerosol linen 240ml,air wick aerosol fresh 240ml,No,https://d1ralsognjng37.cloudfront.net/50a3c10d-29c7-45fb-914c-e2cad9a5e997.jpeg
593,airhead 6 bar box,airhead 6 bar box,Yes,https://d1ralsognjng37.cloudfront.net/8295d042-82e9-4c66-beba-9e77404c6379.jpeg
675,alamo malbec,alamo malbec,Yes,
794,alpenhain select camembert 125g,alpenhain select camembert 125g,Yes,
821,alpro coconut barista milk 1 l,alpro barista coconut 1l,No,https://d1ralsognjng37.cloudfront.net/5abef521-36a1-41a1-b69e-590c20a6284b.jpeg
984,amber leaf blonde 30g,amber leaf blond 30g box,No,
1028,ambrosia custard,ambrosia custard ,No,
1128,american spirit yellow ryo 30 g,american spirit yellow ryo tt 30g,No,
1172,amstel beer 6x300ml bottle pack,amstel beer 6x300ml bottle pack,Yes,
1182,amstel bier lager beer 20 x 300ml bottle,amstel bier lager beer 20 x 300ml bottle,Yes,https://d1ralsognjng37.cloudfront.net/f7743051-cdaf-49e4-aeb6-160ac584677b.jpeg
1281,andrexwashlets wipe,andrexwashlets wipe,Yes,https://d1ralsognjng37.cloudfront.net/90616a08-14f3-4198-a3d3-11166f8abbf8.jpeg
1284,andrx gentle clean 9 roll,andr ex gentle clean 4 roll,No,
1346,apetina paneer cheese 225g,apetina paneer cheese original 225g,No,
1431,aptamil number 1 from birth to 6 month,aptamil number 1 from birth to 6 month,Yes,
1553,arizona strawberry lemonade 500ml,arizona strawberry lemonade 500ml,Yes,
1605,asahi super dry 4 x 330ml bottle,asahi dry bottle 4 x 330ml,Yes,
1605,asahi super dry 4 x 330ml bottle,asahi super dry 4 x 330ml bottle,Yes,
1606,asahi super dry beer 330ml,asahi super dry 330ml,No,https://d1ralsognjng37.cloudfront.net/30622680-12d9-49d0-8481-816fdcb928bc.jpeg
1773,aunt bessies 12 yorkshire pudding 220 g,aunt bessie 12 yorkshire pudding 220g,No,https://tb-static.uber.com/prod/image-proc/processed_images/bb563433287e6ce07500ff10eacd3c2c/b4facf495c22df52f3ca635379ebe613.jpeg
1801,aveeno baby wipe 72,aveeno baby wipe 72,Yes,
1824,b 4 aa,b 4 aa,Yes,
1881,babybel original 6 pack,babybel original 6 pack,Yes,
1888,bacafoil greaseproof paper 10 meter x 380mm approx,bacafoil greaseproof paper 10 meter x 380mm approx,Yes,
1933,bacardi rum mojito 5 % 250ml can,bacardi rum mojito 5 % 250ml can,Yes,
2073,bailey irish liquor 1ltr,bailey irish liquor 1ltr,Yes,
2170,baker st 4 petits pain,baker st 4 petits pain,Yes,
2178,baker st soft white roll 4pk,baker st soft white roll 4pk,Yes,
2182,baker street 2 part baked baguette,baker st 2 part baked baguette,No,
2297,balconi rollino latte with rich milky cream,balconi rollino latte with rich milky cream,Yes,
2363,bang delish strawberry kiss 473ml,bang delish strawberry kiss 473ml,Yes,
2399,banks mild 4pk 500ml,banks mild 4pk 500ml,Yes,https://d1ralsognjng37.cloudfront.net/a7af2561-5a22-4698-b13a-e983b67f44a2.jpeg
2470,barefoot sauvignon blanc 75cl cheaper at hour grocer download the app today,barefoot sauvignon blanc 75cl cheaper at hour grocer download the app today,Yes,
2548,barr cherryade 2 l,barr cherryade 2l pm,No,https://d1ralsognjng37.cloudfront.net/80693326-7057-4622-8040-6a4d67c2ecda.jpeg
2561,barr cream soda 2ltr cheaper at hour grocer download the app today,barr cream soda 2ltr cheaper at hour grocer download the app today,Yes,
2630,barratt chewy nougat 70g,barratt chewy nougat 70g bar,No,
2646,barratt refresher,barratt refresher,Yes,https://d1ralsognjng37.cloudfront.net/4f826f86-9083-4ed9-8faf-b01bdb154cfa.jpeg
2688,batchelors chip shop mushy pea,batchelors chip shop mushy pea,Yes,https://d1ralsognjng37.cloudfront.net/e4f410c6-2564-45d4-84d9-2ee47b3121e7.jpeg
2699,batchelors cup a soup chicken  81 g,batchelors cup a soup chicken sachet 81g,No,
2700,batchelors cup a soup chicken vegetable with crouton 110 g,batchelors cup a soup chicken and vegetable with crouton 110g,No,https://d1ralsognjng37.cloudfront.net/815a5da8-9405-4973-a4a7-d6ec1875ec76.jpeg
