item_uuid,item_name,canonical_id,canonical_leader,canonical_member
fffff148-3d43-4102-bee5-2ab97f8286be,ELFBAR GRAPE,6951.0,elf bar disposable puff grape 1 unit,elfbar grape
fffad1e3-fe06-4240-9227-b252ae5aa226,COCA COLA 1.75L,4930.0,coca cola soda 1.75 l,coca cola 1.75l
fffa0d6c-3b45-4b1a-a34b-c65bef810880,Heritage Plum Tomatoes 250g,30503.0,heritage plum tomato 250g,heritage plum tomato 250g
fff8b776-ddd5-4f00-a7c9-f5eee5eba933,Kellogg's Frosties Cereal 500g,12234.0,kellogs frosties 500 g,kellogg frosties cereal 500g
fff8afa4-4fbd-594d-b48b-090ed1d9caa9,ALPRO UHT - ALMOND ORIGINAL,26842.0,alpro uht almond original,alpro uht almond original
fff5399e-9444-4254-bffc-a6e2506ff2e0,Snickers Chocolate Bars Multipack 3 x 41.7g,23445.0,snickers chocolate bar 3 x 41.7 g,snicker chocolate bar multipack 3 x 41.7g
fff47cb9-ed6a-4a81-bcaa-5249a931f2a9,Coke Diet 500ML,5018.0,coke diet soda 500 ml,coke diet 500ml
fff303b2-4b48-4f36-bc69-766488b990a7,Co Op Organic Semi-Skimmed 4 Pints,28433.0,co op organic semiskimmed 4 pint,co op organic semiskimmed 4 pint
fff1cc55-218b-4a31-b4a9-235e05e2ffd4,RedBull Watermelon 250ml,19247.0,red bull watermelon 250 ml,redbull watermelon 250ml
ffee8486-6617-46bd-8171-3265fa404398,Sierra Tequila - Silver 70cl,20679.0,sierra tequila silver 700 ml,sierra tequila silver 70cl
ffee6058-334a-4527-9cce-a50388caadaf,Maltesers Pouch 102g,14362.0,maltesers pouch bag 102g,maltesers pouch 102g
ffe9dc7c-886f-4baf-b991-2f009fb73314,Co Op 4 Pint Fresh Semi Skimmed Milk (Cheaper at Hour Grocers - Download the App today),28699.0,co-op  fresh semi skimmed milk 2.272 l,co op 4 pint fresh semi skimmed milk cheaper at hour grocer download the app today
