canonical_id,canonical_leader,brand,name,package,promotion,agent_verified
0,Dos Pinos Leche Homogenizada 3.8 L,Dos Pinos,Leche Homogenizada,botella 3.8 l,0.0,1
1,Dos Pinos Leche Semidescremada Uht 1 L,Dos Pinos,Leche Semidescremada Uht 1 L,cartón 1 l,0.0,1
2,Dos Pinos Leche Delactomy 1 L,Dos Pinos,Leche Delactomy,cartón 1 l,0.0,1
3,Dos Pinos Leche Descremada 1 L,Dos Pinos,Leche Descremada,cartón 1 l,0.0,1
4,Coronado Leche Descremada Uht 0% 12 Unids X 1 L C/U,Coronado,Leche Descremada Uht 0%,12 unids x 1 l c/u,0.0,1
5,Coronado Leche Semidescremada Uht 2% 12 Unids X 1 L C/U,Coronado,Leche Semidescremada Uht 2%,12 unids x 1 l c/u,0.0,1
6,Dos Pinos Leche Semidescremada Uht 2% 12 Unids X 1 L C/U,Dos Pinos,Leche Semidescremada Uht 2%,12 unids x 1 l c/u,0.0,1
7,Cinta Azul Salchicha 480 G,Cinta Azul,Salchicha,cartón 480 g,0.0,1
8,Jack'S Picaritas Sabor Bbq 75 G,Jack'S,Picaritas Sabor Bbq,bolsa 75 g,0.0,1
9,Dos Pinos Leche Doble Proteína 500 Ml,Dos Pinos,Leche Doble Proteína,cartón 500 ml,0.0,1
10,Del Luca Jamón Serrano 85 G,Del Luca,Jamón Serrano,empaque 85 g,0.0,1
11,Pack Queque La Estación 760 G + Guaraná Cotuba  2 L,La Estación,Pack Queque + Guaraná Cotuba,760 g + 2 l,1.0,1
12,Gallito Tapita Cajeta De Coco 2 Unids X 40 G C/U,Gallito,Tapita Cajeta De Coco,2 unids x 40 g c/u,1.0,1
13,Dos Pinos Yogurt Top Fresa 170 G,Dos Pinos,Yogurt Top Fresa,pote 170 g,0.0,1
14,Imperial Cerveza Light 12 Unids X 350 Ml C/U,Imperial,Cerveza Light,12 unids x 350 ml c/u,1.0,1
15,Combo 2 Cinta Azul Jamón Cocido 125 G Dos Pinos Queso Americano 1 Unid Dos Pinos Jugo De Naranja 1 L Baguettes 2 Unids,Cinta Azul,Combo 2 Jamón Cocido + Dos Pinos Queso Americano + Dos Pinos Jugo De Naranja + Baguettes,5 unids,0.0,1
16,Combo 3 Dos Pinos Lactocrema 115 G Cinta Azul Patecito 100 G Tropical Jugo 2.5 L,Dos Pinos,Combo 3 Lactocrema + Cinta Azul Patecito + Tropical Jugo,3 unids,0.0,1
17,Dos Pinos Pinito Leche Entera En Polvo 2 Unids X 400 G C/U,Dos Pinos,Pinito Leche Entera En Polvo,2 unids x 400 g c/u,0.0,1
18,Dos Pinos Té Melocotón Cero 2 Unids X 2.5 L C/U,Dos Pinos,Té Melocotón Cero,2 unids x 2.5 l c/u,1.0,1
19,La Estación Pastel 2 Unids Copas Helado 2 Unids Sushi 2 Unids,La Estación,Pastel + Copas Helado + Sushi,6 unids,0.0,1
20,Brasso Antigrasa Limón 500 Ml,Brasso,Antigrasa Limón,atomizador 500 ml,1.0,1
21,Gallito Chocolate Tapita Tiramisú 144 G,Gallito,Chocolate Tapita Tiramisú,bolsa 144 g,1.0,1
22,Pack La Estación 2 Unids Lula 2 Unids,La Estación,Pack Copas De Helado + Lula Copa De Helado,4 unids,1.0,1
