group_id,leader,member
10,1 ltr carter low cal tonic,1 ltr carter low cal tonic
12,1 ltr chekov,1 ltr chekov
21,1 ltr h lemon squash,1 ltr h lemon squash
27,1 ltr lakeland semi skimmed uht milk,1 ltr lakeland semi skimmed uht milk
28,1 ltr omega cider,1 ltr omega cider
33,1 ltr sterelised milk,1 ltr sterelised milk
39,1 pi nt of pla stic cup 15,1 pi nt of pla stic cup 15
41,1 pint red top milk,1 pint red top milk
43,1 x clipper lighter printed design vary,1 x clipper lighter printed design vary
46,1.5 lt chardolini,1.5 lt chardolini
49,1.5 ltr jack orange squash,1.5 ltr jack orange squash
60,10 24pk weetabix cereal 24 pack,10 24pk weetabix cereal 24 pack
61,10 ball pen,10 ball pen
62,10 egg medium,10 egg medium
64,10 heavy refuse bag,10 heavy refuse bag
65,10 large egg,10 large egg
66,10 pack dishcloth,10 pack dishcloth
67,10 pack frankfurter,10 pack frankfurter
68,10 pack heavy duty bin bag,10 pack heavy duty bin bag
69,10 pack sponge scourer,10 pack sponge scourer
70,10 pk cafe classic latte,10 pk cafe classic latte
71,10 pk classic cafe cappucino,10 pk classic cafe cappucino
73,10 refuse sack,10 refuse sack
84,100 g bakewell flapjack,100 g bakewell flapjack
86,100 g buttery flapjack,100 g buttery flapjack
88,100 g chocolate flapjack,100 g chocolate flapjack
91,100 g felix,100 g felix
96,100 g nestle smartie chocolate,100 g nestle smartie chocolate
97,100 g sunshine choc cinder,100 g sunshine choc cinder
98,100 g sunshine cinder toffee,100 g sunshine cinder toffee
100,100 g wagg oven baked treat,100 g wagg oven baked treat
101,100 g wagg skin and coat treat,100 g wagg skin and coat treat
102,100 pack make your own tube,100 pack make your own tube
103,100 swan tube,100 swan tube
105,10pk carling can,10pk carling can
106,10pk carlsberg pilsner can,10pk carlsberg pilsner can
108,10pk extra strawberry,10pk extra strawberry
109,10pk extra white,10pk extra ice white
109,10pk extra white,10pk extra white
110,10pk foster can,10pk foster can
111,10pk guinness can,10pk guinness can
112,10pk san migual can,10pk san migual can
118,12 egg euro shopper,12 egg euro shopper
120,12 free range large local sourced egg,12 free range large local sourced egg
121,12 golden yorkshire,12 golden yorkshire
123,12 pack farmer jack yorkshire pudding,12 pack farmer jack yorkshire pudding
124,12 pack happy shopper size 6 baby nappy,12 pack happy shopper size 6 baby nappy
128,12 pk oxo cube red,12 pk oxo cube red
129,12 x 100 g felix agail favourite pouch,12 x 100 g felix agail favourite pouch
135,120 g fruit pastille,120 g fruit pastille
139,122 g southern fried chicken burger,122 g southern fried chicken burger
140,123 classic care medium manual toothbrush x2,123 classic care medium manual toothbrush x2
142,12pk amstel bottle,12pk amstel bottle
143,12pk budwiser bottle,12pk budlight bottle
143,12pk budwiser bottle,12pk budwiser bottle
144,12pk stella bottle,12pk coors bottle
144,12pk stella bottle,12pk sol bottle
144,12pk stella bottle,12pk stella bottle
145,13 pack finish all in one powerball tab,13 pack finish all in one powerball tab
147,130 g cadburys giant butons,130 g cadburys giant butons
148,135 g refresher choos fizzy,135 g refresher choos fizzy
149,135 g refresher choos original,135 g refresher choos original
151,14 pack happy shopper daytime towel super,14 pack happy shopper daytime towel super
152,14 pack happy shopper size 5 baby nappy,14 pack happy shopper size 5 baby nappy
154,14 round barbecue,14 round barbecue
156,140 g sotg cheeseburger,140 g sotg cheeseburger
157,141 g bird trifle kit,141 g bird trifle kit
164,145 g swizzle squash original,145 g swizzle squash original
168,15 large egg,15 large egg
169,15 pack happy shopper firelighter,15 pack happy shopper firelighter
170,150 g cesar chicken dog food,150 g cesar chicken dog food
171,150 g chew strip,150 g chew strip
174,150 g extra creamy yogurt,150 g extra creamy yogurt
181,150 ml lady insette bodyspray,150 ml lady insette bodyspray
182,150 ml sure for men,150 ml sure for lady
182,150 ml sure for men,150 ml sure for men
185,15pk egg mix,15pk egg mix
187,160 g basset midget gem,160 g basset midget gem
189,160 g sunshine dyna stix,160 g sunshine dyna stix
190,160 g sunshine milk chocolate raisin,160 g sunshine milk chocolate raisin
191,160 g sunshine mix bonbon,160 g sunshine mix bonbon
192,160 g sunshine strawberry foam sweet,160 g sunshine strawberry foam sweet
199,1664 275ml 12 pack,1664 275ml 12 pack
200,1664 275ml bottle,1664 275ml bottle
201,1664 440ml 4pack,1664 440ml 4pack
202,1664 660ml,1664 660ml
204,1664 kronenbourgggg4440ml,1664 kronenbourgggg4440ml
206,1664 pint,1664 pint
207,1664 pint 568ml can,1664 pint 568ml can
208,17 g skip,17 g skip
216,18 x 440 ml carling,10 x 440 ml carling
216,18 x 440 ml carling,18 x 440 ml carling
220,180 g 4 pack small bone,180 g 4 pack small bone
223,180 g euro shopper tuna chun,180 g euro shopper tuna chun
224,180 g fox chunky milk chocolate cooky,180 g fox chunky milk chocolate cooky
232,187 ml hidden road pinot grigio,187 ml hidden road pinot grigio
235,189 g cadburys hero,189 g cadburys hero
240,19 crime revolutionary ro 750ml,19 crime revolutionary ro 750ml
242,19 crime sauvignon block 75cl,19 crime cab sauvignon 75cl
242,19 crime sauvignon block 75cl,19 crime cabernet sauvignon
242,19 crime sauvignon block 75cl,19 crime sauv blanc 75cl
242,19 crime sauvignon block 75cl,19 crime sauv block 750ml
242,19 crime sauvignon block 75cl,19 crime sauv block 75cl
242,19 crime sauvignon block 75cl,19 crime sauvignon block
242,19 crime sauvignon block 75cl,19 crime sauvignon block 75cl
243,19 crime the banished dark red wine,19 crime the banished dark red wine
244,19 crime the banished red 75cl,19 crime the banished red 75cl
245,19 crime the deported 75cl,19 crime the deported
245,19 crime the deported 75cl,19 crime the deported 75cl
247,19 crime the uprising part aged in rum barrel 75cl,19 crime the uprising part aged in rum barrel 75cl
248,19 crime the uprising red wine 75cl,19 crime the uprising
248,19 crime the uprising red wine 75cl,19 crime the uprising 75cl
248,19 crime the uprising red wine 75cl,19 crime the uprising red wine
248,19 crime the uprising red wine 75cl,19 crime the uprising red wine 750ml
248,19 crime the uprising red wine 75cl,19 crime the uprising red wine 75cl
249,19 crime white chard 75cl,19 crime chard
249,19 crime white chard 75cl,19 crime chard 750ml
249,19 crime white chard 75cl,19 crime chard 75cl
249,19 crime white chard 75cl,19 crime chardonnay
249,19 crime white chard 75cl,19 crime chardonnay 70cl
249,19 crime white chard 75cl,19 crime chardonnay 750ml
249,19 crime white chard 75cl,19 crime chardonnay 75cl
249,19 crime white chard 75cl,19 crime white chard 75cl
251,19 crime wine 70cl 19 crime red wine,19 crime wine 70cl 19 crime red wine
252,19 crines red wine 75cl,19 crime
252,19 crines red wine 75cl,19 crime 2020 red 750ml
252,19 crines red wine 75cl,19 crime red
252,19 crines red wine 75cl,19 crime red 75cl
252,19 crines red wine 75cl,19 crime red vine 75cl
252,19 crines red wine 75cl,19 crime red wine
252,19 crines red wine 75cl,19 crime red wine 750ml
252,19 crines red wine 75cl,19 crime red wine 75cl
252,19 crines red wine 75cl,19 crime rose wine 75cl
252,19 crines red wine 75cl,19 crime wine 70cl
252,19 crines red wine 75cl,19 crines red wine 75cl
253,190 g 6 pk kellogg variety cereal pack,190 g 6 pk kellogg variety cereal pack
254,190 g box of cadburys rose chocolate,190 g box of cadburys rose chocolate
259,19crimes red wine 750ml,19crimes red wine 750ml
260,1cadburys button 95g,1cadburys button 95g
262,1l capri sun orange juice,1l capri sun orange juice
274,1wash and go 2in1,1wash and go 2in1
275,2 bloo toilet block,2 bloo toilet block
276,2 cod fillet boneless,2 cod fillet boneless
277,2 four cheese pizza,2 four cheese pizza
287,2 ltr 7up free lemon lime bottle,2 ltr 7up free lemon lime bottle
308,2 ltr levi root caribbean twist,2 ltr levi root caribbean twist
318,2 pack bird eye battered cod fillet,2 pack bird eye battered cod fillet
319,2 pack clear tape,2 pack clear tape
320,2 pack large garlic and corriander naan,2 pack large garlic and corriander naan
323,2 smoked haddock fillet boneless,2 smoked haddock fillet boneless
325,2 x 100 g mccain micro chip,2 x 100 g mccain micro chip
331,20 cl bell,20 cl bell
334,20 cl courvoisier,20 cl courvoisier
335,20 cl gordons original,20 cl gordons original
339,20 club superkings,20 club superkings
340,20 g caramel freddo,20 g caramel freddo
344,20 g pub original pork crunch,20 g pub original pork crunch
346,20 large refuse sack,20 large refuse sack
347,20 mal bra gold,20 mal bra gold
349,20 mtr cling film roll,20 mtr cling film roll
350,20 pack large freezer bag,20 pack large freezer bag
352,20 roll bin liner,20 roll bin liner
355,200 g cheese slice,200 g cheese slice
363,200 g fox crunch cream golden,200 g fox crunch cream golden
364,200 g fox sport,200 g fox sport
368,200 g happy shopper tomato puree,200 g happy shopper tomato puree
