item_uuid,item_name,image_url,number_sku_sold
2c71724e-9ade-477e-b450-93cd6ce3354b,£7 Freezer Filler Deal - Click for details,https://tb-static.uber.com/prod/image-proc/processed_images/595030c0037bc53700d6ae32ad3f2262/b4facf495c22df52f3ca635379ebe613.jpeg,2
a7e2727e-a51b-4a60-a192-1f7a8475b2b8,£5 MOVIE NIGHT IN DEAL - 2 Large Slushes & Popcorn,,4
4ecdaa80-827b-4e8b-9f62-f6feb2cf487a,£4.99 Breakfast Deal - Bap & Hot Drink,https://d1ralsognjng37.cloudfront.net/ed84355a-2633-4efc-9e84-e1ee4c920642.jpeg,6
584dfae4-7748-5dca-8df3-c35360e9e525,youngs fish fingers pm 1.00 10pk,,1
c3b94e22-e248-56c4-bef7-401a21cc232d,youngs fish fingers pm 1.00 10pk,,0
19549ecc-3f27-5841-8bd5-4090e159d452,youngs fish fingers 10pk,,2
cb4dab7c-fa39-4965-b562-2098b6e4b735,youngs cod fish cakes pm99p 4pk,,1
3c5b4133-c2cb-548f-a5bb-8b31267a01c7,youngs cod fish cakes  4pk,,2
dd19d83a-6c19-4249-843c-f610c7200bd6,youngs admiral's pie pm 300g,,1
dd19d83a-6c19-4249-843c-f610c7200bd6,youngs admiral's pie pm 1.59 300g,,20
65f785f4-c246-4f27-8301-8fff4304dabc,youngs admiral's pie pm  1.59 300g,,6
b2bacf1f-dbfd-57bb-aed6-ad4a43cec8c1,youngs admiral's pie pm  1.59 300g,,3
5dc95025-deb5-5cf5-9f21-42a08d1b3375,yellow tail shiraz 75cl,,3
d6b61171-ef5d-438c-a70e-1d7c068f0a1d,yellow tail shiraz 75cl,,14
f4a5264e-08bb-5711-99f7-cb2ce3ed88c6,yellow tail shiraz 75cl,,1
fd2071fd-5440-5a2b-8f77-9b5fd71ce0fd,yellow tail shiraz 75cl,,2
546232b5-6059-50b4-be4e-cd626cf3a6c0,yellow tail sauvignon blanc 75cl,,1
594de6cc-5290-5557-bf8f-f834ccb7ec2a,yellow tail sauvignon blanc 75cl,,2
d893784f-9fc1-5b26-88fe-c933166c92c0,yellow tail sauvignon blanc 75cl,,7
d2463e8f-3bdf-5cd0-9399-ae5df9a92970,yellow tail pinot grigio 75cl,,6
0d1c012b-9861-5786-b656-f405f9d2bf88,yellow tail merlot 75cl,,7
4d92b79a-eef9-46e8-878b-016c92c94a5a,yellow tail merlot 75cl,,1
92249881-8a73-5b28-8eba-39c084a3e240,yellow tail jammy red roo 75cl,https://d1ralsognjng37.cloudfront.net/6c118398-4961-43a0-aadb-bdaa3d2bf597.jpeg,2
e559c223-60f2-40a5-8552-b85d4021fc1b,yellow tail jammy red roo 75cl,,14
3d0cc78c-42d3-5919-b076-41f2acbbf301,yellow tail chardonnay 75cl,,21
c295462a-b92f-5b73-a67f-6d8782856ce9,yellow tail chardonnay 75cl,,1
fcfe11f4-2cb2-5e4f-ac04-ece08f4ecf82,yellow tail chardonnay 75cl,,4
6a515f6e-0cad-4bb9-b771-63d2dbbdea37,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,1
6f309ed6-d8ea-53e4-8fae-7a1baf44ad30,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,1
73975aaa-9c3d-5c8a-94e4-02287d4a210c,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,3
77b829ef-3b29-5f35-973d-e8b257bb2d7e,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,0
adae9bac-223f-5847-b645-1fba469e91a5,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,2
b112a940-66b6-45b8-9e4c-136f4616dc1b,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/2b159007646f3746a61376376fcd4d09/859baff1d76042a45e319d1de80aec7a.jpeg,1
ff90efce-80f7-4bc8-b756-3bb522da3c86,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/2b159007646f3746a61376376fcd4d09/859baff1d76042a45e319d1de80aec7a.jpeg,15
ff90efce-80f7-4bc8-b756-3bb522da3c86,ye olde oak 8 hot dogs in brine pm 1 400g,,1
ff90efce-80f7-4bc8-b756-3bb522da3c86,ye olde oak 8 hot dogs in brine pm 1 400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,11
ff90efce-80f7-4bc8-b756-3bb522da3c86,ye olde oak 8 hot dogs in brine  400g,https://tb-static.uber.com/prod/image-proc/processed_images/8c279c971869d19f97214c576d80cb0b/b4facf495c22df52f3ca635379ebe613.jpeg,1
98ca1a49-485c-43ff-a0d1-f67f28e3a5d8,yazoo strawberry pm 1.19 400ml,,6
98ca1a49-485c-43ff-a0d1-f67f28e3a5d8,yazoo strawberry pm 1 400ml,,6
b00814c9-9f05-50e3-adfe-cf31e5ee7566,yazoo strawberry pm 1 400ml,,1
d4642bb4-a33e-5ba2-b7cd-49b285e19f40,yazoo strawberry pm 1 400ml,,1
fd6a283d-e561-56dd-9212-0af3b8e3854e,yazoo strawberry pm 1 400ml,,2
1b224e1a-0b39-5fec-9c4c-2cecd4e4245b,yazoo strawberry milk 1ltr,,4
219d7c60-f632-5335-9590-73a3da7ce3c5,yazoo strawberry milk 1ltr,,4
5ab1ea8e-3f85-5d4d-b007-52321b345c93,yazoo strawberry milk 1ltr,,1
85ea6d39-e36d-50c6-b756-ab17992464bf,yazoo strawberry milk 1ltr,,1
