group_id,leader,member
807,1 kg baker adult beef dog food,1 kg baker adult beef dog food
809,1 kg tate and lyle sugar,1 kg tate and lyle sugar
73,1 ltr alpro soya milk,1 ltr alpro soya milk
814,1 ltr carter ginger ale,1 ltr carter ginger ale
815,1 ltr carter indian tonic,1 ltr carter indian tonic
816,1 ltr carter low cal tonic,1 ltr carter low cal tonic
817,1 ltr carter soda water,1 ltr carter soda water
818,1 ltr chekov,1 ltr chekov
840,1 ltr cravendale whole milk,1 ltr cravendale semi milk
840,1 ltr cravendale whole milk,1 ltr cravendale whole milk
819,1 ltr e energy drink,1 ltr e energy drink
821,1 ltr e tropical juice,1 ltr e tropical juice
822,1 ltr famous grouse,1 ltr famous grouse
823,1 ltr frosty jack,1 ltr frosty jack
824,1 ltr gordons pink gin,1 ltr gordons original
824,1 ltr gordons pink gin,1 ltr gordons pink gin
825,1 ltr h lemon squash,1 ltr h lemon squash
826,1 ltr happy shopper pine disinfectant,1 ltr happy shopper pine disinfectant
828,1 ltr high commisioner,1 ltr high commisioner
829,1 ltr jack pure apple juice,1 ltr e apple juice
829,1 ltr jack pure apple juice,1 ltr e cranberry juice
829,1 ltr jack pure apple juice,1 ltr e mango juice
829,1 ltr jack pure apple juice,1 ltr e orange juice
829,1 ltr jack pure apple juice,1 ltr jack orange juice
829,1 ltr jack pure apple juice,1 ltr jack pure apple juice
830,1 ltr lakeland semi skimmed uht milk,1 ltr lakeland semi skimmed uht milk
831,1 ltr omega cider,1 ltr omega cider
832,1 ltr rubicon guava,1 ltr rubicon guava
833,1 ltr rubicon mango,1 ltr rubicon mango
834,1 ltr schweppes ginger ale,1 ltr schweppes ginger ale
835,1 ltr smirnoff,1 ltr smirnoff
813,1 ltr sterelised milk,1 ltr sterelised milk
836,1 ltr sunpride pineapple juice,1 ltr sunpride pineapple juice
837,1 ltr yazoo banana,1 ltr yazoo banana
838,1 ltr yazoo chocolate,1 ltr yazoo chocolate
839,1 ltr yazoo strawberry,1 ltr yazoo strawberry
841,1 lttr ktc pure vegetable oil,1 lttr ktc pure vegetable oil
844,1 pi nt of pla stic cup 15,1 pi nt of pla stic cup 15
842,1 pint fresh whole milk,1 pint fresh semi milk
842,1 pint fresh whole milk,1 pint fresh whole milk
845,1 pint red top milk,1 pint red top milk
846,1 pt semiskimmed milk,1 pt semiskimmed milk
847,1 x clipper lighter printed design vary,1 x clipper lighter printed design vary
848,1.19 ltr lenor spring awakening,1.19 ltr lenor spring awakening
849,1.25 ltr lambrini,1.25 ltr lambrini
850,1.5 lt chardolini,1.5 lt chardolini
851,1.5 ltr highland spring sparkling,1.5 ltr highland spring sparkling
852,1.5 ltr jack apple blackcurrant squash,1.5 ltr jack apple blackcurrant squash
853,1.5 ltr jack orange squash,1.5 ltr jack orange squash
854,1.5 ltr pepsi,1.5 ltr pepsi
855,1.5 ltr volvic lemon lime,1.5 ltr volvic lemon lime
856,1.5 ltr volvic mango passion,1.5 ltr volvic mango passion
857,1.5 ltr volvic strawberry,1.5 ltr volvic strawberry
858,1.5 ltr volvic summer fruit,1.5 ltr volvic summer fruit
863,1.75l cherry coke,1.75l cherry coke
861,1.75l coca cola,1.75 ltr coca cola
861,1.75l coca cola,1.75 ltr coca cola cherry
861,1.75l coca cola,1.75 ltr coca cola zero
861,1.75l coca cola,1.75 ltr cocacola zero vanilla
861,1.75l coca cola,1.75l coca cola
862,1.75l diet coke,1.75 ltr diet coke
862,1.75l diet coke,1.75l diet coke
75,10 24pk weetabix cereal 24 pack,10 24pk weetabix cereal 24 pack
882,10 ball pen,10 ball pen
864,10 egg medium,10 egg medium
883,10 heavy refuse bag,10 heavy refuse bag
866,10 large egg,10 large egg
867,10 pack dishcloth,10 pack dishcloth
868,10 pack frankfurter,10 pack frankfurter
869,10 pack heavy duty bin bag,10 pack heavy duty bin bag
870,10 pack sponge scourer,10 pack sponge scourer
871,10 pk cafe classic latte,10 pk cafe classic latte
872,10 pk classic cafe cappucino,10 pk classic cafe cappucino
873,10 pk hamlet miniature,10 pk hamlet miniature
874,10 refuse sack,10 refuse sack
875,10 sterling dual leaf,10 sterling dual leaf
876,10 x 440 ml budweiser,10 x 440 ml budweiser
884,10 x 440 ml stella artois,10 x 440 ml stella artois
881,10 x 440 ml strongbow dark fruit,10 x 440 ml strongbow dark fruit
886,100 g aero peppermint,100 g aero peppermint
887,100 g bakewell flapjack,100 g bakewell flapjack
888,100 g bernard matthew sliced turkey breast,100 g bernard matthew sliced turkey breast
889,100 g buttery flapjack,100 g buttery flapjack
890,100 g cadbury bournville,100 g cadbury bournville
891,100 g chocolate flapjack,100 g chocolate flapjack
892,100 g delicatessen sliced chicken,100 g delicatessen sliced chicken
893,100 g dove saop,100 g dove saop
894,100 g felix,100 g felix
896,100 g imperial leather saop,100 g imperial leather saop
897,100 g kenco smooth coffee,100 g kenco rich coffee
897,100 g kenco smooth coffee,100 g kenco smooth coffee
898,100 g meaty stick with beef,100 g meaty stick with beef
899,100 g nestle smartie chocolate,100 g nestle smartie chocolate
900,100 g sunshine choc cinder,100 g sunshine choc cinder
901,100 g sunshine cinder toffee,100 g sunshine cinder toffee
902,100 g tasty treat,100 g tasty treat
903,100 g wagg oven baked treat,100 g wagg oven baked treat
904,100 g wagg skin and coat treat,100 g wagg skin and coat treat
905,100 pack make your own tube,100 pack make your own tube
906,100 swan tube,100 swan tube
907,10pk budwiser can,10pk budwiser can
908,10pk carling can,10pk carling can
909,10pk carlsberg pilsner can,10pk carlsberg pilsner can
916,10pk extra strawberry,10pk extra strawberry
917,10pk extra white,10pk extra ice white
917,10pk extra white,10pk extra white
910,10pk foster can,10pk foster can
918,10pk guinness can,10pk guinness can
911,10pk san migual can,10pk san migual can
912,10pk stella artois can,10pk stella artois can
913,10pk strongbow dark fruit can,10pk strongbow dark fruit can
914,10pk strongbow original can,10pk strongbow original can
919,110 g galaxy milk,110 g galaxy milk
922,12 egg euro shopper,12 egg euro shopper
921,12 egg medium,12 egg medium
932,12 free range large local sourced egg,12 free range large local sourced egg
923,12 golden yorkshire,12 golden yorkshire
933,12 inch hot chicago town stuffed crust pizza pepperoni,12 inch hot chicago town stuffed crust pizza cheese
933,12 inch hot chicago town stuffed crust pizza pepperoni,12 inch hot chicago town stuffed crust pizza pepperoni
924,12 pack farmer jack yorkshire pudding,12 pack farmer jack yorkshire pudding
925,12 pack happy shopper size 6 baby nappy,12 pack happy shopper size 6 baby nappy
934,12 pack happy shopper utra towel super with wing,12 pack happy shopper utra towel super with wing
926,12 pk oxo chicken cube,12 pk oxo chicken cube
927,12 pk oxo cube red,12 pk oxo cube red
928,12 x 100 g felix agail favourite pouch,12 x 100 g felix agail favourite pouch
929,12 x 284 ml stella artois,12 x 284 ml stella artois
930,12 x 300 ml budweiser,12 x 300 ml budweiser
936,120 g cadbury oreo,120 g cadbury caramel
936,120 g cadbury oreo,120 g cadbury oreo
937,120 g fox vienesse chocolate,120 g fox vienesse chocolate
938,120 g fruit pastille,120 g fruit pastille
942,122 g southern fried chicken burger,122 g southern fried chicken burger
77,123 classic care medium manual toothbrush x2,123 classic care medium manual toothbrush x2
943,125 g skittle,125 g skittle
945,12pk budlight bottle,12pk budlight bottle
946,12pk budwiser bottle,12pk budwiser bottle
947,12pk stella bottle,12pk amstel bottle
947,12pk stella bottle,12pk coors bottle
947,12pk stella bottle,12pk sol bottle
947,12pk stella bottle,12pk stella bottle
948,13 pack finish all in one powerball tab,13 pack finish all in one powerball tab
949,130 g cadburys chocolate eclair,130 g cadburys chocolate eclair
950,130 g cadburys giant butons,130 g cadburys giant butons
951,135 g refresher choos original,135 g refresher choos fizzy
951,135 g refresher choos original,135 g refresher choos original
952,14 pack always ultra normal,14 pack always ultra normal
954,14 pack happy shopper daytime towel super,14 pack happy shopper daytime towel super
953,14 pack happy shopper size 5 baby nappy,14 pack happy shopper size 5 baby nappy
955,14 pack happy shopper ultra towel regular with wing,14 pack happy shopper ultra towel regular with wing
956,14 round barbecue,14 round barbecue
957,140 g jammie dodger,140 g jammie dodger
958,140 g sotg cheeseburger,140 g sotg cheeseburger
959,141 g bird trifle kit,141 g bird trifle kit
960,141 g starburst original,141 g starburst original
961,142 g goldenfry dumpling mix,142 g goldenfry dumpling mix
964,142 ml encona w indie hot pepper sauce,142 ml encona w indie hot pepper sauce
966,145 g swizzle squash original,145 g swizzle squash original
969,15 g mixed herb,15 g mixed herb
970,15 large egg,15 large egg
971,15 pack happy shopper firelighter,15 pack happy shopper firelighter
972,150 g cesar chicken dog food,150 g cesar chicken dog food
973,150 g chew strip,150 g chew strip
974,150 g e s unsmoked bacon,150 g e s smoked bacon
974,150 g e s unsmoked bacon,150 g e s unsmoked bacon
976,150 g extra creamy yogurt,150 g extra creamy yogurt
977,150 g fox jam n cream,150 g fox jam n cream
978,150 g jack morning coffee,150 g jack morning coffee
979,150 g jack shortcake,150 g jack shortcake
981,150 ml amoy dark soy sauce,150 ml amoy dark soy sauce
982,150 ml l p worcester sauce,150 ml l p worcester sauce
983,150 ml lady insette bodyspray,150 ml lady insette bodyspray
984,150 ml sure for men,150 ml sure for lady
984,150 ml sure for men,150 ml sure for men
985,150 ml tusk men deodorant,150 ml tusk men deodorant
986,157g oreo double cream cooky,157g oreo double cream cooky
987,15pk egg mix,15pk egg mix
988,16 pack always ultra,16 pack always ultra
989,160 g basset midget gem,160 g basset midget gem
991,160 g sunshine dyna stix,160 g sunshine dyna stix
992,160 g sunshine milk chocolate raisin,160 g sunshine milk chocolate raisin
993,160 g sunshine mix bonbon,160 g sunshine mix bonbon
994,160 g sunshine strawberry foam sweet,160 g sunshine strawberry foam sweet
995,165 g basset jelly baby,165 g basset jelly baby
996,165 g basset liquorice allsorts,165 g basset liquorice allsorts
997,165 g maynards sport mix,165 g maynards sport mix
998,165 g maynards wine gum,165 g maynards wine gum
999,165 g pringles original,165 g pringles original
1000,165 g pringles texas bbq,165 g pringles texas bbq
1002,1664 275ml 12 pack,1664 275ml 12 pack
1001,1664 275ml bottle,1664 275ml bottle
1003,1664 440ml 4pack,1664 440ml 4pack
1004,1664 660ml,1664 660ml
1010,1664 kronenbourgggg4440ml,1664 kronenbourg 275ml12
1010,1664 kronenbourgggg4440ml,1664 kronenbourg 440ml4 can
1010,1664 kronenbourgggg4440ml,1664 kronenbourg 660ml
1010,1664 kronenbourgggg4440ml,1664 kronenbourgggg 660ml
1010,1664 kronenbourgggg4440ml,1664 kronenbourgggg4440ml
1010,1664 kronenbourgggg4440ml,1664 kronenburg 4 x 440ml
1006,1664 kronunberg 4x 568ml,1664 kronunberg 4x 568ml
1009,1664 pint,1664 pint
1008,1664 pint 568ml can,1664 pint 568ml can
1011,17 g skip,17 g skip
1013,170 g bisto gravy granule original,170 g bisto gravy granule original
1015,175 g marvel dried skimmed milk,175 g marvel dried skimmed milk
1017,176 g smash original,176 g smash original
1018,18 g freddo,18 g freddo
1019,18 pack tampax super compak,18 pack tampax regular compak
1019,18 pack tampax super compak,18 pack tampax super compak
1020,18 x 440 ml carling,10 x 440 ml carling
1020,18 x 440 ml carling,18 x 440 ml carling
1021,18 x 440 ml carlsberg pilsner,10 x 440 ml carlsberg pilsner
1021,18 x 440 ml carlsberg pilsner,18 x 440 ml carlsberg pilsner
1022,18 x 440 ml foster,10 x 440 ml foster
1022,18 x 440 ml foster,18 x 440 ml foster
1023,18 x 440 ml strongbow,10 x 440 ml strongbow
1023,18 x 440 ml strongbow,18 x 440 ml strongbow
1024,180 g 4 pack small bone,180 g 4 pack small bone
1025,180 g delicattessen smoked pork sausage,180 g delicattessen smoked pork sausage
1026,180 g e mild white cheese,180 g e mild white cheese
1027,180 g euro shopper tuna chun,180 g euro shopper tuna chun
1028,180 g fox chunky milk chocolate cooky,180 g fox chunky milk chocolate cooky
1029,180 g haribo jelly bean,180 g haribo jelly bean
1031,180 g haribo tangfastics,180 g haribo tangfastics
1032,180 g harribo starmix,180 g haribo supermix
1032,180 g harribo starmix,180 g harribo starmix
1033,180 g philadelphia original,180 g philadelphia original
1035,187 ml hidden road merlot,187 ml hidden road merlot
1036,187 ml hidden road pinot grigio,187 ml hidden road pinot grigio
1037,187 ml hidden road shiraz,187 ml hidden road chardonnay
1037,187 ml hidden road shiraz,187 ml hidden road shiraz
1039,189 g cadburys hero,189 g cadburys hero
1042,19 crime,19 crime
1043,19 crime 2020 red 750ml,19 crime 2020 red 750ml
1055,19 crime cab sauvignon 75cl,19 crime cab sauvignon 75cl
1055,19 crime cab sauvignon 75cl,19 crime cabernet sauvignon
1055,19 crime cab sauvignon 75cl,19 crime sauv blanc 75cl
1055,19 crime cab sauvignon 75cl,19 crime sauv block 750ml
1055,19 crime cab sauvignon 75cl,19 crime sauv block 75cl
1055,19 crime cab sauvignon 75cl,19 crime sauvignon block
1055,19 crime cab sauvignon 75cl,19 crime sauvignon block 75cl
1056,19 crime chard,19 crime chard
1056,19 crime chard,19 crime chard 750ml
1056,19 crime chard,19 crime chard 75cl
1056,19 crime chard,19 crime chardonnay
1056,19 crime chard,19 crime chardonnay 70cl
1056,19 crime chard,19 crime chardonnay 750ml
1056,19 crime chard,19 crime chardonnay 75cl
1056,19 crime chard,19 crime red
1056,19 crime chard,19 crime red 75cl
1056,19 crime chard,19 crime red vine 75cl
1056,19 crime chard,19 crime red wine
1056,19 crime chard,19 crime red wine 750ml
1056,19 crime chard,19 crime red wine 75cl
1056,19 crime chard,19 crime rose wine 75cl
1056,19 crime chard,19 crime white chard 75cl
1056,19 crime chard,19 crime wine 70cl
1056,19 crime chard,19 crines red wine 75cl
1045,19 crime revolutionary ro 750ml,19 crime revolutionary ro 750ml
1048,19 crime the banished dark red wine,19 crime the banished dark red wine
1049,19 crime the banished red 75cl,19 crime the banished red 75cl
1050,19 crime the deported 75cl,19 crime the deported
1050,19 crime the deported 75cl,19 crime the deported 75cl
1040,19 crime the uprising part aged in rum barrel 75cl,19 crime the uprising part aged in rum barrel 75cl
1051,19 crime the uprising red wine 75cl,19 crime the uprising
1051,19 crime the uprising red wine 75cl,19 crime the uprising 75cl
1051,19 crime the uprising red wine 75cl,19 crime the uprising red wine
1051,19 crime the uprising red wine 75cl,19 crime the uprising red wine 750ml
1051,19 crime the uprising red wine 75cl,19 crime the uprising red wine 75cl
1053,19 crime wine 70cl 19 crime red wine,19 crime wine 70cl 19 crime red wine
1057,190 g 6 pk kellogg variety cereal pack,190 g 6 pk kellogg variety cereal pack
1058,190 g box of cadburys rose chocolate,190 g box of cadburys rose chocolate
1063,19crimes red wine 750ml,19crimes red wine 750ml
34559,1cadburys button 95g,1cadburys button 95g
1072,1l ltr lakeland skimmed uht milk,1l ltr lakeland skimmed uht milk
1069,1l robinson orange juice,1l capri sun orange juice
1069,1l robinson orange juice,1l robinson lemon juice
1069,1l robinson orange juice,1l robinson orange juice
1071,1l rubicon still juice,1l rubicon still juice
1073,1litre semi skimmed milk,1litre semi skimmed milk
1074,1litre whole milk,1litre whole milk
1075,1wash and go 2in1,1wash and go 2in1
1076,2 bloo toilet block,2 bloo toilet block
1077,2 cod fillet boneless,2 cod fillet boneless
1078,2 four cheese pizza,2 four cheese pizza
1082,2 kg pre packed potato,2 kg pre packed potato
1123,2 litre semi skimmed milk,2 litre semi skimmed milk
1123,2 litre semi skimmed milk,2 litre semiskimmed milk
1124,2 litre whole milk,2 litre whole milk
1125,2 lt semi skimmed milk,2 lt semi skimmed milk
1087,2 ltr 7up free lemon lime bottle,2 ltr 7up free lemon lime bottle
1088,2 ltr barnstormer,2 ltr barnstormer
1089,2 ltr barr bubblegum,2 ltr barr bubblegum
1090,2 ltr barr cherryade,2 ltr barr cherryade
1091,2 ltr barr cola,2 ltr barr cola
1092,2 ltr barr cream soda,2 ltr barr cream soda
1093,2 ltr barr dandelion burdock,2 ltr barr dandelion burdock
1095,2 ltr barr shandy,2 ltr barr shandy
1096,2 ltr barr tizer,2 ltr barr tizer
1097,2 ltr diet pepsi,2 ltr diet pepsi
1098,2 ltr dr pepper,2 ltr dr pepper
1099,2 ltr fanta fruit twist,2 ltr fanta fruit twist
1100,2 ltr fanta orange,2 ltr fanta orange
1102,2 ltr ice valley still water,2 ltr ice valley still water
1103,2 ltr irn bru extra,2 ltr irn bru
1103,2 ltr irn bru extra,2 ltr irn bru extra
1104,2 ltr ka black grape,2 ltr ka black grape
1105,2 ltr ka fruit punch,2 ltr ka fruit punch
1106,2 ltr ka pineapple,2 ltr ka pineapple
1107,2 ltr levi root caribbean twist,2 ltr levi root caribbean twist
1108,2 ltr pepsi max cherry,2 ltr pepsi max
1108,2 ltr pepsi max cherry,2 ltr pepsi max cherry
1110,2 ltr ribena sparkling,2 ltr ribena sparkling
1111,2 ltr rubicon mango,2 ltr rubicon mango
1112,2 ltr schweppes lemonade,2 ltr schweppes diet lemonade
1112,2 ltr schweppes lemonade,2 ltr schweppes lemonade
1113,2 ltr sprite,2 ltr sprite
1114,2 ltr strongbow,2 ltr strongbow
1126,2 ltr tango orange bottle,2 ltr tango orange bottle
1115,2 ltr vimto,2 ltr vimto
1116,2 pack bird eye battered cod fillet,2 pack bird eye battered cod fillet
1127,2 pack clear tape,2 pack clear tape
1117,2 pack large garlic and corriander naan,2 pack large garlic and corriander naan
1118,2 pack large plain naan,2 pack large plain naan
1120,2 smoked haddock fillet boneless,2 smoked haddock fillet boneless
1121,2 white baguette,2 white baguette
1122,2 x 100 g mccain micro chip,2 x 100 g mccain micro chip
1128,2.5 kg wagg complete chicken dog food,2.5 kg wagg complete beef dog food
1128,2.5 kg wagg complete chicken dog food,2.5 kg wagg complete chicken dog food
1129,2.5 ltr crumpton oak apple cider,2.5 ltr crumpton oak apple cider
1130,2.5 ltr frosty jack,2.5 ltr frosty jack
1131,2.5 ltr omega cider,2.5 ltr omega cider
1132,20 bh super king blue,20 bh super king blue
1133,20 cl bell,20 cl bell
1134,20 cl chekov,20 cl chekov
1135,20 cl christian dupre,20 cl christian dupre
1136,20 cl courvoisier,20 cl courvoisier
1137,20 cl gordons original,20 cl gordons original
1138,20 cl jacobite,20 cl jacobite
