group_id,leader,member
0,1 kg baker adult beef dog food,1 kg baker adult beef dog food
10,1 ltr carter low cal tonic,1 ltr carter low cal tonic
12,1 ltr chekov,1 ltr chekov
19,1 ltr frosty jack,1 ltr frosty jack
21,1 ltr h lemon squash,1 ltr h lemon squash
25,1 ltr jack orange juice,1 ltr jack orange juice
27,1 ltr lakeland semi skimmed uht milk,1 ltr lakeland semi skimmed uht milk
28,1 ltr omega cider,1 ltr omega cider
33,1 ltr sterelised milk,1 ltr sterelised milk
39,1 pi nt of pla stic cup 15,1 pi nt of pla stic cup 15
41,1 pint red top milk,1 pint red top milk
42,1 pt semiskimmed milk,1 pt semiskimmed milk
43,1 x clipper lighter printed design vary,1 x clipper lighter printed design vary
45,1.25 ltr lambrini,1.25 ltr lambrini
46,1.5 lt chardolini,1.5 lt chardolini
49,1.5 ltr jack orange squash,1.5 ltr jack orange squash
53,1.5 ltr volvic strawberry,1.5 ltr volvic strawberry
61,10 24pk weetabix cereal 24 pack,10 24pk weetabix cereal 24 pack
62,10 ball pen,10 ball pen
63,10 egg medium,10 egg medium
65,10 heavy refuse bag,10 heavy refuse bag
66,10 large egg,10 large egg
67,10 pack dishcloth,10 pack dishcloth
68,10 pack frankfurter,10 pack frankfurter
69,10 pack heavy duty bin bag,10 pack heavy duty bin bag
70,10 pack sponge scourer,10 pack sponge scourer
71,10 pk cafe classic latte,10 pk cafe classic latte
72,10 pk classic cafe cappucino,10 pk classic cafe cappucino
74,10 refuse sack,10 refuse sack
84,100 g aero peppermint,100 g aero peppermint
85,100 g bakewell flapjack,100 g bakewell flapjack
87,100 g buttery flapjack,100 g buttery flapjack
89,100 g chocolate flapjack,100 g chocolate flapjack
90,100 g delicatessen sliced chicken,100 g delicatessen sliced chicken
92,100 g felix,100 g felix
94,100 g imperial leather saop,100 g imperial leather saop
96,100 g meaty stick with beef,100 g meaty stick with beef
97,100 g nestle smartie chocolate,100 g nestle smartie chocolate
98,100 g sunshine choc cinder,100 g sunshine choc cinder
99,100 g sunshine cinder toffee,100 g sunshine cinder toffee
101,100 g wagg oven baked treat,100 g wagg oven baked treat
102,100 g wagg skin and coat treat,100 g wagg skin and coat treat
103,100 pack make your own tube,100 pack make your own tube
104,100 swan tube,100 swan tube
105,10pk budwiser can,10pk budwiser can
106,10pk carling can,10pk carling can
107,10pk carlsberg pilsner can,10pk carlsberg pilsner can
109,10pk extra strawberry,10pk extra strawberry
110,10pk extra white,10pk extra ice white
110,10pk extra white,10pk extra white
111,10pk foster can,10pk foster can
112,10pk guinness can,10pk guinness can
113,10pk san migual can,10pk san migual can
117,110 g galaxy milk,110 g galaxy milk
119,12 egg euro shopper,12 egg euro shopper
121,12 free range large local sourced egg,12 free range large local sourced egg
122,12 golden yorkshire,12 golden yorkshire
124,12 pack farmer jack yorkshire pudding,12 pack farmer jack yorkshire pudding
125,12 pack happy shopper size 6 baby nappy,12 pack happy shopper size 6 baby nappy
129,12 pk oxo cube red,12 pk oxo cube red
130,12 x 100 g felix agail favourite pouch,12 x 100 g felix agail favourite pouch
131,12 x 284 ml stella artois,12 x 284 ml stella artois
132,12 x 300 ml budweiser,12 x 300 ml budweiser
134,120 g cadbury caramel,120 g cadbury caramel
136,120 g fox vienesse chocolate,120 g fox vienesse chocolate
137,120 g fruit pastille,120 g fruit pastille
141,122 g southern fried chicken burger,122 g southern fried chicken burger
142,123 classic care medium manual toothbrush x2,123 classic care medium manual toothbrush x2
144,12pk amstel bottle,12pk amstel bottle
145,12pk budwiser bottle,12pk budlight bottle
145,12pk budwiser bottle,12pk budwiser bottle
146,12pk stella bottle,12pk coors bottle
146,12pk stella bottle,12pk sol bottle
146,12pk stella bottle,12pk stella bottle
147,13 pack finish all in one powerball tab,13 pack finish all in one powerball tab
149,130 g cadburys giant butons,130 g cadburys giant butons
150,135 g refresher choos fizzy,135 g refresher choos fizzy
151,135 g refresher choos original,135 g refresher choos original
153,14 pack happy shopper daytime towel super,14 pack happy shopper daytime towel super
154,14 pack happy shopper size 5 baby nappy,14 pack happy shopper size 5 baby nappy
156,14 round barbecue,14 round barbecue
158,140 g sotg cheeseburger,140 g sotg cheeseburger
159,141 g bird trifle kit,141 g bird trifle kit
166,145 g swizzle squash original,145 g swizzle squash original
170,15 large egg,15 large egg
171,15 pack happy shopper firelighter,15 pack happy shopper firelighter
172,150 g cesar chicken dog food,150 g cesar chicken dog food
