group_id,leader,member
0,1 kg baker adult beef dog food,1 kg baker adult beef dog food
2,1 kg happy shopper self raising flour,1 kg happy shopper self raising flour
12,1 ltr carter low cal tonic,1 ltr carter low cal tonic
14,1 ltr chekov,1 ltr chekov
18,1 ltr e energy drink,1 ltr e energy drink
24,1 ltr h lemon squash,1 ltr h lemon squash
27,1 ltr high commisioner,1 ltr high commisioner
29,1 ltr jack pure apple juice,1 ltr jack pure apple juice
30,1 ltr lakeland semi skimmed uht milk,1 ltr lakeland semi skimmed uht milk
31,1 ltr omega cider,1 ltr omega cider
35,1 ltr smirnoff,1 ltr smirnoff
36,1 ltr sterelised milk,1 ltr sterelised milk
41,1 lttr ktc pure vegetable oil,1 lttr ktc pure vegetable oil
42,1 pi nt of pla stic cup 15,1 pi nt of pla stic cup 15
43,1 pint fresh semi milk,1 pint fresh semi milk
45,1 pint red top milk,1 pint red top milk
47,1 x clipper lighter printed design vary,1 x clipper lighter printed design vary
50,1.5 lt chardolini,1.5 lt chardolini
53,1.5 ltr jack orange squash,1.5 ltr jack orange squash
65,10 24pk weetabix cereal 24 pack,10 24pk weetabix cereal 24 pack
66,10 ball pen,10 ball pen
67,10 egg medium,10 egg medium
69,10 heavy refuse bag,10 heavy refuse bag
70,10 large egg,10 large egg
71,10 pack dishcloth,10 pack dishcloth
72,10 pack frankfurter,10 pack frankfurter
73,10 pack heavy duty bin bag,10 pack heavy duty bin bag
74,10 pack sponge scourer,10 pack sponge scourer
75,10 pk cafe classic latte,10 pk cafe classic latte
76,10 pk classic cafe cappucino,10 pk classic cafe cappucino
78,10 refuse sack,10 refuse sack
79,10 sterling dual leaf,10 sterling dual leaf
88,100 g aero peppermint,100 g aero peppermint
89,100 g bakewell flapjack,100 g bakewell flapjack
90,100 g bernard matthew sliced turkey breast,100 g bernard matthew sliced turkey breast
91,100 g buttery flapjack,100 g buttery flapjack
93,100 g chocolate flapjack,100 g chocolate flapjack
95,100 g dove saop,100 g dove saop
96,100 g felix,100 g felix
98,100 g imperial leather saop,100 g imperial leather saop
101,100 g meaty stick with beef,100 g meaty stick with beef
