group_id,leader,member
0, multi battery light warm white p 100pk, multi battery light warm white p 100pk
1,02 sim card,02 sim card
2,0ld speckle hen x 500ml,0ld speckle hen x 500ml
3,1 and 1 mixed pickled cucumber 660g,1 and 1 mixed pickled cucumber 660g
4,1 and 1 mixed pickled vegetable 750g,1 and 1 mixed pickled vegetable 750g
7,1 cucumber single,1 cucumber single
8,1 green pepper single,1 green pepper single
13,1 red pepper single,1 red pepper single
14,1 x plantain,1 x plantain
16,10 brioche roll with chocolate chip 350g,10 brioche roll with chocolate chip 350g
17,10 british big egg,10 british big egg
19,10 fish finger value,10 fish finger value
20,10 garden sack,10 garden sack
22,10 heavy duty garden sack,10 heavy duty garden sack
24,10 medium egg,10 medium egg
25,10 single cheese 170g,10 single cheese 170g
28,100 % pure unrefined palm oil 500ml ktc,100 % pure unrefined palm oil 500ml ktc
29,100 % rye sandwich 10 slice,100 % rye sandwich 10 slice
30,100 white plasticcups,100 white plasticcups
31,1001 3 in 1 machine shampoo for carpet cleaning machine 500ml,1001 3 in 1 machine shampoo for carpet cleaning machine 500ml
32,1001 carpett fresh linen white flower room freshener spray 300ml,1001 carpett fresh linen white flower room freshener spray 300ml
33,1001 carpett machine solution 500ml,1001 carpett machine solution 500ml
34,1001 mousse for carpett upholstery 350ml,1001 mousse for carpett upholstery 350ml
35,1001 trouble shooter carpett rug stain remover 500ml,1001 trouble shooter carpett rug stain remover 500ml
36,1001 troubleshooter spray 500ml,1001 troubleshooter spray 500ml
39,12 egg,12 egg
42,12 lemon flavour mini muffin 280g,12 lemon flavour mini muffin 280g
43,12 marble mini muffin 280g,12 marble mini muffin 280g
44,12 mini muffin lemon flavor fairyy cake 280g,12 mini muffin lemon flavor fairyy cake 280g
45,12 mini muffin traditional 280g,12 mini muffin traditional 280g
46,12 ouzo,12 ouzo
47,12 ouzo greek liqueur 70cl,12 ouzo greek liqueur 70cl
49,13 gun american ipa 330ml,13 gun american ipa 330ml
50,15 med egg,15 med egg
51,15 ring light with tripod stand,15 ring light with tripod stand
52,16 stop shiraz red 75 cl,16 stop shiraz red 75 cl
53,1664 4pk 4x500ml,1664 4pk 4x500ml
54,1664 kronenberg 1pint 4pk,1664 kronenberg 1pint 4pk
56,1664 lager 4 x 440ml can,1664 lager 4 x 440ml can
57,19 crime,19 crime
60,19 crime cab.sav,19 crime cab.sav
62,19 crime chard 75cl 13.5 %,19 crime chard 75cl 13.5 %
63,19 crime chardonnay 75cl,19 crime chardonnay
63,19 crime chardonnay 75cl,19 crime chardonnay 750ml
63,19 crime chardonnay 75cl,19 crime chardonnay 75cl
65,19 crime red,19 crime red
67,19 crime red blend 1.5l,19 crime red blend 1.5l
68,19 crime red wine 75cl,19 crime 75cl
68,19 crime red wine 75cl,19 crime dark red 75cl
68,19 crime red wine 75cl,19 crime red 75cl
68,19 crime red wine 75cl,19 crime red wine
68,19 crime red wine 75cl,19 crime red wine 750ml
68,19 crime red wine 75cl,19 crime red wine 75cl
69,19 crime sauvignon block 75cl,19 crime abernet sauvignon 75cl 14 %
69,19 crime sauvignon block 75cl,19 crime cabernet sauvignon
69,19 crime sauvignon block 75cl,19 crime cabernet sauvignon 75cl
69,19 crime sauvignon block 75cl,19 crime sauv 75cl
69,19 crime sauvignon block 75cl,19 crime sauv blanc 75cl
69,19 crime sauvignon block 75cl,19 crime sauv block 750ml
69,19 crime sauvignon block 75cl,19 crime sauv block 75cl 12 %
69,19 crime sauvignon block 75cl,19 crime sauvignon blanc 750ml
