group_id,leader,member
0,1.5 lt chardolini,1.5 lt chardolini
2,100 g buttery flapjack,100 g buttery flapjack
3,10pk carling can,10pk carling can
4,12 inch hot chicago town stuffed crust pizza pepperoni,12 inch hot chicago town stuffed crust pizza pepperoni
5,12 pizza meal deal,12 pizza meal deal
6,135 g refresher choos fizzy,135 g refresher choos fizzy
7,180 g haribo jelly bean,180 g haribo jelly bean
8,19 crime red wine 75cl,19 crime red wine 75cl
8,19 crime red wine 75cl,19 crime red wine 750ml
12,20 mal bra gold,20 mal bra gold
14,25 g space raider pickled onion,25 g space raider pickled onion
18,3 hammer apple cider 2.5 litre,3 hammer apple cider 2.5 litre
19,30 g transformer cheese onion,30 g transformer cheese onion
20,35 cl chekov,35 cl chekov
21,3pk turkish delight,3pk turkish delight
22,4 12 always ultra long size 2 sanitary towel wing 12 pad ,4 12 always ultra long size 2 sanitary towel wing 12 pad 
23,4 jacket potato,4 jacket potato
24,400 g euro shopper chocolate chip cooky,400 g euro shopper chocolate chip cooky
25,400 g happy shopper chocolate cream,400 g happy shopper chocolate cream
26,400 g kershaws beef dinner with roast potato carrot pea ypud,400 g kershaws beef dinner with roast potato carrot pea ypud
27,400 g kershaws chicken curry with rice chip,400 g kershaws chicken curry with rice chip
28,4x500ml zubr beer,4x500ml zubr beer
29,6 egg large,6 egg large
30,6 egg medium,6 egg medium
31,6 free range large egg,6 free range large egg
31,6 free range large egg,6 free range egg
32,6 large free range egg,6 large free range egg
33,6 plant egg medium,6 plant egg medium
34,7 up 500ml,7 up 500ml
35,750 g happy shopper table salt,750 g happy shopper table salt
36,7up 2 ltrs,7up 2 ltrs
37,7up 7up free 600ml,7up 7up free 600ml
38,7up free 2 ltrs,7up free 2 ltrs
40,7up free sparkling lemon and lime drink 2l drained weight 2l,7up free sparkling lemon and lime drink 2l drained weight 2l
41,7up lemon lime bottle 500ml,7up free lemon lime bottle 2l
41,7up lemon lime bottle 500ml,7up free lemon lime bottle 600ml
41,7up lemon lime bottle 500ml,7up lemon lime bottle 500ml
42,8 classic mini 400ml,8 classic mini 400ml
43,9 pack euro shopper toilet roll,9 pack euro shopper toilet roll
44,90 g delicatessen cooked ham,90 g delicatessen cooked ham
46,aah bisto classic chilli con carne 375g,aah bisto classic chilli con carne 375g
47,absolut original 70cl,absolut original 70cl
49,absolut raspberri flavoured vodka 70cl,absolut passion fruit flavoured vodka 70cl
49,absolut raspberri flavoured vodka 70cl,absolut raspberri flavoured vodka 70cl
51,absolut vodka,absolut vodka
52,absolut vodka 70cl,absolut swedish vodka 70cl
52,absolut vodka 70cl,absolut original swedish vodka 70cl
52,absolut vodka 70cl,absolut vodka 70cl
53,aero intense orange 100g ,aero intense orange 100g 
54,aero orange 90g,aero orange 90g
55,aero orange block,aero orange block
56,aero peppermint 90g,aero peppermint 90g
57,aero peppermint bag 80g,aero peppermint bag 80g
58,aero peppermint block,aero peppermint block
59,aero peppermint mint chocolate bar 36g,aero peppermint mint chocolate bar 36g
60,air freshener,air freshener
61,airwave black mint sugar free chewing gum multipack 10 piece,airwave black mint sugar free chewing gum multipack 10 piece
62,airwave blackcurrant chewing gum sugar free 10 piece,airwave blackcurrant chewing gum sugar free 10 piece
64,alberto balsam raspberry shampoo,alberto balsam raspberry shampoo
65,alberto balsam raspberry shampoo 350ml,alberto balsam raspberry shampoo 350ml
66,alberto balsam wet look styling gel 200ml,alberto balsam wet look styling gel 200ml
67,alcoholwipes 75 % 80,alcoholwipes 75 % 80
68,alexandrion 5 star brandy,alexandrion 5 star brandy
69,alpro oat no sugar chilled drink 1l,alpro almond no sugar roasted chilled drink 1l
69,alpro oat no sugar chilled drink 1l,alpro oat no sugar chilled drink 1l
70,alpro unsweetened almond milk 1 litre,alpro unsweetened almond milk 1 litre
71,always ultra long 12pack,always ultra long 12pack
72,always ultra long 12pads,always ultra long 12pads
73,always ultra long wing,always ultra long wing
74,always ultra night,always ultra night
75,always ultra night 10 pad,always ultra night 10 pad
76,always ultra night size 3 sanitary towel wing 10 pad,always ultra night size 3 sanitary towel wing 10 pad
77,always ultra normal,always ultra normal
80,amber leaf 3in1 cpb ttt 30g,amber leaf 3in1 cpb 30g
80,amber leaf 3in1 cpb ttt 30g,amber leaf 3in1 cpb ttt
80,amber leaf 3in1 cpb ttt 30g,amber leaf 3in1 cpb ttt 30g
80,amber leaf 3in1 cpb ttt 30g,amber amber leaf 3in1 cpb ttt 30g
82,amber leaf original hand rolling tobacco 30g,amber leaf original hand rolling tobacco 30g
83,amber leaf tobacco 30g,amber leaf tobacco 30g
84,amber leaf ttt,amber leaf ttt
86,amber leaf ttt 50g,amber leaf 50g
86,amber leaf ttt 50g,amber leaf ttt 50g
87,amberlaef 30g,amberlaef 30g
87,amberlaef 30g,amber leaf 30g
87,amberlaef 30g,amber leaf 30gm
87,amberlaef 30g,amber amber leaf ttt 30g
87,amberlaef 30g,amber leaf 30g paper
87,amberlaef 30g,amber leaf ttt 30g
88,ambrosia devon custard 400g,ambrosia devon custard 400g
89,ambrosia rice pudding 400g,ambrosia rice pudding 400g
90,ambrosia rice pudding ready to eat,ambrosia rice pudding ready to eat
91,american calypso blue lemonade,american calypso blue lemonade
92,american cheetos 226gm,american cheetos 226gm
93,american cheetos cheddar jalapeno,american cheetos cheddar jalapeno
94,american cheetos crunchy,american cheetos crunchy
95,american fanta peach can 355ml,american fanta peach can 355ml
96,american jolly rancher watermelon 180gm,american jolly rancher watermelon 180gm
97,american jolly ranger original 180gm,american jolly ranger original 180gm
98,american mtn dew major melon 355ml,american mtn dew major melon 355ml
99,american pick n mix cup 200g,american pick n mix cup 200g
100,american twinkie 10 individually packed,american twinkie 10 individually packed
101,american warhead sour chewy cube 113gm,american warhead sour chewy cube 113gm
102,american warhead sour twist 99gm,american warhead sour twist 99gm
103,amstel 4 pack,amstel 4 pack
104,amstel bier 12300ml,amstel bier 12300ml
105,amstel bier lager beer 650ml bottle,amstel bier lager beer 650ml bottle
106,amstel bier premium pilsener4x440ml,amstel bier premium pilsener4x440ml
107,an drex classic clean 4 roll,an drex classic clean 4 roll
108,anchor butter,anchor butter
109,anchor butter 250g,anchor butter 250g
110,anchor cream original,anchor cream original
111,anchor westbury wiltshire butter 250g,anchor westbury wiltshire butter 250g
112,andantino blush sangiovese rosato 750ml,andantino blush sangiovese rosato 750ml
113,andantino pinot grigio 75cl,andantino pinot grigio 75cl
114,anddrex toilet roll 9pk,anddrex toilet roll 9pk
115,andre classic clean toilet tissue 9 roll,andre classic clean toilet tissue 9 roll
116,andrex 4 pack,andrex 4 pack
117,andrex classic clean 4 roll .50,andrex classic 4 roll
117,andrex classic clean 4 roll .50,andrex classic clean 4 roll .50
118,andrex skin kind 4 luxury roll ,andrex skin kind 4 luxury roll 
119,andrex white toilet roll  4 pack,andrex white toilet roll  4 pack
120,andrex9pack gentle clean,andrex9pack gentle clean
122,andrextoilet tissue 4pack,andrextoilet tissue 4pack
123,andrx classic clean 4pk,andrx classic clean 4pk
124,andrx classic clean toilet tissue 4 roll x 6 200sc,andrx classic clean toilet tissue 4 roll x 6 200sc
124,andrx classic clean toilet tissue 4 roll x 6 200sc,andrexclassic clean toilet tissue 4 roll 2.50
124,andrx classic clean toilet tissue 4 roll x 6 200sc,andrexclassic clean toilet tissue 4 roll
125,andrx classic clear toilet roll 9 pack,andrx classic clear toilet roll 9 pack
127,antica apple sambuca70cl,antica apple sambuca70cl
128,appletiser 275ml,appletiser 275ml
129,appletiser appletiser 750ml,appletiser appletiser 750ml
130,araldica gavi white wine,araldica gavi white wine
